	RDA1	RDA2	RDA3	RDA4
C_sw_41	-0.249442005472802	0.0376989604534652	-0.139822001893802	0.0279487186873531
C_mw_42	-0.290693158012842	-0.00589299102494998	-0.181353395566616	0.0533146987634179
C_sw_44	-0.287261962686457	0.0574356671396291	-0.114230821204859	0.0867308271411149
M_mw_45	-0.222718277156753	-0.000358970199225089	-0.124851762998628	0.0126296599829774
C_sw_47	-0.319011921737291	0.0525568862694751	-0.0104711731692866	0.0134141039435427
M_mw_48	-0.211471627311926	-0.0691662487560698	-0.0807050870283748	-0.0319585234768254
M_bw_49	-0.142852356444453	-0.190286251117599	0.0469151288483607	0.165406485764795
M_sw_50	-0.222091212534445	0.0098325387074303	0.104519581786888	0.000868261780679459
M_mw_51	-0.199783089542035	-0.255736633088025	0.0599565137174704	-0.196698864219133
M_mw_54	-0.26277970008015	0.0473146898202775	0.100413692924343	-0.0429078899992784
M_bw_55	-0.0307387599734966	-0.085952342577754	0.0947678998581413	0.135824840948349
M_sw_56	-0.266663637593367	0.0332183864421224	0.152262879572775	-0.0418231149432329
M_sw_59	-0.203670258367148	0.0569705021042461	-0.0399588223562621	-0.00260628384284639
M_mw_60	-0.193172074392233	0.0515005796274131	-0.089099015232473	0.00880038665757969
M_bw_64	-0.0360877752271766	-0.188618920741577	0.0137210873446889	0.0742188015868529
M_mw_66	-0.171039433965761	-0.0699759583135596	-0.0848705220059295	-0.0758065808709644
M_mw_69	-0.181316265855067	-0.0577624257521216	-0.0976912480027528	-0.0557092390168969
M_bw_70	-0.131398494205588	-0.185231786383224	-0.0934133465556229	-0.0572485582775434
T_sw_71	-0.0259879045680003	0.0476425760352406	-0.0683403078786886	-0.0450488708705523
M_mw_72	0.114682140366684	-0.00035258259188599	-0.0268941596066537	-0.062726136686079
KS_bw_73	-0.00271824610558116	-0.0623079611805874	-0.00549725408144567	-0.0494198757098726
M_sw_74	-0.0724461317933794	0.0404435386003595	0.109273018596182	-0.000462292535433807
M_mw_75	-0.127784827545618	-0.0485021472450312	-0.0978900429502038	0.0787153599280838
M_bw_76	-0.0244645468189378	-0.182919563131861	0.0608128126676592	0.189888153884585
M_sw_77	-0.000755870914871371	0.0462461968489657	0.0644994273558844	0.00545784674264897
M_mw_78	0.143986231114559	-0.00512838434153119	-0.00537105972436247	-0.0410562844276116
T_sw_80	-0.103236932002234	0.080821358459102	0.149343587456072	-0.0362350386251945
T_mw_81	0.121742024330899	0.0376597285072104	0.00175960287878628	-0.0327112899231628
T_sw_83	0.0721290552140064	0.0481308438349925	0.064882646154901	-0.013076611067064
T_mw_84	0.114189031675271	0.03861334710319	0.000735200718417904	-0.0234224547979933
M_bw_85	0.112261068658145	0.0268623602418778	-0.00347739996172441	-0.0303638434555434
T_mw_87	0.0595024526359263	0.00253418741374615	0.0283984372363243	-0.0517302474467597
KS_bw_88	-0.0518518915639481	-0.1837702225144	0.0359926583231695	-0.0854254071738052
T_sw_89	-0.0152219948952916	-0.0130588592896063	0.0304019650596622	-0.0335972965477569
T_mw_90	0.0931842843207067	-0.0162990652753662	0.0159759675205103	-0.0573904995965553
KS_bw_91	0.1241520860662	0.0200755777577946	-0.00336050271815601	-0.0298327263959998
C_mw_93	-0.0612643275962024	-0.0999374791984946	-0.0119415800564815	-0.0308428702580419
M_bw_94	0.136476909181381	0.0133565335264535	-0.0281664789367487	-0.0234438678406504
M_sw_95	-0.084771532701698	-0.0104690514438282	0.100432404520097	-0.0140994036949464
M_mw_96	0.0815045569584504	0.0165850481897174	-0.0122326456421414	-0.0160029074109292
KS_bw_97	-0.0598102988120665	0.00566877632030364	-0.00557518064454973	0.0885933480118719
M_bw_100	0.124775934427933	0.0422870163060788	0.00224075827431933	-0.00114014256957171
T_sw_101	-0.065603693154913	0.0421842589835396	0.0927463412037332	0.0726942626039756
KS_bw_103	0.120493577225973	-0.0585142735183482	-0.0401136636534227	-0.0629533600627217
T_mw_105	0.134208724813747	0.0359364365756162	0.00249660368466994	-0.0207621314618536
KS_bw_106	0.137619600486686	0.0311130480847106	-0.0206849537791834	-0.0198601713918892
M_sw_107	0.125910828015473	0.0527624172579617	0.00781928210914621	0.00419654812291338
M_mw_108	0.0985645354987846	0.0351252135019135	-0.0329341545003107	0.0439610058275715
M_bw_109	0.134584080071471	0.0220431060997324	-0.033613772279973	0.00694260984585382
T_mw_111	0.0948565969545162	0.0505495710746955	-0.0387310675900021	-0.0111239219396239
KS_bw_112	0.14828097986121	0.0266579191453432	-0.0273606606646412	-0.0120295663778263
T_mw_114	0.0962516717874117	0.0467222382597942	-0.00934071120338519	-0.00539511371399458
KS_bw_115	0.132864148371509	0.0375941045946988	-0.032218684253368	-0.000344361894029241
KS_bw_118	0.143516421148643	0.0366372051678703	-0.0140688714121192	-0.00766230412047375
C_mw_120	0.0546239129592551	0.0218252189223852	-0.0654469149425844	0.0617167799613605
M_mw_123	0.108457885273047	0.0498525489238973	0.00964939306853737	-0.00179690633490541
M_bw_124	0.122634126778016	0.0297113864727106	0.00581031645621181	-0.00068424609812015
M_sw_125	0.0398427511262842	0.0687205769054889	0.0806039936142413	0.0411694918899522
M_mw_126	0.115128562329699	0.0421856558178141	0.0279914391988965	-0.00515133006514755
KS_bw_127	-0.0568535870403368	-0.175729536097669	-0.0304460868279982	-0.032758546894064
KS_mw_129	0.0908214992042273	0.0358220219256916	0.0111949013153549	-0.0126596835115217
KS_bw_130	0.143892330938657	0.0136952641872262	-0.0109791034307093	-0.0229136485932434
M_sw_131	0.0322851266269867	0.0502235905575786	0.0537538899244364	0.0471122662361864
M_mw_132	-0.020889450734754	0.0418244544010729	-0.0268608876101248	0.0985903575735919
M_sw_134	0.105937953279248	0.0556387437635421	0.0439910002426072	0.0157045491073499
M_mw_135	0.0897208701191893	0.00568548831099055	0.00692593839776884	-0.00775052700747881
T_bw_136	0.144160967490407	0.0231961816443209	-0.0126220246593708	-0.00438446256075538
T_bw_139	0.0536981905046101	0.0396470433917546	0.0206498218134186	0.0346256167601577
KS_mw_141	0.0664614256435903	0.0258570193954556	-0.0131501392532662	0.0223519354381061
KS_bw_142	0.119882903530021	0.0408989153345717	0.0115535297493892	0.0118359227324246
T_sw_143	0.0830768655813415	0.0375082072424001	0.0369919405541341	-0.000748339522118796
KS_mw_144	-0.0160912924339687	-0.00878922528108017	-0.0410934049426454	0.0622318852127643
KS_bw_145	0.0531579769461895	0.0341310165579055	0.031411014328204	0.0162933740759749
T_sw_146	0.0900740127932334	0.0583896149461508	0.0594129963693248	-0.0118832001345341
KS_mw_147	0.0850003825878494	0.042650538395432	0.0200041220922257	-0.0305019945831827
KS_bw_148	0.147349856343365	0.0265165735124407	0.0145671142819155	-0.0270871612642989
