Genus,Guild1,Guild2,Guild3,References,,,
Acetobacter,Plantharmful/Beneficial,Plant pathogen/PGP,NitrogenFixation/Gibberellin,"Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.","Ole里ska, E., Ma?ek, W., W車jcik, M., Swiecicka, I., Thijs, S., & Vangronsveld, J. (2020). Beneficial features of plant growth-promoting rhizobacteria for improving plant growth and health in challenging conditions: A methodical review.?Science of the Total Environment,?743, 140682.",
Achromobacter,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/IAA/ACC/PSolubilization,"Moretti, M., Gilardi, G., Gullino, M. L., & Garibaldi, A. (2008). Biological control potential of Achromobacter xylosoxydans for suppressing Fusarium wilt of tomato. International Journal of Botany, 4(4), 369-375.","Jha, P., & Kumar, A. (2009). Characterization of novel plant growth promoting endophytic bacterium Achromobacter xylosoxidans from wheat plant. Microbial ecology, 58(1), 179-188.","Shurigin, V., Alaylar, B., Davranov, K., Wirth, S., Bellingrath-Kimura, S. D., & Egamberdieva, D. (2021). Diversity and biological activity of culturable endophytic bacteria associated with marigold (Calendula officinalis L.).?AIMS microbiology,?7(3), 336.",
Acidithiobacillus,PlantBeneficial,PGP,KSolubilization,"Subrahmanyam, G., Kumar, A., Sandilya, S. P., Chutia, M., & Yadav, A. N. (2020). Diversity, plant growth promoting attributes, and agricultural applications of rhizospheric microbes. In Plant microbiomes for sustainable agriculture (pp. 1-52). Springer, Cham.",,,
Acidovorax,PlantHarmful/Beneficial,Plant pathogen/PGP,ACC,"Burdman, S., & Walcott, R. O. N. (2012). Acidovorax citrulli: generating basic and applied knowledge to tackle a global threat to the cucurbit industry. Molecular plant pathology, 13(8), 805-815.","Mashiane, R. A., Ezeokoli, O. T., Adeleke, R. A., & Bezuidenhout, C. C. (2017). Metagenomic analyses of bacterial endophytes associated with the phyllosphere of a Bt maize cultivar and its isogenic parental line from South Africa. World Journal of Microbiology and Biotechnology, 33(4), 1-12.","Gardan, L., Stead, D. E., Dauga, C., & Gillis, M. (2003). Acidovorax valerianellae sp. nov., a novel pathogen of lamb's lettuce [Valerianella locusta (L.) Laterr.]. International Journal of Systematic and Evolutionary Microbiology, 53(3), 795-800.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592."
Acinetobacter,PlantBeneficial,Biocontrol/PGP,IAA/ACC/PSolubilization/Siderophores,"Gulati, A., Vyas, P., Rahi, P., & Kasana, R. C. (2009). Plant growth-promoting and rhizosphere-competent Acinetobacter rhizosphaerae strain BIHB 723 from the cold deserts of the Himalayas.?Current microbiology,?58(4), 371-377.",,,
Actinoallomurus,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Actinoalloteichus,PlantBeneficial,Biocontrol,,"Saratha, M., Angappan, K., Karthikeyan, S., Marimuthu, S., & Chozhan, K. (2022). Actinoalloteichus cyanogriseus: a broad spectrum bio-agent against mulberry root rot pathogens.?Egyptian Journal of Biological Pest Control,?32(1), 1-11.",,,
Actinobaculum,PlantBeneficial,PGP,IAA/Siderophores,"Vijay, K., & Kavitha, T. (2022). Inoculation of Medicinal Plant Resident Staphylococcus hominis subsp. novobiosepticus Strain KE6 for Improved Plant Growth and Antagonism to Pithomyces atro-olivaceous in Groundnuts.?Asian Journal of Research in Biosciences, 12-25.",,,
Actinocorallia,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Actinomadura,PlantBeneficial,PGP,IAA/NitrogenFixation/Ksolubilization,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.","Nafis, A., Raklami, A., Bechtaoui, N., El Khalloufi, F., El Alaoui, A., Glick, B. R., ... & Hassani, L. (2019). Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials.?Diversity,?11(8), 139.",,
Actinomyces,PlantBeneficial,Biocontrol,,"Zhao, J., Xue, Q., Duan, C., Wang, L., Shen, G., Chen, Q., & Xue, L. (2010). The growth-promoting effect and resistance induction of 3 antagonistic actinomyces on Cucumis melo L.?Journal of Northwest A & F University-Natural Science Edition,?38(2), 109-116.",,,
Actinomycetospora,PlantBeneficial,PGP,IAA/PSolubilization,"Mingma, R., & Duangmal, K. (2018). Characterization, antifungal activity and plant growth promoting potential of endophytic actinomycetes isolated from rice (Oryza sativa L.).?Chiang Mai J Sci,?45(7), 2652-2665.",,,
Actinophytocola,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Actinoplanes,PlantBeneficial,Biocontrol,,"Palaniyandi, S. A., Yang, S. H., Zhang, L., & Suh, J. W. (2013). Effects of actinobacteria on plant disease suppression and growth promotion. Applied microbiology and biotechnology, 97(22), 9621-9636.",,,
Adhaeribacter,PlantBeneficial,PGP,PSolubilization,"Lin, H., Liu, C., Li, B., & Dong, Y. (2021). Trifolium repens L. regulated phytoremediation of heavy metal contaminated soil by promoting soil enzyme activities and beneficial rhizosphere associated microorganisms. Journal of Hazardous Materials, 402, 123829.",,,
Advenella,PlantBeneficial,PGP,PSolubilization,"Panwar, M., Tewari, R., & Nayyar, H. (2014). Microbial consortium of plant growth-promoting rhizobacteria improves the performance of plants growing in stressed soils: an overview. Phosphate solubilizing microorganisms, 257-285.",,,
Aeromicrobium,PlantBeneficial,PGP,IAA/Psolubilization,"Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,,
