IND	TEJ	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geobacter	0.0156638020936615	0.0238514058587535	0.0179015123350545	9.33259436660236
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Neisseriaceae|Pseudogulbenkiania	0.00872424012403068	0.0207355794052889	0.0120653581708457	6.88717122291915
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Pseudolabrys	0.00881696308533588	0.0187807925373905	0.0115847855651778	7.21034255065545
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prolixibacteraceae|Tangfeifania	0.00790161973384491	0.0165033717720254	0.0102683424710486	4.67435402698591
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Geobacter	0.0100333338676279	0.00844299871502566	0.00962421640472517	4.45261865212988
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Mobilitalea	0.00637377732590487	0.0159789179825678	0.00902353288909154	6.04944559775735
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Tolumonas	0.0078932864001159	0.00876703344704769	0.00812272794648258	3.99528175608958
Bacteria|Acidobacteria|Holophagae|Holophagales|Holophagaceae|Geothrix	0.00914019486639584	0.00301311661499065	0.00740165021190326	2.42804851076569
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum	0.00399553755421766	0.015155619568921	0.00699743496018403	5.2158266248706
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Cystobacteraceae|Anaeromyxobacter	0.00657759929807015	0.00713471584168894	0.0066867810555658	3.37385825709824
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_1|Paenibacillus	0.00302843218920183	0.0150028189276598	0.0063282142918456	3.98406893534811
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhodobiaceae|Methyloligella	0.00459646112412206	0.0101642982195429	0.0060838218326612	4.79820540526212
Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales|Syntrophaceae|Desulfomonile	0.00533823456862183	0.00806407181402628	0.00607599167366638	5.03313553724698
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Sulfuritalea	0.00539739103060504	0.00629556926806218	0.00562315042061278	3.45040436016598
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter	0.00569183996074685	0.00352395819912614	0.0051102093552591	2.66241040077413
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus	0.00567686340146267	0.00362451322508166	0.00507348305323329	3.15446327221745
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_incertae_sedis|Thiomonas	0.00211843182025337	0.00961751597981568	0.00421484768834317	3.09917696398471
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia	0.00314719214036867	0.00547806645034779	0.00379315412758903	2.25141398758974
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax	0.00322405197902794	0.00518816086170377	0.00373826042630639	2.34427950103748
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Conexibacteraceae|Conexibacter	0.00250685477471878	0.00615324967665593	0.00348971964058742	3.12589464347706
Bacteria|Actinobacteria|Actinobacteria|Gaiellales|Gaiellaceae|Gaiella	0.0024425820096182	0.00583292878325979	0.00335560848810895	2.49308031782798
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Chromobacterium	0.00227207447190663	0.00570938468988643	0.00323018546715894	2.30998755314266
