"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_1",-32.8617513052257,-12.3717531504003,"bac_ASV_1","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",3,0.212389380530973,427.101582570637,3
"bac_ASV_10",-17.8332636961514,-35.3533190207078,"bac_ASV_10","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_pickettii","bac",0,0,0,0
"bac_ASV_101",-10.9950165603862,26.8731644935357,"bac_ASV_101","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",1,0.105065666041276,0,1
"bac_ASV_1018",10.0266201562666,38.6004848143129,"bac_ASV_1018","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",0,0,0,0
"bac_ASV_1025",-20.1419529636967,-27.4650810683484,"bac_ASV_1025","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Pirellula","Pirellula_staleyi","bac",1,0.176842105263158,0,1
"bac_ASV_103",-12.4419351610085,-28.7199077795021,"bac_ASV_103","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea","bac",3,0.227951153324288,456.267145524645,3
"bac_ASV_1032",-14.2592895099272,-29.9236592942557,"bac_ASV_1032","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Unassigned","bac",2,0.192660550458716,73.0462930196341,2
"bac_ASV_1038",-10.984052103384,-4.3173330899931,"bac_ASV_1038","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",2,0.206388206388206,9.31743162791816,2
"bac_ASV_104",-36.5849838504465,-7.54934161905626,"bac_ASV_104","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",2,0.162948593598448,116.708007562982,2
"bac_ASV_1048",-2.95405496133185,-38.6556662655879,"bac_ASV_1048","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","Duganella_radicis","bac",0,0,0,0
"bac_ASV_105",29.1887368844792,18.3820253489482,"bac_ASV_105","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_1051",-27.97710863226,29.4792261840653,"bac_ASV_1051","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_1054",-0.713400987359587,4.73763840556278,"bac_ASV_1054","bac","Bacteria","Acidobacteria","Acidobacteria_Gp5","Unassigned","Unassigned","Gp5","Unassigned","bac",9,0.228571428571429,1571.11640144791,9
"bac_ASV_106",18.1414146650566,36.6387894437562,"bac_ASV_106","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",0,0,0,0
"bac_ASV_1068",16.074127024462,37.8453959379809,"bac_ASV_1068","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_107",-6.42333900949012,-16.3296913774953,"bac_ASV_107","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",1,0.147887323943662,0,1
"bac_ASV_109",31.1022505918402,-21.7250093900296,"bac_ASV_109","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_11",7.59353997931818,-0.628137858160033,"bac_ASV_11","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",4,0.206896551724138,2333.70356431164,4
"bac_ASV_1100",-36.2145672999786,11.3687590728189,"bac_ASV_1100","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","Unassigned","bac",0,0,0,0
"bac_ASV_1102",21.4852756397376,35.2411926005113,"bac_ASV_1102","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","Unassigned","bac",0,0,0,0
