"","ID","group","degree"
"1","fun_ASV_246",40,35
"2","fun_ASV_770",40,33
"3","fun_ASV_939",40,30
"4","fun_ASV_233",41,22
"5","fun_ASV_76",43,22
"6","fun_ASV_268",19,19
"7","fun_ASV_256",19,15
"8","fun_ASV_203",19,14
"9","fun_ASV_489",40,14
"10","fun_ASV_311",19,14
"11","fun_ASV_112",43,14
"12","fun_ASV_174",43,14
"13","bac_ASV_206",40,13
"14","fun_ASV_68",19,13
"15","fun_ASV_135",40,13
"16","bac_ASV_815",19,12
"17","bac_ASV_313",19,12
"18","fun_ASV_677",43,12
"19","bac_ASV_134",43,11
"20","fun_ASV_317",40,11
"21","bac_ASV_3",19,10
"22","bac_ASV_1207",19,10
"23","fun_ASV_689",19,10
"24","fun_ASV_608",40,10
"25","fun_ASV_840",40,10
"26","bac_ASV_178",40,9
"27","bac_ASV_1054",40,9
"28","fun_ASV_45",41,9
"29","fun_ASV_698",43,9
"30","fun_ASV_334",44,9
"31","fun_ASV_122",41,9
"32","fun_ASV_847",40,9
"33","fun_ASV_314",40,9
"34","bac_ASV_161",19,8
"35","bac_ASV_362",44,8
"36","bac_ASV_12",19,8
"37","bac_ASV_277",40,8
"38","bac_ASV_451",44,8
"39","fun_ASV_36",19,8
"40","fun_ASV_454",43,8
"41","fun_ASV_237",41,8
"42","fun_ASV_8",1,8
"43","bac_ASV_1489",40,7
"44","bac_ASV_923",40,7
"45","bac_ASV_244",40,7
"46","bac_ASV_1128",43,7
"47","bac_ASV_92",40,7
"48","fun_ASV_3",42,7
"49","fun_ASV_422",41,7
"50","fun_ASV_5",18,7
"51","fun_ASV_158",19,7
"52","fun_ASV_735",23,7
"53","fun_ASV_546",43,7
"54","fun_ASV_578",40,7
"55","bac_ASV_651",40,6
"56","bac_ASV_407",43,6
"57","bac_ASV_424",41,6
"58","bac_ASV_707",40,6
"59","bac_ASV_189",43,6
"60","bac_ASV_213",41,6
"61","bac_ASV_1300",40,6
"62","bac_ASV_235",40,6
"63","fun_ASV_810",40,6
"64","fun_ASV_103",8,6
"65","fun_ASV_910",40,6
"66","fun_ASV_453",44,6
"67","bac_ASV_345",43,5
"68","bac_ASV_143",40,5
"69","bac_ASV_542",40,5
"70","bac_ASV_364",43,5
"71","bac_ASV_130",19,5
"72","bac_ASV_77",40,5
"73","bac_ASV_290",40,5
"74","bac_ASV_135",40,5
"75","bac_ASV_323",19,5
"76","bac_ASV_75",40,5
"77","bac_ASV_152",19,5
"78","bac_ASV_608",19,5
"79","bac_ASV_59",43,5
"80","bac_ASV_775",41,5
"81","bac_ASV_1835",44,5
"82","fun_ASV_297",43,5
"83","fun_ASV_428",43,5
"84","fun_ASV_538",1,5
"85","fun_ASV_472",41,5
"86","fun_ASV_702",43,5
"87","fun_ASV_868",40,5
"88","bac_ASV_581",19,4
"89","bac_ASV_227",44,4
"90","bac_ASV_201",42,4
"91","bac_ASV_912",40,4
"92","bac_ASV_34",19,4
"93","bac_ASV_42",44,4
"94","bac_ASV_970",19,4
"95","bac_ASV_217",43,4
"96","bac_ASV_229",44,4
"97","bac_ASV_232",17,4
"98","bac_ASV_48",40,4
"99","bac_ASV_17",18,4
"100","bac_ASV_332",40,4
"101","bac_ASV_32",18,4
"102","bac_ASV_425",40,4
"103","bac_ASV_568",43,4
"104","bac_ASV_878",40,4
"105","bac_ASV_228",40,4
"106","bac_ASV_11",40,4
"107","bac_ASV_387",19,4
"108","bac_ASV_459",43,4
"109","bac_ASV_309",41,4
"110","bac_ASV_29",43,4
"111","bac_ASV_468",43,4
"112","bac_ASV_930",40,4
"113","bac_ASV_965",40,4
"114","bac_ASV_324",18,4
"115","fun_ASV_225",41,4
"116","fun_ASV_257",19,4
"117","fun_ASV_20",44,4
"118","fun_ASV_661",44,4
"119","fun_ASV_1374",19,4
"120","fun_ASV_37",43,4
"121","fun_ASV_349",42,4
"122","fun_ASV_28",8,4
"123","fun_ASV_72",8,4
"124","fun_ASV_839",19,4
"125","fun_ASV_85",40,4
"126","fun_ASV_635",44,4
"127","fun_ASV_171",40,4
"128","fun_ASV_296",7,4
"129","fun_ASV_186",44,4
"130","fun_ASV_40",40,4
"131","bac_ASV_513",44,3
"132","bac_ASV_307",8,3
"133","bac_ASV_129",44,3
"134","bac_ASV_623",44,3
"135","bac_ASV_6",41,3
"136","bac_ASV_142",1,3
"137","bac_ASV_253",44,3
"138","bac_ASV_312",42,3
"139","bac_ASV_182",1,3
"140","bac_ASV_133",40,3
"141","bac_ASV_630",43,3
"142","bac_ASV_79",40,3
"143","bac_ASV_47",1,3
"144","bac_ASV_185",43,3
"145","bac_ASV_359",42,3
"146","bac_ASV_139",40,3
"147","bac_ASV_273",40,3
"148","bac_ASV_326",43,3
"149","bac_ASV_1417",1,3
"150","bac_ASV_812",44,3
"151","bac_ASV_735",40,3
"152","bac_ASV_207",19,3
"153","bac_ASV_420",8,3
"154","bac_ASV_397",43,3
"155","bac_ASV_460",1,3
"156","bac_ASV_521",40,3
"157","bac_ASV_1841",41,3
"158","bac_ASV_103",19,3
"159","bac_ASV_466",41,3
"160","bac_ASV_1",43,3
"161","bac_ASV_619",41,3
"162","bac_ASV_16",42,3
"163","bac_ASV_204",43,3
"164","bac_ASV_44",40,3
"165","bac_ASV_88",40,3
"166","fun_ASV_116",44,3
"167","fun_ASV_138",43,3
"168","fun_ASV_258",43,3
"169","fun_ASV_24",44,3
"170","fun_ASV_100",40,3
"171","fun_ASV_751",33,3
"172","fun_ASV_763",40,3
"173","fun_ASV_338",40,3
"174","fun_ASV_406",1,3
"175","fun_ASV_148",25,3
"176","fun_ASV_34",44,3
"177","fun_ASV_402",42,3
"178","fun_ASV_145",42,3
"179","fun_ASV_478",26,3
"180","fun_ASV_933",1,3
"181","fun_ASV_121",9,3
"182","fun_ASV_595",42,3
"183","fun_ASV_260",44,3
"184","bac_ASV_782",44,2
"185","bac_ASV_874",44,2
"186","bac_ASV_190",19,2
"187","bac_ASV_202",42,2
"188","bac_ASV_1159",41,2
"189","bac_ASV_1172",41,2
"190","bac_ASV_842",42,2
"191","bac_ASV_255",43,2
"192","bac_ASV_772",41,2
"193","bac_ASV_242",40,2
"194","bac_ASV_440",41,2
"195","bac_ASV_52",40,2
"196","bac_ASV_39",43,2
"197","bac_ASV_62",19,2
"198","bac_ASV_113",44,2
"199","bac_ASV_589",41,2
"200","bac_ASV_804",42,2
"201","bac_ASV_1292",1,2
"202","bac_ASV_53",40,2
"203","bac_ASV_386",43,2
"204","bac_ASV_322",1,2
"205","bac_ASV_205",44,2
"206","bac_ASV_30",1,2
"207","bac_ASV_342",19,2
"208","bac_ASV_963",40,2
"209","bac_ASV_240",42,2
"210","bac_ASV_840",41,2
"211","bac_ASV_1339",41,2
"212","bac_ASV_122",7,2
"213","bac_ASV_373",43,2
"214","bac_ASV_258",40,2
"215","bac_ASV_329",40,2
"216","bac_ASV_294",42,2
"217","bac_ASV_565",44,2
"218","bac_ASV_714",8,2
"219","bac_ASV_819",33,2
"220","bac_ASV_60",9,2
"221","bac_ASV_1228",9,2
"222","bac_ASV_682",24,2
"223","bac_ASV_50",43,2
"224","bac_ASV_45",7,2
"225","bac_ASV_334",19,2
"226","bac_ASV_1038",40,2
"227","bac_ASV_104",43,2
"228","bac_ASV_71",12,2
"229","bac_ASV_472",43,2
"230","bac_ASV_599",19,2
"231","bac_ASV_370",43,2
"232","bac_ASV_4",44,2
"233","bac_ASV_1032",41,2
"234","bac_ASV_292",41,2
"235","bac_ASV_169",41,2
"236","bac_ASV_272",44,2
"237","bac_ASV_188",40,2
"238","bac_ASV_19",8,2
"239","bac_ASV_156",41,2
"240","bac_ASV_348",41,2
"241","bac_ASV_350",33,2
"242","bac_ASV_617",40,2
"243","bac_ASV_278",43,2
"244","bac_ASV_546",40,2
"245","bac_ASV_903",41,2
"246","fun_ASV_419",36,2
"247","fun_ASV_787",40,2
"248","fun_ASV_631",42,2
"249","fun_ASV_925",42,2
"250","fun_ASV_247",42,2
"251","fun_ASV_241",40,2
"252","fun_ASV_459",43,2
"253","fun_ASV_747",41,2
"254","fun_ASV_99",40,2
"255","fun_ASV_267",40,2
"256","fun_ASV_176",1,2
"257","fun_ASV_529",44,2
"258","fun_ASV_731",44,2
"259","fun_ASV_151",40,2
"260","fun_ASV_593",42,2
"261","fun_ASV_290",42,2
"262","fun_ASV_33",16,2
"263","fun_ASV_16",1,2
"264","fun_ASV_56",44,2
"265","fun_ASV_196",17,2
"266","fun_ASV_708",9,2
"267","fun_ASV_1003",29,2
"268","fun_ASV_213",33,2
"269","fun_ASV_703",32,2
"270","fun_ASV_802",7,2
"271","fun_ASV_251",33,2
"272","bac_ASV_223",39,1
"273","bac_ASV_508",11,1
"274","bac_ASV_1129",23,1
"275","bac_ASV_361",42,1
"276","bac_ASV_63",1,1
"277","bac_ASV_492",43,1
"278","bac_ASV_535",7,1
"279","bac_ASV_798",40,1
"280","bac_ASV_93",32,1
"281","bac_ASV_80",34,1
"282","bac_ASV_187",23,1
"283","bac_ASV_197",10,1
"284","bac_ASV_21",19,1
"285","bac_ASV_85",41,1
"286","bac_ASV_84",6,1
"287","bac_ASV_733",26,1
"288","bac_ASV_661",40,1
"289","bac_ASV_279",19,1
"290","bac_ASV_380",1,1
"291","bac_ASV_400",40,1
"292","bac_ASV_173",43,1
"293","bac_ASV_58",22,1
"294","bac_ASV_455",42,1
"295","bac_ASV_1116",8,1
"296","bac_ASV_310",40,1
