"source","target","correlation","direct","cor"
"bac_ASV_1489","fun_ASV_246",0.877002842653258,"undirected","+"
"bac_ASV_923","fun_ASV_246",0.816305469556244,"undirected","+"
"bac_ASV_912","fun_ASV_246",0.855521155830753,"undirected","+"
"bac_ASV_244","fun_ASV_246",0.907120743034056,"undirected","+"
"bac_ASV_651","fun_ASV_246",0.871381015667724,"undirected","+"
"bac_ASV_242","fun_ASV_246",0.892672858617131,"undirected","+"
"bac_ASV_12","fun_ASV_246",-0.865841073271414,"undirected","-"
"bac_ASV_62","fun_ASV_246",0.86171310629515,"undirected","+"
"bac_ASV_79","fun_ASV_246",0.808049535603715,"undirected","+"
"bac_ASV_310","fun_ASV_246",-0.801857585139319,"undirected","-"
"bac_ASV_707","fun_ASV_246",0.86171310629515,"undirected","+"
"bac_ASV_258","fun_ASV_246",0.812177502579979,"undirected","+"
"bac_ASV_329","fun_ASV_246",0.834881320949432,"undirected","+"
"bac_ASV_48","fun_ASV_246",-0.853457172342621,"undirected","-"
"bac_ASV_77","fun_ASV_246",-0.940144478844169,"undirected","-"
"bac_ASV_178","fun_ASV_246",0.890608875128999,"undirected","+"
"bac_ASV_735","fun_ASV_246",0.836945304437564,"undirected","+"
"bac_ASV_290","fun_ASV_246",0.863777089783282,"undirected","+"
"bac_ASV_332","fun_ASV_246",0.828689370485036,"undirected","+"
"bac_ASV_425","fun_ASV_246",0.855521155830753,"undirected","+"
"bac_ASV_135","fun_ASV_246",0.884416924664603,"undirected","+"
"bac_ASV_1038","fun_ASV_246",0.810113519091847,"undirected","+"
"bac_ASV_323","fun_ASV_246",0.820433436532508,"undirected","+"
"bac_ASV_75","fun_ASV_246",0.880288957688339,"undirected","+"
"bac_ASV_878","fun_ASV_246",0.843137254901961,"undirected","+"
"bac_ASV_228","fun_ASV_246",0.810113519091847,"undirected","+"
"bac_ASV_1207","fun_ASV_246",0.811564382803328,"undirected","+"
"bac_ASV_1300","fun_ASV_246",0.836344974644651,"undirected","+"
"bac_ASV_206","fun_ASV_246",0.942208462332301,"undirected","+"
"bac_ASV_1054","fun_ASV_246",0.902992776057791,"undirected","+"
"bac_ASV_134","fun_ASV_246",-0.828689370485036,"undirected","-"
"bac_ASV_235","fun_ASV_246",0.810113519091847,"undirected","+"
"bac_ASV_92","fun_ASV_246",0.874097007223942,"undirected","+"
"bac_ASV_965","fun_ASV_246",0.884416924664603,"undirected","+"
"bac_ASV_88","fun_ASV_246",0.805985552115583,"undirected","+"
"bac_ASV_1489","fun_ASV_770",0.91016764321785,"undirected","+"
"bac_ASV_923","fun_ASV_770",0.894521044567953,"undirected","+"
"bac_ASV_912","fun_ASV_770",0.82626857180323,"undirected","+"
"bac_ASV_244","fun_ASV_770",0.851087652808584,"undirected","+"
"bac_ASV_651","fun_ASV_770",0.916844375034814,"undirected","+"
"bac_ASV_242","fun_ASV_770",0.834541598805015,"undirected","+"
"bac_ASV_12","fun_ASV_770",-0.85315590955903,"undirected","-"
"bac_ASV_707","fun_ASV_770",0.846951139307692,"undirected","+"
"bac_ASV_542","fun_ASV_770",-0.824200315052784,"undirected","-"
"bac_ASV_139","fun_ASV_770",-0.820063801551892,"undirected","-"
"bac_ASV_258","fun_ASV_770",0.809722517799661,"undirected","+"
"bac_ASV_232","fun_ASV_770",0.803517747548323,"undirected","+"
"bac_ASV_48","fun_ASV_770",-0.894521044567953,"undirected","-"
"bac_ASV_77","fun_ASV_770",-0.869701963562599,"undirected","-"
"bac_ASV_178","fun_ASV_770",0.892452787817507,"undirected","+"
"bac_ASV_735","fun_ASV_770",0.811790774550107,"undirected","+"
"bac_ASV_290","fun_ASV_770",0.882111504065276,"undirected","+"
"bac_ASV_332","fun_ASV_770",0.873838477063491,"undirected","+"
"bac_ASV_425","fun_ASV_770",0.869701963562599,"undirected","+"
"bac_ASV_135","fun_ASV_770",0.805586004298769,"undirected","+"
"bac_ASV_1038","fun_ASV_770",0.805586004298769,"undirected","+"
"bac_ASV_521","fun_ASV_770",0.846951139307692,"undirected","+"
"bac_ASV_75","fun_ASV_770",0.875906733813937,"undirected","+"
"bac_ASV_277","fun_ASV_770",0.896589301318399,"undirected","+"
"bac_ASV_878","fun_ASV_770",0.855224166309476,"undirected","+"
"bac_ASV_11","fun_ASV_770",0.871770220313045,"undirected","+"
"bac_ASV_1300","fun_ASV_770",0.827729915647246,"undirected","+"
"bac_ASV_206","fun_ASV_770",0.91727186882286,"undirected","+"
"bac_ASV_1054","fun_ASV_770",0.911067098571522,"undirected","+"
"bac_ASV_617","fun_ASV_770",0.805586004298769,"undirected","+"
"bac_ASV_92","fun_ASV_770",0.875906733813937,"undirected","+"
"bac_ASV_965","fun_ASV_770",0.875906733813937,"undirected","+"
"bac_ASV_44","fun_ASV_770",0.815927288051,"undirected","+"
"bac_ASV_798","fun_ASV_939",-0.849889794009994,"undirected","-"
"bac_ASV_581","fun_ASV_939",0.824862364493135,"undirected","+"
"bac_ASV_912","fun_ASV_939",0.862403508768423,"undirected","+"
"bac_ASV_661","fun_ASV_939",0.833204840998755,"undirected","+"
"bac_ASV_244","fun_ASV_939",0.883259700032472,"undirected","+"
"bac_ASV_772","fun_ASV_939",0.804421358474021,"undirected","+"
"bac_ASV_424","fun_ASV_939",0.837376079251565,"undirected","+"
"bac_ASV_707","fun_ASV_939",0.92080084430776,"undirected","+"
"bac_ASV_48","fun_ASV_939",-0.860317889642019,"undirected","-"
"bac_ASV_77","fun_ASV_939",-0.908287129549331,"undirected","-"
"bac_ASV_178","fun_ASV_939",0.874917223526853,"undirected","+"
"bac_ASV_735","fun_ASV_939",0.829033602745945,"undirected","+"
"bac_ASV_332","fun_ASV_939",0.83529046012516,"undirected","+"
"bac_ASV_425","fun_ASV_939",0.833204840998755,"undirected","+"
"bac_ASV_135","fun_ASV_939",0.837376079251565,"undirected","+"
"bac_ASV_521","fun_ASV_939",0.804006173229086,"undirected","+"
"bac_ASV_75","fun_ASV_939",0.883259700032472,"undirected","+"
"bac_ASV_228","fun_ASV_939",0.833204840998755,"undirected","+"
"bac_ASV_1207","fun_ASV_939",0.823201623652403,"undirected","+"
"bac_ASV_213","fun_ASV_939",0.83529046012516,"undirected","+"
"bac_ASV_1300","fun_ASV_939",0.841981888830784,"undirected","+"
"bac_ASV_188","fun_ASV_939",-0.919189645675243,"undirected","-"
"bac_ASV_206","fun_ASV_939",0.912458367802141,"undirected","+"
"bac_ASV_1054","fun_ASV_939",0.83111922187235,"undirected","+"
"bac_ASV_617","fun_ASV_939",0.83529046012516,"undirected","+"
"bac_ASV_235","fun_ASV_939",0.843632936630779,"undirected","+"
"bac_ASV_92","fun_ASV_939",0.820691126240326,"undirected","+"
"bac_ASV_965","fun_ASV_939",0.83946169837797,"undirected","+"
"bac_ASV_313","fun_ASV_939",0.849889794009994,"undirected","+"
"bac_ASV_88","fun_ASV_939",0.814434268861111,"undirected","+"
"bac_ASV_581","fun_ASV_489",0.824561403508772,"undirected","+"
"bac_ASV_244","fun_ASV_489",0.826625386996904,"undirected","+"
"bac_ASV_161","fun_ASV_489",0.8328173374613,"undirected","+"
"bac_ASV_407","fun_ASV_489",0.865841073271414,"undirected","+"
"bac_ASV_326","fun_ASV_489",-0.808049535603715,"undirected","-"
"bac_ASV_364","fun_ASV_489",-0.808049535603715,"undirected","-"
"bac_ASV_178","fun_ASV_489",0.816305469556244,"undirected","+"
"bac_ASV_75","fun_ASV_489",0.86171310629515,"undirected","+"
"bac_ASV_1128","fun_ASV_489",0.900361503568068,"undirected","+"
"bac_ASV_206","fun_ASV_489",0.801857585139319,"undirected","+"
"bac_ASV_235","fun_ASV_489",0.882352941176471,"undirected","+"
"bac_ASV_468","fun_ASV_489",0.814241486068112,"undirected","+"
"bac_ASV_815","fun_ASV_489",0.919504643962848,"undirected","+"
"bac_ASV_313","fun_ASV_489",0.812177502579979,"undirected","+"
"bac_ASV_1489","fun_ASV_135",0.86688821664175,"undirected","+"
"bac_ASV_923","fun_ASV_135",0.816401023012498,"undirected","+"
"bac_ASV_651","fun_ASV_135",0.82533889468196,"undirected","+"
"bac_ASV_48","fun_ASV_135",-0.822625173124411,"undirected","-"
"bac_ASV_77","fun_ASV_135",-0.804990081140659,"undirected","-"
"bac_ASV_290","fun_ASV_135",0.819513098068454,"undirected","+"
"bac_ASV_277","fun_ASV_135",0.842334981812133,"undirected","+"
"bac_ASV_878","fun_ASV_135",0.857895357091914,"undirected","+"
"bac_ASV_11","fun_ASV_135",0.873455732371694,"undirected","+"
"bac_ASV_930","fun_ASV_135",0.80706479784463,"undirected","+"
"bac_ASV_92","fun_ASV_135",0.806027439492644,"undirected","+"
"bac_ASV_965","fun_ASV_135",0.822625173124411,"undirected","+"
"bac_ASV_44","fun_ASV_135",0.828849323236323,"undirected","+"
"fun_ASV_489","bac_ASV_206",0.801857585139319,"undirected","+"
"fun_ASV_268","bac_ASV_206",0.801857585139319,"undirected","+"
"fun_ASV_5","bac_ASV_206",0.820433436532508,"undirected","+"
"fun_ASV_810","bac_ASV_206",0.826625386996904,"undirected","+"
"fun_ASV_76","bac_ASV_206",0.853457172342621,"undirected","+"
"fun_ASV_608","bac_ASV_206",0.841073271413829,"undirected","+"
"fun_ASV_246","bac_ASV_206",0.942208462332301,"undirected","+"
"fun_ASV_847","bac_ASV_206",0.819513098068454,"undirected","+"
"fun_ASV_939","bac_ASV_206",0.912458367802141,"undirected","+"
"fun_ASV_840","bac_ASV_206",0.85315590955903,"undirected","+"
"fun_ASV_910","bac_ASV_206",0.819824580083769,"undirected","+"
"fun_ASV_770","bac_ASV_206",0.91727186882286,"undirected","+"
"fun_ASV_40","bac_ASV_206",0.82249742002064,"undirected","+"
"bac_ASV_400","fun_ASV_317",-0.9014644078753,"undirected","-"
"bac_ASV_133","fun_ASV_317",0.870343657315738,"undirected","+"
"bac_ASV_113","fun_ASV_317",0.810176872900586,"undirected","+"
"bac_ASV_143","fun_ASV_317",0.912875349747139,"undirected","+"
"bac_ASV_542","fun_ASV_317",-0.802915364436688,"undirected","-"
"bac_ASV_139","fun_ASV_317",-0.823662531476396,"undirected","-"
"bac_ASV_476","fun_ASV_317",0.825737248180367,"undirected","+"
"bac_ASV_329","fun_ASV_317",0.855820640387943,"undirected","+"
"bac_ASV_229","fun_ASV_317",0.841297623460147,"undirected","+"
"bac_ASV_82","fun_ASV_317",0.850633848628016,"undirected","+"
"bac_ASV_290","fun_ASV_317",0.810176872900586,"undirected","+"
"bac_ASV_1489","fun_ASV_608",0.829033602745945,"undirected","+"
"bac_ASV_923","fun_ASV_608",0.886480908152735,"undirected","+"
"bac_ASV_651","fun_ASV_608",0.858932715443899,"undirected","+"
"bac_ASV_963","fun_ASV_608",-0.818369453044376,"undirected","-"
"bac_ASV_232","fun_ASV_608",0.816305469556244,"undirected","+"
"bac_ASV_425","fun_ASV_608",0.808049535603715,"undirected","+"
"bac_ASV_568","fun_ASV_608",0.820433436532508,"undirected","+"
"bac_ASV_206","fun_ASV_608",0.841073271413829,"undirected","+"
"bac_ASV_1054","fun_ASV_608",0.810113519091847,"undirected","+"
"bac_ASV_92","fun_ASV_608",0.826625386996904,"undirected","+"
"bac_ASV_244","fun_ASV_840",0.824200315052784,"undirected","+"
"bac_ASV_3","fun_ASV_840",-0.811790774550107,"undirected","-"
"bac_ASV_707","fun_ASV_840",0.813859031300554,"undirected","+"
"bac_ASV_77","fun_ASV_840",-0.842814625806799,"undirected","-"
"bac_ASV_228","fun_ASV_840",0.82626857180323,"undirected","+"
"bac_ASV_1207","fun_ASV_840",0.857735125089459,"undirected","+"
"bac_ASV_1300","fun_ASV_840",0.872220398613286,"undirected","+"
"bac_ASV_188","fun_ASV_840",-0.886705672137113,"undirected","-"
"bac_ASV_206","fun_ASV_840",0.85315590955903,"undirected","+"
"bac_ASV_313","fun_ASV_840",0.813859031300554,"undirected","+"
"bac_ASV_1489","fun_ASV_314",0.801291314277624,"undirected","+"
"bac_ASV_651","fun_ASV_314",0.84121311882602,"undirected","+"
"bac_ASV_542","fun_ASV_314",-0.858027992505808,"undirected","-"
"bac_ASV_273","fun_ASV_314",-0.82808477736421,"undirected","-"
"bac_ASV_521","fun_ASV_314",0.809499333483217,"undirected","+"
"bac_ASV_277","fun_ASV_314",0.879711010366966,"undirected","+"
"bac_ASV_11","fun_ASV_314",0.812596907463383,"undirected","+"
"bac_ASV_1054","fun_ASV_314",0.844605171925092,"undirected","+"
"bac_ASV_930","fun_ASV_314",0.819824580083769,"undirected","+"
"bac_ASV_244","fun_ASV_847",0.883829315891548,"undirected","+"
"bac_ASV_79","fun_ASV_847",0.809139514548601,"undirected","+"
"bac_ASV_178","fun_ASV_847",0.871381015667724,"undirected","+"
"bac_ASV_75","fun_ASV_847",0.915987424803095,"undirected","+"
"bac_ASV_213","fun_ASV_847",0.83403611499625,"undirected","+"
"bac_ASV_1128","fun_ASV_847",0.831353125452982,"undirected","+"
"bac_ASV_206","fun_ASV_847",0.819513098068454,"undirected","+"
"bac_ASV_235","fun_ASV_847",0.840260265108162,"undirected","+"
"bac_ASV_815","fun_ASV_847",0.830924039940294,"undirected","+"
"fun_ASV_489","bac_ASV_178",0.816305469556244,"undirected","+"
"fun_ASV_268","bac_ASV_178",0.828689370485036,"undirected","+"
"fun_ASV_246","bac_ASV_178",0.890608875128999,"undirected","+"
"fun_ASV_847","bac_ASV_178",0.871381015667724,"undirected","+"
"fun_ASV_939","bac_ASV_178",0.874917223526853,"undirected","+"
"fun_ASV_910","bac_ASV_178",0.859060517165863,"undirected","+"
"fun_ASV_773","bac_ASV_178",0.801920554102681,"undirected","+"
"fun_ASV_770","bac_ASV_178",0.892452787817507,"undirected","+"
"fun_ASV_40","bac_ASV_178",0.805985552115583,"undirected","+"
"fun_ASV_100","bac_ASV_1054",-0.836945304437564,"undirected","-"
"fun_ASV_608","bac_ASV_1054",0.810113519091847,"undirected","+"
"fun_ASV_171","bac_ASV_1054",-0.845201238390093,"undirected","-"
"fun_ASV_151","bac_ASV_1054",-0.805985552115583,"undirected","-"
"fun_ASV_338","bac_ASV_1054",-0.818605507113921,"undirected","-"
"fun_ASV_246","bac_ASV_1054",0.902992776057791,"undirected","+"
"fun_ASV_939","bac_ASV_1054",0.83111922187235,"undirected","+"
"fun_ASV_770","bac_ASV_1054",0.911067098571522,"undirected","+"
"fun_ASV_314","bac_ASV_1054",0.844605171925092,"undirected","+"
"fun_ASV_241","bac_ASV_277",-0.841073271413829,"undirected","-"
"fun_ASV_267","bac_ASV_277",0.849329205366357,"undirected","+"
"fun_ASV_85","bac_ASV_277",0.830753353973168,"undirected","+"
"fun_ASV_171","bac_ASV_277",-0.851393188854489,"undirected","-"
"fun_ASV_338","bac_ASV_277",-0.83111922187235,"undirected","-"
"fun_ASV_135","bac_ASV_277",0.842334981812133,"undirected","+"
"fun_ASV_770","bac_ASV_277",0.896589301318399,"undirected","+"
