"","one","Means","SD"
"num.edges",728,728,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",422,422,0
"connectance",0.0081953372133602,0.0081953372133602,0
"average.degree",3.45023696682464,3.45023696682464,0
"average.path.length",5.61445422007511,4.91711051720632,0.0572670742990437
"diameter",16,10.96,0.941951552508263
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.00818465702718945,0.00278550367576791
"no.clusters",33,15.15,3.52301237034674
"centralization.degree",0.0749400547106303,0.0157951615989913,0.00212184596170498
"centralization.betweenness",0.11073091233542,0.0476161343075743,0.00875232842009663
"centralization.closeness",1.37856248291014,NA,NA
