"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
7,0.194782608695652,3893.79635425867,7
6,0.156351791530945,399.737299682779,6
4,0.185737976782753,698.627327730935,4
1,1,0,1
1,1,0,1
7,0.15462494247584,1995,7
2,0.144020574367767,55.8687749689225,2
4,0.152380952380952,460.735249691866,4
7,0.20011911852293,3037.39878971574,7
2,0.186356073211314,49.8598400927575,2
10,0.227488151658768,1229.09534824791,10
5,0.186978297161937,459.976469043248,5
35,0.24507658643326,4982.04788902439,35
13,0.213604577240941,1054.44294147822,13
33,0.253584905660377,10386.7064051679,33
9,0.206008583690987,1256.82772332858,9
1,0.104186046511628,0,1
4,0.131198750488091,831,4
4,0.131198750488091,831,4
2,0.138214726450021,335,2
14,0.249073387694589,2399.59430504833,14
22,0.25668449197861,6346.73144290911,22
4,0.200836820083682,199.341952017338,4
14,0.209345794392523,3426.84934852167,14
4,0.129280492497114,1333,4
30,0.2457937088515,4946.17223467993,30
2,1,1,2
4,0.206261510128913,254.518419881642,4
7,0.197763390229547,1141.76214007859,7
1,1,0,1
4,0.213876511775939,534.915993917048,4
14,0.24507658643326,2206.85013445702,14
13,0.238805970149254,1235.18160709069,13
3,0.143651132962805,669,3
1,1,0,1
22,0.236786469344609,7533.29208839354,22
9,0.20351302241066,2920.75833493974,9
5,0.188446438586652,434.136076565606,5
3,0.179775280898876,526.440103034157,3
2,0.155483572420176,169.031812935818,2
9,0.179583110636024,3151.09249986007,9
2,0.133174791914388,335,2
4,0.180742334588488,1235.57315075567,4
14,0.208825357364823,3381.78400722086,14
2,0.161305808929429,572.247600699296,2
2,0.136197811106607,668,2
2,0.136087484811665,335,2
3,0.173823072943611,1503.17027125196,3
1,1,0,1
4,0.206515058389674,49.1584413255299,4
3,1,3,3
9,0.236120871398454,499.426609937386,9
10,0.233820459290188,477.595287011919,10
19,0.266455194290246,9865.00046878581,19
8,0.189723320158103,3636.50906124522,8
2,0.174726989079563,89.2286921008592,2
7,0.227180527383367,531.162728047082,7
8,0.230294722412611,606.533160801644,8
5,0.228105906313646,325.967610331631,5
15,0.246515040352164,1670.4141916184,15
8,0.229979466119097,417.474487007776,8
12,0.23712067748765,5526.13838027689,12
1,0.16791604197901,0,1
3,0.204255319148936,616.970209560731,3
14,0.248337028824834,3913.5717090746,14
8,0.210394489668128,2653.428796201,8
5,0.140409527789386,363.735168743063,5
4,0.168590065228299,824.34233391286,4
3,0.13630831643002,13.0762350500684,3
1,0.135977337110482,0,1
4,0.181523500810373,333.193968957716,4
2,0.160381861575179,668,2
4,0.174183514774495,813.232532940721,4
11,0.205756276791182,2666.20713832447,11
4,0.206261510128913,127.157384258531,4
2,0.186356073211314,140.140654638659,2
3,0.187604690117253,203.771143781009,3
3,0.202776101388051,61.5401249784825,3
2,0.171691364333163,335,2
9,0.203021148036254,1990.06754488606,9
3,0.161927710843373,511.175252042407,3
1,1,0,1
1,0.144640551011623,0,1
6,0.175640355462624,3645.56762441429,6
3,0.182311448724905,347.781732283469,3
5,0.184920198128784,745.56774489384,5
1,0.107177033492823,0,1
1,1,0,1
3,0.191235059760956,975.222203552162,3
1,1,0,1
10,0.219178082191781,2641.52726844385,10
4,0.171867007672634,498.402914975701,4
1,1,0,1
9,0.214696485623003,1662.16891724765,9
6,0.224749163879599,613.658432772066,6
3,0.185532854776367,896.127751929524,3
3,0.186770428015564,248.583988814003,3
5,0.200357781753131,591.417432017836,5
7,0.193659942363112,865.780230970259,7
3,1,3,3
3,0.117359413202934,669,3
3,0.152519291874716,1339.23612822733,3
1,0.138556701030928,0,1
1,1,0,1
1,1,0,1
2,1,1,2
2,0.181916621548457,335,2
4,0.173464119772845,370.145836178396,4
1,1,0,1
1,0.137987679671458,0,1
1,0.102846648301194,0,1
1,1,0,1
1,0.132439889633425,0,1
3,0.6,11,3
1,0.121606948968512,0,1
2,1,1,2
2,0.466666666666667,12,2
2,0.333333333333333,6,2
2,0.428571428571429,5,2
1,0.333333333333333,0,1
2,1,1,2
7,0.232204561161023,636.643685025439,7
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,0.199406528189911,0,1
6,0.208307501549907,1137.15844107104,6
2,0.172573189522342,1980,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
2,0.155196304849885,335,2
1,1,0,1
2,0.171867007672634,335,2
2,0.172043010752688,7.87261495975452,2
