"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Acaulium",-11.7836852471081,6.63367507217788,"Acaulium","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Acaulium","fun",0,0,0,0
"Acidocella",-0.874003863369158,-8.93563311623412,"Acidocella","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","bac",1,0.17379679144385,0,1
"Acrobeloides",-5.30752151359355,-14.4703450445088,"Acrobeloides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","fun",0,0,0,0
"Actinomadura",1.09264433179908,-5.33738302027063,"Actinomadura","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura","bac",4,0.328282828282828,46.7395182154409,4
"Altererythrobacter",2.92527067039555,14.594224615774,"Altererythrobacter","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","bac",2,1,1,2
"Alternaria",-7.88781405337251,0.481694700039448,"Alternaria","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","fun",2,0.218120805369128,4.18067108330266,2
"Anteholosticha",-3.26740041379223,15.4045860156154,"Anteholosticha","fun","Alveolata","Ciliophora","Spirotrichea","Urostylida","Holostichidae","Anteholosticha","fun",0,0,0,0
"Aquabacterium",5.14824137828302,13.1461579305359,"Aquabacterium","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium","bac",0,0,0,0
"Aquicella",7.47710223352184,14.3488593979628,"Aquicella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","bac",0,0,0,0
"Arachnomyces",-14.2700405833729,5.97168354046028,"Arachnomyces","fun","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","fun",0,0,0,0
"Arcopilus",-1.2030622306652,-13.077658955454,"Arcopilus","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Arcopilus","fun",10,0.335051546391753,378.694299024213,10
"Arenimonas",12.6130234010252,3.32387805378515,"Arenimonas","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","bac",2,0.222602739726027,11.9570190181336,2
"Armatimonadetes_gp5",-7.27032766947601,12.7245443756021,"Armatimonadetes_gp5","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","bac",0,0,0,0
"Arthrobacter",-13.1035491851662,9.14390291357855,"Arthrobacter","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","bac",0,0,0,0
"Ascobolus",13.5459012076749,8.23220719220543,"Ascobolus","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","fun",0,0,0,0
