"source","target","correlation","direct","cor"
"Actinomadura","Microascus",0.752321981424149,"undirected","+"
"Bacillus","Microascus",-0.708978328173375,"undirected","-"
"Dokdonella","Microascus",0.752321981424149,"undirected","+"
"Flavisolibacter","Microascus",0.737874097007224,"undirected","+"
"Gaiella","Microascus",-0.725490196078431,"undirected","-"
"Geobacter","Microascus",0.717234262125903,"undirected","+"
"Gp13","Microascus",-0.727554179566563,"undirected","-"
"Pedobacter","Microascus",0.717736867511896,"undirected","+"
"Pseudogulbenkiania","Microascus",-0.69453044375645,"undirected","-"
"Rhodanobacter","Microascus",0.900928792569659,"undirected","+"
"Rudaea","Microascus",0.760577915376677,"undirected","+"
"Sulfuricella","Microascus",0.756449948400413,"undirected","+"
"Thiobacillus","Microascus",0.775025799793602,"undirected","+"
"Flavisolibacter","Mortierella",0.698658410732714,"undirected","+"
"Flavitalea","Mortierella",0.826625386996904,"undirected","+"
"Gaiella","Mortierella",-0.762641898864809,"undirected","-"
"Gp6","Mortierella",0.758513931888545,"undirected","+"
"Rudaea","Mortierella",0.737874097007224,"undirected","+"
"Sphingobium","Mortierella",-0.696594427244582,"undirected","-"
"Aureobasidium","Gaiella",0.711042311661507,"undirected","+"
"Cladosporium","Gaiella",0.719298245614035,"undirected","+"
"Microascus","Gaiella",-0.725490196078431,"undirected","-"
"Mortierella","Gaiella",-0.762641898864809,"undirected","-"
"Scenedesmus","Gaiella",-0.698658410732714,"undirected","-"
"Chaetosphaeria","Rhodanobacter",0.775025799793602,"undirected","+"
"Cladosporium","Rhodanobacter",-0.711042311661507,"undirected","-"
"Hydrogonium","Rhodanobacter",0.692466460268318,"undirected","+"
"Microascus","Rhodanobacter",0.900928792569659,"undirected","+"
"Scopulariopsis","Rhodanobacter",0.865841073271414,"undirected","+"
"Chaetosphaeria","Flavisolibacter",0.696594427244582,"undirected","+"
"Microascus","Flavisolibacter",0.737874097007224,"undirected","+"
"Mortierella","Flavisolibacter",0.698658410732714,"undirected","+"
"Hydrogonium","Rudaea",0.708978328173375,"undirected","+"
"Microascus","Rudaea",0.760577915376677,"undirected","+"
"Mortierella","Rudaea",0.737874097007224,"undirected","+"
"Flavisolibacter","Chaetosphaeria",0.696594427244582,"undirected","+"
"Rhodanobacter","Chaetosphaeria",0.775025799793602,"undirected","+"
"Gaiella","Scenedesmus",-0.698658410732714,"undirected","-"
"Gaiella","Aureobasidium",0.711042311661507,"undirected","+"
"Microascus","Bacillus",-0.708978328173375,"undirected","-"
"Mortierella","Flavitalea",0.826625386996904,"undirected","+"
"Microascus","Geobacter",0.717234262125903,"undirected","+"
"Mortierella","Gp6",0.758513931888545,"undirected","+"
"Actinomadura","Scopulariopsis",0.878224974200207,"undirected","+"
"Dokdonella","Scopulariopsis",0.923632610939113,"undirected","+"
"Gp10","Scopulariopsis",0.775025799793602,"undirected","+"
"Gp13","Scopulariopsis",-0.719298245614035,"undirected","-"
"Gp17","Scopulariopsis",0.787409700722394,"undirected","+"
"Hyphomicrobium","Scopulariopsis",0.727554179566563,"undirected","+"
"Pedobacter","Scopulariopsis",0.744197212857957,"undirected","+"
"Povalibacter","Scopulariopsis",0.820433436532508,"undirected","+"
"Rhodanobacter","Scopulariopsis",0.865841073271414,"undirected","+"
"Rhodoplanes","Scopulariopsis",0.777089783281734,"undirected","+"
"Skermanella","Scopulariopsis",0.737874097007224,"undirected","+"
"Sphingobium","Scopulariopsis",-0.698658410732714,"undirected","-"
"Actinomadura","Cladosporium",-0.729618163054696,"undirected","-"
"Cupriavidus","Cladosporium",-0.717234262125903,"undirected","-"
"Gaiella","Cladosporium",0.719298245614035,"undirected","+"
"Gp17","Cladosporium",-0.715170278637771,"undirected","-"
"Herbaspirillum","Cladosporium",0.692466460268318,"undirected","+"
"Pedobacter","Cladosporium",-0.711121781175381,"undirected","-"
"Rhodanobacter","Cladosporium",-0.711042311661507,"undirected","-"
"Sphingobium","Cladosporium",0.700722394220846,"undirected","+"
"Thiobacillus","Cladosporium",-0.752321981424149,"undirected","-"
"Actinomadura","Conocybe",0.723426212590299,"undirected","+"
"Cupriavidus","Conocybe",0.715170278637771,"undirected","+"
"Gp10","Conocybe",0.820433436532508,"undirected","+"
"Gp17","Conocybe",0.713106295149639,"undirected","+"
"Hyphomicrobium","Conocybe",0.756449948400413,"undirected","+"
"Pedobacter","Conocybe",0.770657558204017,"undirected","+"
"Povalibacter","Conocybe",0.706914344685243,"undirected","+"
"Skermanella","Conocybe",0.735810113519092,"undirected","+"
"Cladosporium","Pedobacter",-0.711121781175381,"undirected","-"
"Conocybe","Pedobacter",0.770657558204017,"undirected","+"
"Microascus","Pedobacter",0.717736867511896,"undirected","+"
"Penicillium","Pedobacter",-0.706711723617704,"undirected","-"
"Scopulariopsis","Pedobacter",0.744197212857957,"undirected","+"
"Arcopilus","Dokdonella",-0.737874097007224,"undirected","-"
"Conlarium","Dokdonella",0.750257997936017,"undirected","+"
"Microascus","Dokdonella",0.752321981424149,"undirected","+"
"Scopulariopsis","Dokdonella",0.923632610939113,"undirected","+"
"Arcopilus","Sphingobium",0.754385964912281,"undirected","+"
"Cladosporium","Sphingobium",0.700722394220846,"undirected","+"
"Mortierella","Sphingobium",-0.696594427244582,"undirected","-"
"Scopulariopsis","Sphingobium",-0.698658410732714,"undirected","-"
"Cladosporium","Gp17",-0.715170278637771,"undirected","-"
"Conocybe","Gp17",0.713106295149639,"undirected","+"
"Scopulariopsis","Gp17",0.787409700722394,"undirected","+"
"Scytalidium","Gp17",0.693900139774678,"undirected","+"
"Conlarium","Skermanella",0.698658410732714,"undirected","+"
"Conocybe","Skermanella",0.735810113519092,"undirected","+"
"Penicillium","Skermanella",-0.70485036119711,"undirected","-"
"Scopulariopsis","Skermanella",0.737874097007224,"undirected","+"
"Cladosporium","Actinomadura",-0.729618163054696,"undirected","-"
"Conocybe","Actinomadura",0.723426212590299,"undirected","+"
"Microascus","Actinomadura",0.752321981424149,"undirected","+"
"Scopulariopsis","Actinomadura",0.878224974200207,"undirected","+"
"Arcopilus","Povalibacter",-0.725490196078431,"undirected","-"
"Conocybe","Povalibacter",0.706914344685243,"undirected","+"
"Scopulariopsis","Povalibacter",0.820433436532508,"undirected","+"
"Conocybe","Hyphomicrobium",0.756449948400413,"undirected","+"
"Scopulariopsis","Hyphomicrobium",0.727554179566563,"undirected","+"
"Tylenchorhynchus","Hyphomicrobium",-0.711042311661507,"undirected","-"
"Cladosporium","Cupriavidus",-0.717234262125903,"undirected","-"
"Conocybe","Cupriavidus",0.715170278637771,"undirected","+"
"Cladosporium","Thiobacillus",-0.752321981424149,"undirected","-"
"Microascus","Thiobacillus",0.775025799793602,"undirected","+"
"Conocybe","Gp10",0.820433436532508,"undirected","+"
"Scopulariopsis","Gp10",0.775025799793602,"undirected","+"
"Chondromyces","Arcopilus",-0.69453044375645,"undirected","-"
"Desertibacter","Arcopilus",-0.789473684210526,"undirected","-"
"Dokdonella","Arcopilus",-0.737874097007224,"undirected","-"
"Dongia","Arcopilus",-0.758513931888545,"undirected","-"
"Gp5","Arcopilus",-0.787409700722394,"undirected","-"
"Haliangium","Arcopilus",-0.78328173374613,"undirected","-"
"Povalibacter","Arcopilus",-0.725490196078431,"undirected","-"
"Pseudogulbenkiania","Arcopilus",0.696594427244582,"undirected","+"
"Rhodoplanes","Arcopilus",-0.750257997936017,"undirected","-"
"Sphingobium","Arcopilus",0.754385964912281,"undirected","+"
"Burkholderia","Conlarium",-0.706914344685243,"undirected","-"
"Candidatus_Solibacter","Conlarium",0.692466460268318,"undirected","+"
"Crenobacter","Conlarium",-0.706914344685243,"undirected","-"
"Dokdonella","Conlarium",0.750257997936017,"undirected","+"
"Gp13","Conlarium",-0.729618163054696,"undirected","-"
"Rhodoplanes","Conlarium",0.719298245614035,"undirected","+"
"Skermanella","Conlarium",0.698658410732714,"undirected","+"
"Gp5","Tylenchorhynchus",-0.725490196078431,"undirected","-"
"Hyphomicrobium","Tylenchorhynchus",-0.711042311661507,"undirected","-"
"Nitrosopumilus","Tylenchorhynchus",-0.715170278637771,"undirected","-"
"Pseudoduganella","Tylenchorhynchus",0.762641898864809,"undirected","+"
"WPS-1_genera_incertae_sedis","Tylenchorhynchus",0.750257997936017,"undirected","+"
"Acidocella","Humicola",0.73374613003096,"undirected","+"
"Burkholderia","Humicola",0.770897832817337,"undirected","+"
"Nitrosopumilus","Humicola",-0.711042311661507,"undirected","-"
"Arcopilus","Rhodoplanes",-0.750257997936017,"undirected","-"
"Conlarium","Rhodoplanes",0.719298245614035,"undirected","+"
