"","one","Means","SD"
"num.edges",118,118,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",90,90,0
"connectance",0.0294631710362047,0.0294631710362047,0
"average.degree",2.62222222222222,2.62222222222222,0
"average.path.length",3.72475795297372,4.40296308358635,0.199990131723517
"diameter",9,10.02,1.06344209570107
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0331578243006032,0.0179923420355971
"no.clusters",10,7.85,2.19446042699716
"centralization.degree",0.116604244694132,0.0505368289637953,0.0110966279355783
"centralization.betweenness",0.137891663909864,0.145757647884098,0.039456608765167
"centralization.closeness",1.17335674564067,NA,NA
