"source","target","correlation","direct","cor"
"bac_ASV_782","Height",-0.696594427244582,"undirected","-"
"bac_ASV_874","Height",-0.663913356415445,"undirected","-"
"bac_ASV_513","Height",-0.719298245614035,"undirected","-"
"bac_ASV_320","Height",-0.65531475748194,"undirected","-"
"bac_ASV_361","Height",-0.684210526315789,"undirected","-"
"bac_ASV_1489","Height",-0.935400178192595,"undirected","-"
"bac_ASV_923","Height",-0.756449948400413,"undirected","-"
"bac_ASV_129","Height",-0.752321981424149,"undirected","-"
"bac_ASV_227","Height",-0.711042311661507,"undirected","-"
"bac_ASV_912","Height",-0.673890608875129,"undirected","-"
"bac_ASV_661","Height",-0.651186790505676,"undirected","-"
"bac_ASV_244","Height",-0.739938080495356,"undirected","-"
"bac_ASV_651","Height",-0.837148190052206,"undirected","-"
"bac_ASV_772","Height",-0.736190082619304,"undirected","-"
"bac_ASV_407","Height",-0.686274509803922,"undirected","-"
"bac_ASV_242","Height",-0.762641898864809,"undirected","-"
"bac_ASV_400","Height",0.750257997936017,"undirected","+"
"bac_ASV_12","Height",0.777089783281734,"undirected","+"
"bac_ASV_1048","Height",0.805985552115583,"undirected","+"
"bac_ASV_133","Height",-0.74406604747162,"undirected","-"
"bac_ASV_39","Height",-0.642930856553148,"undirected","-"
"bac_ASV_62","Height",-0.651186790505676,"undirected","-"
"bac_ASV_143","Height",-0.78328173374613,"undirected","-"
"bac_ASV_310","Height",0.797729618163055,"undirected","+"
"bac_ASV_109","Height",0.713106295149639,"undirected","+"
"bac_ASV_276","Height",0.64499484004128,"undirected","+"
"bac_ASV_53","Height",0.797729618163055,"undirected","+"
"bac_ASV_386","Height",0.735810113519092,"undirected","+"
"bac_ASV_217","Height",0.669762641898865,"undirected","+"
"bac_ASV_707","Height",-0.78328173374613,"undirected","-"
"bac_ASV_542","Height",0.851393188854489,"undirected","+"
"bac_ASV_1584","Height",-0.671826625386997,"undirected","-"
"bac_ASV_139","Height",0.805985552115583,"undirected","+"
"bac_ASV_476","Height",-0.770897832817337,"undirected","-"
"bac_ASV_273","Height",0.799793601651187,"undirected","+"
"bac_ASV_423","Height",0.665634674922601,"undirected","+"
"bac_ASV_963","Height",0.768833849329205,"undirected","+"
"bac_ASV_122","Height",-0.717234262125903,"undirected","-"
"bac_ASV_258","Height",-0.760577915376677,"undirected","-"
"bac_ASV_286","Height",-0.647058823529412,"undirected","-"
"bac_ASV_614","Height",-0.678018575851393,"undirected","-"
"bac_ASV_329","Height",-0.857585139318885,"undirected","-"
"bac_ASV_229","Height",-0.661506707946336,"undirected","-"
"bac_ASV_462","Height",0.642930856553148,"undirected","+"
"bac_ASV_232","Height",-0.731682146542828,"undirected","-"
"bac_ASV_180","Height",0.673890608875129,"undirected","+"
"bac_ASV_82","Height",-0.739938080495356,"undirected","-"
"bac_ASV_48","Height",0.766769865841073,"undirected","+"
"bac_ASV_77","Height",0.752321981424149,"undirected","+"
"bac_ASV_682","Height",-0.69453044375645,"undirected","-"
"bac_ASV_178","Height",-0.797729618163055,"undirected","-"
"bac_ASV_735","Height",-0.70485036119711,"undirected","-"
"bac_ASV_290","Height",-0.808049535603715,"undirected","-"
"bac_ASV_332","Height",-0.843137254901961,"undirected","-"
"bac_ASV_425","Height",-0.715170278637771,"undirected","-"
"bac_ASV_135","Height",-0.74406604747162,"undirected","-"
"bac_ASV_28","Height",-0.805985552115583,"undirected","-"
"bac_ASV_45","Height",0.682146542827657,"undirected","+"
"bac_ASV_1038","Height",-0.719298245614035,"undirected","-"
"bac_ASV_855","Height",-0.653250773993808,"undirected","-"
"bac_ASV_653","Height",-0.723426212590299,"undirected","-"
"bac_ASV_568","Height",-0.642930856553148,"undirected","-"
"bac_ASV_521","Height",-0.797729618163055,"undirected","-"
"bac_ASV_75","Height",-0.739938080495356,"undirected","-"
"bac_ASV_277","Height",-0.874097007223942,"undirected","-"
"bac_ASV_878","Height",-0.91124871001032,"undirected","-"
"bac_ASV_1337","Height",-0.715539589418201,"undirected","-"
"bac_ASV_1207","Height",-0.656685683795059,"undirected","-"
"bac_ASV_11","Height",-0.857585139318885,"undirected","-"
"bac_ASV_428","Height",-0.79360165118679,"undirected","-"
"bac_ASV_211","Height",-0.671826625386997,"undirected","-"
"bac_ASV_206","Height",-0.742002063983488,"undirected","-"
"bac_ASV_1054","Height",-0.810113519091847,"undirected","-"
"bac_ASV_617","Height",-0.754385964912281,"undirected","-"
"bac_ASV_471","Height",-0.647058823529412,"undirected","-"
"bac_ASV_134","Height",0.671826625386997,"undirected","+"
"bac_ASV_235","Height",-0.698658410732714,"undirected","-"
"bac_ASV_930","Height",-0.742002063983488,"undirected","-"
"bac_ASV_799","Height",-0.843137254901961,"undirected","-"
"bac_ASV_451","Height",-0.644295387874398,"undirected","-"
"bac_ASV_92","Height",-0.789473684210526,"undirected","-"
"bac_ASV_965","Height",-0.725490196078431,"undirected","-"
"bac_ASV_782","RGR",-0.762641898864809,"undirected","-"
"bac_ASV_320","RGR",-0.642930856553148,"undirected","-"
"bac_ASV_1489","RGR",-0.789406839344252,"undirected","-"
"bac_ASV_129","RGR",-0.762641898864809,"undirected","-"
"bac_ASV_912","RGR",-0.727554179566563,"undirected","-"
"bac_ASV_651","RGR",-0.737561788261609,"undirected","-"
"bac_ASV_242","RGR",-0.70485036119711,"undirected","-"
"bac_ASV_54","RGR",0.659442724458204,"undirected","+"
"bac_ASV_1048","RGR",0.659442724458204,"undirected","+"
"bac_ASV_143","RGR",-0.657378740970072,"undirected","-"
"bac_ASV_310","RGR",0.766769865841073,"undirected","+"
"bac_ASV_1378","RGR",0.818369453044376,"undirected","+"
"bac_ASV_596","RGR",0.824561403508772,"undirected","+"
"bac_ASV_657","RGR",0.756449948400413,"undirected","+"
"bac_ASV_109","RGR",0.869969040247678,"undirected","+"
"bac_ASV_78","RGR",0.642930856553148,"undirected","+"
"bac_ASV_53","RGR",0.725490196078431,"undirected","+"
"bac_ASV_542","RGR",0.752321981424149,"undirected","+"
"bac_ASV_1192","RGR",-0.700722394220846,"undirected","-"
"bac_ASV_139","RGR",0.770897832817337,"undirected","+"
"bac_ASV_476","RGR",-0.698658410732714,"undirected","-"
"bac_ASV_119","RGR",-0.723426212590299,"undirected","-"
"bac_ASV_122","RGR",-0.680082559339525,"undirected","-"
"bac_ASV_258","RGR",-0.824561403508772,"undirected","-"
"bac_ASV_286","RGR",-0.696594427244582,"undirected","-"
"bac_ASV_723","RGR",-0.651186790505676,"undirected","-"
"bac_ASV_614","RGR",-0.700722394220846,"undirected","-"
"bac_ASV_329","RGR",-0.787409700722394,"undirected","-"
"bac_ASV_180","RGR",0.727554179566563,"undirected","+"
"bac_ASV_48","RGR",0.737874097007224,"undirected","+"
"bac_ASV_77","RGR",0.803921568627451,"undirected","+"
"bac_ASV_290","RGR",-0.748194014447884,"undirected","-"
"bac_ASV_495","RGR",-0.678018575851393,"undirected","-"
"bac_ASV_332","RGR",-0.770897832817337,"undirected","-"
"bac_ASV_135","RGR",-0.667698658410733,"undirected","-"
"bac_ASV_45","RGR",0.791537667698658,"undirected","+"
"bac_ASV_300","RGR",-0.73374613003096,"undirected","-"
"bac_ASV_521","RGR",-0.640866873065016,"undirected","-"
"bac_ASV_878","RGR",-0.756449948400413,"undirected","-"
"bac_ASV_1337","RGR",-0.776458544361453,"undirected","-"
"bac_ASV_11","RGR",-0.79360165118679,"undirected","-"
"bac_ASV_428","RGR",-0.824561403508772,"undirected","-"
"bac_ASV_522","RGR",0.659442724458204,"undirected","+"
"bac_ASV_498","RGR",0.679422342521555,"undirected","+"
"bac_ASV_165","RGR",0.684210526315789,"undirected","+"
"bac_ASV_1603","RGR",-0.659783257775224,"undirected","-"
"bac_ASV_350","RGR",-0.791537667698658,"undirected","-"
"bac_ASV_1054","RGR",-0.696594427244582,"undirected","-"
"bac_ASV_799","RGR",-0.638802889576883,"undirected","-"
"bac_ASV_367","RGR",-0.74406604747162,"undirected","-"
"bac_ASV_965","RGR",-0.684210526315789,"undirected","-"
"bac_ASV_129","LRL2",0.647058823529412,"undirected","+"
"bac_ASV_641","LRL2",0.642930856553148,"undirected","+"
"bac_ASV_1048","LRL2",-0.661506707946336,"undirected","-"
"bac_ASV_310","LRL2",-0.657378740970072,"undirected","-"
"bac_ASV_1378","LRL2",-0.836945304437564,"undirected","-"
"bac_ASV_596","LRL2",-0.876160990712074,"undirected","-"
"bac_ASV_657","LRL2",-0.770897832817337,"undirected","-"
"bac_ASV_283","LRL2",-0.659442724458204,"undirected","-"
"bac_ASV_109","LRL2",-0.752321981424149,"undirected","-"
"bac_ASV_53","LRL2",-0.65531475748194,"undirected","-"
"bac_ASV_542","LRL2",-0.673890608875129,"undirected","-"
"bac_ASV_1192","LRL2",0.692466460268318,"undirected","+"
"bac_ASV_139","LRL2",-0.690402476780186,"undirected","-"
"bac_ASV_119","LRL2",0.775025799793602,"undirected","+"
"bac_ASV_258","LRL2",0.686274509803922,"undirected","+"
"bac_ASV_329","LRL2",0.715170278637771,"undirected","+"
"bac_ASV_180","LRL2",-0.69453044375645,"undirected","-"
"bac_ASV_45","LRL2",-0.721362229102167,"undirected","-"
"bac_ASV_57","LRL2",-0.647058823529412,"undirected","-"
"bac_ASV_878","LRL2",0.649122807017544,"undirected","+"
"bac_ASV_11","LRL2",0.647058823529412,"undirected","+"
"bac_ASV_428","LRL2",0.828689370485036,"undirected","+"
"bac_ASV_165","LRL2",-0.742002063983488,"undirected","-"
"bac_ASV_367","LRL2",0.785345717234262,"undirected","+"
"bac_ASV_1489","AP",-0.72892388467851,"undirected","-"
"bac_ASV_129","AP",-0.690402476780186,"undirected","-"
"bac_ASV_651","AP",-0.665984061974617,"undirected","-"
"bac_ASV_310","AP",0.682146542827657,"undirected","+"
"bac_ASV_596","AP",0.698658410732714,"undirected","+"
"bac_ASV_657","AP",0.638802889576883,"undirected","+"
"bac_ASV_109","AP",0.737874097007224,"undirected","+"
"bac_ASV_542","AP",0.642930856553148,"undirected","+"
"bac_ASV_139","AP",0.675954592363261,"undirected","+"
"bac_ASV_196","AP",0.647058823529412,"undirected","+"
"bac_ASV_329","AP",-0.69453044375645,"undirected","-"
"bac_ASV_67","AP",0.690402476780186,"undirected","+"
"bac_ASV_1228","AP",0.659442724458204,"undirected","+"
"bac_ASV_347","AP",-0.717234262125903,"undirected","-"
"bac_ASV_277","AP",-0.764705882352941,"undirected","-"
"bac_ASV_878","AP",-0.667698658410733,"undirected","-"
"bac_ASV_1337","AP",-0.74754785387991,"undirected","-"
"bac_ASV_428","AP",-0.851393188854489,"undirected","-"
"bac_ASV_540","AP",0.651186790505676,"undirected","+"
"bac_ASV_95","AP",0.692466460268318,"undirected","+"
"bac_ASV_799","AP",-0.64499484004128,"undirected","-"
"bac_ASV_782","LRN2",0.657378740970072,"undirected","+"
"bac_ASV_129","LRN2",0.680082559339525,"undirected","+"
"bac_ASV_651","LRN2",0.673245570438515,"undirected","+"
"bac_ASV_242","LRN2",0.717234262125903,"undirected","+"
"bac_ASV_12","LRN2",-0.684210526315789,"undirected","-"
"bac_ASV_79","LRN2",0.708978328173375,"undirected","+"
"bac_ASV_143","LRN2",0.700722394220846,"undirected","+"
"bac_ASV_542","LRN2",-0.73374613003096,"undirected","-"
"bac_ASV_476","LRN2",0.797729618163055,"undirected","+"
"bac_ASV_342","LRN2",0.698658410732714,"undirected","+"
"bac_ASV_258","LRN2",0.661506707946336,"undirected","+"
"bac_ASV_329","LRN2",0.78328173374613,"undirected","+"
"bac_ASV_48","LRN2",-0.673890608875129,"undirected","-"
"bac_ASV_290","LRN2",0.649122807017544,"undirected","+"
"bac_ASV_425","LRN2",0.638802889576883,"undirected","+"
"bac_ASV_45","LRN2",-0.70485036119711,"undirected","-"
"bac_ASV_477","LRN2",0.651186790505676,"undirected","+"
"bac_ASV_878","LRN2",0.678018575851393,"undirected","+"
"bac_ASV_11","LRN2",0.692466460268318,"undirected","+"
"bac_ASV_930","LRN2",0.723426212590299,"undirected","+"
"bac_ASV_1138","TG",-0.700722394220846,"undirected","-"
"bac_ASV_380","TG",-0.78328173374613,"undirected","-"
"bac_ASV_142","TG",0.665634674922601,"undirected","+"
"bac_ASV_1378","TG",0.717234262125903,"undirected","+"
"bac_ASV_596","TG",0.708978328173375,"undirected","+"
"bac_ASV_283","TG",0.727554179566563,"undirected","+"
"bac_ASV_40","TG",0.657378740970072,"undirected","+"
"bac_ASV_109","TG",0.657378740970072,"undirected","+"
"bac_ASV_78","TG",0.727554179566563,"undirected","+"
"bac_ASV_1292","TG",0.652535004765755,"undirected","+"
"bac_ASV_119","TG",-0.859649122807018,"undirected","-"
"bac_ASV_1709","TG",0.691831883024232,"undirected","+"
"bac_ASV_45","TG",0.684210526315789,"undirected","+"
"bac_ASV_83","TG",0.727554179566563,"undirected","+"
"bac_ASV_302","TG",-0.649122807017544,"undirected","-"
"bac_ASV_428","TG",-0.659442724458204,"undirected","-"
"bac_ASV_165","TG",0.779153766769866,"undirected","+"
"CN","bac_ASV_119",0.711042311661507,"undirected","+"
"TG","bac_ASV_119",-0.859649122807018,"undirected","-"
"RGR","bac_ASV_119",-0.723426212590299,"undirected","-"
"LRN3","bac_ASV_119",-0.715170278637771,"undirected","-"
"LRL2","bac_ASV_119",0.775025799793602,"undirected","+"
"LRD2","bac_ASV_119",0.750257997936017,"undirected","+"
"LRD3","bac_ASV_119",0.746130030959752,"undirected","+"
"TLRN","bac_ASV_119",-0.727554179566563,"undirected","-"
"MID","bac_ASV_119",0.64499484004128,"undirected","+"
"TN","bac_ASV_329",0.651186790505676,"undirected","+"
"AP","bac_ASV_329",-0.69453044375645,"undirected","-"
"AK","bac_ASV_329",-0.642930856553148,"undirected","-"
"Height","bac_ASV_329",-0.857585139318885,"undirected","-"
"RGR","bac_ASV_329",-0.787409700722394,"undirected","-"
"LRN2","bac_ASV_329",0.78328173374613,"undirected","+"
"LRL2","bac_ASV_329",0.715170278637771,"undirected","+"
"NO3.N","bac_ASV_109",0.682146542827657,"undirected","+"
"AP","bac_ASV_109",0.737874097007224,"undirected","+"
"Height","bac_ASV_109",0.713106295149639,"undirected","+"
"TG","bac_ASV_109",0.657378740970072,"undirected","+"
"RGR","bac_ASV_109",0.869969040247678,"undirected","+"
"LRL2","bac_ASV_109",-0.752321981424149,"undirected","-"
"AP","bac_ASV_428",-0.851393188854489,"undirected","-"
"Height","bac_ASV_428",-0.79360165118679,"undirected","-"
"TG","bac_ASV_428",-0.659442724458204,"undirected","-"
"RGR","bac_ASV_428",-0.824561403508772,"undirected","-"
"LRW3","bac_ASV_428",0.647058823529412,"undirected","+"
"LRL2","bac_ASV_428",0.828689370485036,"undirected","+"
"AP","bac_ASV_129",-0.690402476780186,"undirected","-"
"Height","bac_ASV_129",-0.752321981424149,"undirected","-"
"RGR","bac_ASV_129",-0.762641898864809,"undirected","-"
"LRN2","bac_ASV_129",0.680082559339525,"undirected","+"
"LRL2","bac_ASV_129",0.647058823529412,"undirected","+"
"AP","bac_ASV_651",-0.665984061974617,"undirected","-"
"AK","bac_ASV_651",-0.752084805189404,"undirected","-"
"Height","bac_ASV_651",-0.837148190052206,"undirected","-"
"RGR","bac_ASV_651",-0.737561788261609,"undirected","-"
"LRN2","bac_ASV_651",0.673245570438515,"undirected","+"
"SOC","bac_ASV_143",0.723426212590299,"undirected","+"
"TN","bac_ASV_143",0.659442724458204,"undirected","+"
"Height","bac_ASV_143",-0.78328173374613,"undirected","-"
"RGR","bac_ASV_143",-0.657378740970072,"undirected","-"
"LRN2","bac_ASV_143",0.700722394220846,"undirected","+"
"NO3.N","bac_ASV_596",0.64499484004128,"undirected","+"
"AP","bac_ASV_596",0.698658410732714,"undirected","+"
"TG","bac_ASV_596",0.708978328173375,"undirected","+"
"RGR","bac_ASV_596",0.824561403508772,"undirected","+"
"LRL2","bac_ASV_596",-0.876160990712074,"undirected","-"
"AP","bac_ASV_542",0.642930856553148,"undirected","+"
"Height","bac_ASV_542",0.851393188854489,"undirected","+"
"RGR","bac_ASV_542",0.752321981424149,"undirected","+"
"LRN2","bac_ASV_542",-0.73374613003096,"undirected","-"
"LRL2","bac_ASV_542",-0.673890608875129,"undirected","-"
"Height","bac_ASV_476",-0.770897832817337,"undirected","-"
"RGR","bac_ASV_476",-0.698658410732714,"undirected","-"
"RB","bac_ASV_476",0.642930856553148,"undirected","+"
"LRN2","bac_ASV_476",0.797729618163055,"undirected","+"
"BI","bac_ASV_476",0.708978328173375,"undirected","+"
"AK","bac_ASV_258",-0.702786377708978,"undirected","-"
"Height","bac_ASV_258",-0.760577915376677,"undirected","-"
"RGR","bac_ASV_258",-0.824561403508772,"undirected","-"
"LRN2","bac_ASV_258",0.661506707946336,"undirected","+"
"LRL2","bac_ASV_258",0.686274509803922,"undirected","+"
"Height","bac_ASV_45",0.682146542827657,"undirected","+"
"TG","bac_ASV_45",0.684210526315789,"undirected","+"
"RGR","bac_ASV_45",0.791537667698658,"undirected","+"
"LRN2","bac_ASV_45",-0.70485036119711,"undirected","-"
"LRL2","bac_ASV_45",-0.721362229102167,"undirected","-"
"AP","bac_ASV_878",-0.667698658410733,"undirected","-"
"Height","bac_ASV_878",-0.91124871001032,"undirected","-"
"RGR","bac_ASV_878",-0.756449948400413,"undirected","-"
"LRN2","bac_ASV_878",0.678018575851393,"undirected","+"
"LRL2","bac_ASV_878",0.649122807017544,"undirected","+"
"AK","bac_ASV_11",-0.702786377708978,"undirected","-"
"Height","bac_ASV_11",-0.857585139318885,"undirected","-"
