"","one","Means","SD"
"num.edges",515,515,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",245,245,0
"connectance",0.0172298427567748,0.0172298427567748,0
"average.degree",4.20408163265306,4.20408163265306,0
"average.path.length",3.80863164938106,3.94640922893134,0.0335303001542201
"diameter",8,8.31,0.614554121031474
"edge.connectivity",1,0.01,0.1
"clustering.coefficient",0,0.01727182858155,0.00512625317840331
"no.clusters",1,4.67,1.50457215637449
"centralization.degree",0.318835731013717,0.0276062228169957,0.00576131211470231
"centralization.betweenness",0.429258358130142,0.0504640300954938,0.0129585889119209
"centralization.closeness",0.279968998655374,NA,NA
