"source","target","correlation","direct","cor"
"bac_ASV_223","pH",0.682146542827657,"undirected","+"
"bac_ASV_24","pH",0.673890608875129,"undirected","+"
"bac_ASV_124","pH",0.816305469556244,"undirected","+"
"bac_ASV_22","pH",0.814241486068112,"undirected","+"
"bac_ASV_86","pH",0.91124871001032,"undirected","+"
"bac_ASV_227","pH",0.661506707946336,"undirected","+"
"bac_ASV_144","pH",0.729618163054696,"undirected","+"
"bac_ASV_18","pH",0.65531475748194,"undirected","+"
"bac_ASV_376","pH",0.725490196078431,"undirected","+"
"bac_ASV_157","pH",0.634674922600619,"undirected","+"
"bac_ASV_133","pH",0.647058823529412,"undirected","+"
"bac_ASV_41","pH",0.826625386996904,"undirected","+"
"bac_ASV_39","pH",0.719298245614035,"undirected","+"
"bac_ASV_113","pH",0.671826625386997,"undirected","+"
"bac_ASV_143","pH",0.682146542827657,"undirected","+"
"bac_ASV_25","pH",0.938080495356037,"undirected","+"
"bac_ASV_99","pH",0.657378740970072,"undirected","+"
"bac_ASV_47","pH",0.791537667698658,"undirected","+"
"bac_ASV_10","pH",0.787409700722394,"undirected","+"
"bac_ASV_30","pH",0.647058823529412,"undirected","+"
"bac_ASV_416","pH",0.661848307095335,"undirected","+"
"bac_ASV_286","pH",0.760577915376677,"undirected","+"
"bac_ASV_130","pH",0.698658410732714,"undirected","+"
"bac_ASV_87","pH",0.682146542827657,"undirected","+"
"bac_ASV_229","pH",0.636738906088751,"undirected","+"
"bac_ASV_70","pH",0.739938080495356,"undirected","+"
"bac_ASV_65","pH",0.770897832817337,"undirected","+"
"bac_ASV_149","pH",0.74406604747162,"undirected","+"
"bac_ASV_232","pH",0.711042311661507,"undirected","+"
"bac_ASV_265","pH",0.779153766769866,"undirected","+"
"bac_ASV_9","pH",0.818369453044376,"undirected","+"
"bac_ASV_94","pH",0.863777089783282,"undirected","+"
"bac_ASV_82","pH",0.737874097007224,"undirected","+"
"bac_ASV_7","pH",0.669762641898865,"undirected","+"
"bac_ASV_20","pH",0.880288957688339,"undirected","+"
"bac_ASV_138","pH",0.756449948400413,"undirected","+"
"bac_ASV_36","pH",0.787409700722394,"undirected","+"
"bac_ASV_55","pH",0.640866873065016,"undirected","+"
"bac_ASV_31","pH",0.849329205366357,"undirected","+"
"bac_ASV_81","pH",0.77296181630547,"undirected","+"
"bac_ASV_50","pH",0.791537667698658,"undirected","+"
"bac_ASV_135","pH",0.70485036119711,"undirected","+"
"bac_ASV_28","pH",0.797729618163055,"undirected","+"
"bac_ASV_334","pH",0.742002063983488,"undirected","+"
"bac_ASV_304","pH",0.634674922600619,"undirected","+"
"bac_ASV_194","pH",0.816305469556244,"undirected","+"
"bac_ASV_189","pH",0.73374613003096,"undirected","+"
"bac_ASV_69","pH",0.725490196078431,"undirected","+"
"bac_ASV_38","pH",0.719298245614035,"undirected","+"
"bac_ASV_33","pH",0.727554179566563,"undirected","+"
"bac_ASV_64","pH",0.686274509803922,"undirected","+"
"bac_ASV_75","pH",0.715170278637771,"undirected","+"
"bac_ASV_277","pH",0.752321981424149,"undirected","+"
"bac_ASV_68","pH",0.78328173374613,"undirected","+"
"bac_ASV_11","pH",0.789473684210526,"undirected","+"
"bac_ASV_123","pH",0.686274509803922,"undirected","+"
"bac_ASV_316","pH",0.671826625386997,"undirected","+"
"bac_ASV_44","pH",0.843137254901961,"undirected","+"
"bac_ASV_88","pH",0.659442724458204,"undirected","+"
"fun_ASV_91","pH",0.700722394220846,"undirected","+"
"fun_ASV_138","pH",0.754385964912281,"undirected","+"
"fun_ASV_1","pH",0.69453044375645,"undirected","+"
"fun_ASV_15","pH",0.700722394220846,"undirected","+"
"fun_ASV_46","pH",0.849329205366357,"undirected","+"
"fun_ASV_13","pH",0.748194014447884,"undirected","+"
"fun_ASV_103","pH",0.717234262125903,"undirected","+"
"fun_ASV_324","pH",0.70485036119711,"undirected","+"
"fun_ASV_267","pH",0.737874097007224,"undirected","+"
"fun_ASV_176","pH",0.787409700722394,"undirected","+"
"fun_ASV_228","pH",0.785345717234262,"undirected","+"
"fun_ASV_85","pH",0.729618163054696,"undirected","+"
"fun_ASV_56","pH",0.634674922600619,"undirected","+"
"fun_ASV_196","pH",0.799793601651187,"undirected","+"
"fun_ASV_22","pH",0.717234262125903,"undirected","+"
"fun_ASV_48","pH",0.680082559339525,"undirected","+"
"fun_ASV_21","pH",0.863777089783282,"undirected","+"
"fun_ASV_101","pH",0.651186790505676,"undirected","+"
"fun_ASV_124","pH",0.708978328173375,"undirected","+"
"fun_ASV_294","pH",0.688338493292054,"undirected","+"
"fun_ASV_418","pH",0.651186790505676,"undirected","+"
"fun_ASV_54","pH",0.634674922600619,"undirected","+"
"fun_ASV_58","pH",0.636738906088751,"undirected","+"
"fun_ASV_57","pH",0.653250773993808,"undirected","+"
"fun_ASV_121","pH",0.706914344685243,"undirected","+"
"fun_ASV_26","pH",0.684210526315789,"undirected","+"
"fun_ASV_205","pH",0.711042311661507,"undirected","+"
"fun_ASV_12","pH",0.746130030959752,"undirected","+"
"fun_ASV_270","pH",0.779153766769866,"undirected","+"
"bac_ASV_223","SOC",0.642930856553148,"undirected","+"
"bac_ASV_124","SOC",0.754385964912281,"undirected","+"
"bac_ASV_22","SOC",0.717234262125903,"undirected","+"
"bac_ASV_86","SOC",0.8328173374613,"undirected","+"
"bac_ASV_227","SOC",0.721362229102167,"undirected","+"
"bac_ASV_144","SOC",0.653250773993808,"undirected","+"
"bac_ASV_157","SOC",0.719298245614035,"undirected","+"
"bac_ASV_133","SOC",0.640866873065016,"undirected","+"
"bac_ASV_41","SOC",0.708978328173375,"undirected","+"
"bac_ASV_39","SOC",0.711042311661507,"undirected","+"
"bac_ASV_62","SOC",0.682146542827657,"undirected","+"
"bac_ASV_113","SOC",0.725490196078431,"undirected","+"
"bac_ASV_143","SOC",0.826625386996904,"undirected","+"
"bac_ASV_25","SOC",0.851393188854489,"undirected","+"
"bac_ASV_99","SOC",0.665634674922601,"undirected","+"
"bac_ASV_47","SOC",0.777089783281734,"undirected","+"
"bac_ASV_30","SOC",0.696594427244582,"undirected","+"
"bac_ASV_305","SOC",0.653250773993808,"undirected","+"
"bac_ASV_416","SOC",0.757873100480461,"undirected","+"
"bac_ASV_286","SOC",0.698658410732714,"undirected","+"
"bac_ASV_130","SOC",0.717234262125903,"undirected","+"
"bac_ASV_229","SOC",0.766769865841073,"undirected","+"
"bac_ASV_65","SOC",0.653250773993808,"undirected","+"
"bac_ASV_232","SOC",0.698658410732714,"undirected","+"
"bac_ASV_265","SOC",0.766769865841073,"undirected","+"
"bac_ASV_9","SOC",0.680082559339525,"undirected","+"
"bac_ASV_94","SOC",0.799793601651187,"undirected","+"
"bac_ASV_82","SOC",0.826625386996904,"undirected","+"
"bac_ASV_20","SOC",0.795665634674923,"undirected","+"
"bac_ASV_36","SOC",0.721362229102167,"undirected","+"
"bac_ASV_31","SOC",0.731682146542828,"undirected","+"
"bac_ASV_81","SOC",0.649122807017544,"undirected","+"
"bac_ASV_50","SOC",0.770897832817337,"undirected","+"
"bac_ASV_135","SOC",0.686274509803922,"undirected","+"
"bac_ASV_28","SOC",0.781217750257998,"undirected","+"
"bac_ASV_334","SOC",0.692466460268318,"undirected","+"
"bac_ASV_304","SOC",0.706914344685243,"undirected","+"
"bac_ASV_194","SOC",0.814241486068112,"undirected","+"
"bac_ASV_189","SOC",0.696594427244582,"undirected","+"
"bac_ASV_38","SOC",0.680082559339525,"undirected","+"
"bac_ASV_33","SOC",0.692466460268318,"undirected","+"
"bac_ASV_75","SOC",0.688338493292054,"undirected","+"
"bac_ASV_277","SOC",0.739938080495356,"undirected","+"
"bac_ASV_68","SOC",0.678018575851393,"undirected","+"
"bac_ASV_11","SOC",0.727554179566563,"undirected","+"
"bac_ASV_206","SOC",0.680082559339525,"undirected","+"
"bac_ASV_156","SOC",0.762641898864809,"undirected","+"
"bac_ASV_348","SOC",0.64499484004128,"undirected","+"
"bac_ASV_179","SOC",0.680082559339525,"undirected","+"
"bac_ASV_92","SOC",0.686274509803922,"undirected","+"
"bac_ASV_316","SOC",0.713106295149639,"undirected","+"
"bac_ASV_44","SOC",0.770897832817337,"undirected","+"
"bac_ASV_88","SOC",0.667698658410733,"undirected","+"
"fun_ASV_91","SOC",0.758513931888545,"undirected","+"
"fun_ASV_155","SOC",-0.682146542827657,"undirected","-"
"fun_ASV_138","SOC",0.787409700722394,"undirected","+"
"fun_ASV_46","SOC",0.74406604747162,"undirected","+"
"fun_ASV_123","SOC",0.659442724458204,"undirected","+"
"fun_ASV_66","SOC",0.636738906088751,"undirected","+"
"fun_ASV_5","SOC",0.65531475748194,"undirected","+"
"fun_ASV_13","SOC",0.731682146542828,"undirected","+"
"fun_ASV_103","SOC",0.649122807017544,"undirected","+"
"fun_ASV_99","SOC",0.742002063983488,"undirected","+"
"fun_ASV_308","SOC",0.665634674922601,"undirected","+"
"fun_ASV_158","SOC",0.651186790505676,"undirected","+"
"fun_ASV_324","SOC",0.675954592363261,"undirected","+"
"fun_ASV_267","SOC",0.841073271413829,"undirected","+"
"fun_ASV_176","SOC",0.638802889576883,"undirected","+"
"fun_ASV_228","SOC",0.659442724458204,"undirected","+"
"fun_ASV_85","SOC",0.731682146542828,"undirected","+"
"fun_ASV_56","SOC",0.671826625386997,"undirected","+"
"fun_ASV_6","SOC",0.808049535603715,"undirected","+"
"fun_ASV_196","SOC",0.758513931888545,"undirected","+"
"fun_ASV_22","SOC",0.690402476780186,"undirected","+"
"fun_ASV_21","SOC",0.69453044375645,"undirected","+"
"fun_ASV_101","SOC",0.684210526315789,"undirected","+"
"fun_ASV_418","SOC",0.663570691434468,"undirected","+"
"fun_ASV_121","SOC",0.678018575851393,"undirected","+"
"fun_ASV_26","SOC",0.636738906088751,"undirected","+"
"fun_ASV_205","SOC",0.717234262125903,"undirected","+"
"fun_ASV_12","SOC",0.766769865841073,"undirected","+"
"fun_ASV_270","SOC",0.785345717234262,"undirected","+"
"bac_ASV_24","R.S",0.661506707946336,"undirected","+"
"bac_ASV_63","R.S",0.688338493292054,"undirected","+"
"bac_ASV_124","R.S",0.797729618163055,"undirected","+"
"bac_ASV_22","R.S",0.863777089783282,"undirected","+"
"bac_ASV_86","R.S",0.909184726522188,"undirected","+"
"bac_ASV_144","R.S",0.684210526315789,"undirected","+"
"bac_ASV_376","R.S",0.770897832817337,"undirected","+"
"bac_ASV_41","R.S",0.750257997936017,"undirected","+"
"bac_ASV_39","R.S",0.70485036119711,"undirected","+"
"bac_ASV_79","R.S",0.65531475748194,"undirected","+"
"bac_ASV_25","R.S",0.900928792569659,"undirected","+"
"bac_ASV_99","R.S",0.642930856553148,"undirected","+"
"bac_ASV_47","R.S",0.748194014447884,"undirected","+"
"bac_ASV_10","R.S",0.82249742002064,"undirected","+"
"bac_ASV_286","R.S",0.820433436532508,"undirected","+"
"bac_ASV_130","R.S",0.663570691434468,"undirected","+"
"bac_ASV_87","R.S",0.717234262125903,"undirected","+"
"bac_ASV_70","R.S",0.706914344685243,"undirected","+"
"bac_ASV_65","R.S",0.77296181630547,"undirected","+"
"bac_ASV_149","R.S",0.775025799793602,"undirected","+"
"bac_ASV_232","R.S",0.721362229102167,"undirected","+"
"bac_ASV_265","R.S",0.754385964912281,"undirected","+"
"bac_ASV_9","R.S",0.785345717234262,"undirected","+"
"bac_ASV_94","R.S",0.818369453044376,"undirected","+"
"bac_ASV_82","R.S",0.690402476780186,"undirected","+"
"bac_ASV_7","R.S",0.713106295149639,"undirected","+"
"bac_ASV_20","R.S",0.933952528379773,"undirected","+"
"bac_ASV_138","R.S",0.777089783281734,"undirected","+"
"bac_ASV_36","R.S",0.779153766769866,"undirected","+"
"bac_ASV_31","R.S",0.849329205366357,"undirected","+"
"bac_ASV_81","R.S",0.818369453044376,"undirected","+"
"bac_ASV_50","R.S",0.768833849329205,"undirected","+"
"bac_ASV_135","R.S",0.688338493292054,"undirected","+"
"bac_ASV_28","R.S",0.758513931888545,"undirected","+"
"bac_ASV_334","R.S",0.735810113519092,"undirected","+"
"bac_ASV_304","R.S",0.669762641898865,"undirected","+"
"bac_ASV_194","R.S",0.77296181630547,"undirected","+"
"bac_ASV_189","R.S",0.737874097007224,"undirected","+"
"bac_ASV_69","R.S",0.754385964912281,"undirected","+"
"bac_ASV_38","R.S",0.764705882352941,"undirected","+"
"bac_ASV_33","R.S",0.762641898864809,"undirected","+"
"bac_ASV_64","R.S",0.696594427244582,"undirected","+"
"bac_ASV_75","R.S",0.70485036119711,"undirected","+"
"bac_ASV_277","R.S",0.760577915376677,"undirected","+"
"bac_ASV_76","R.S",0.649122807017544,"undirected","+"
"bac_ASV_68","R.S",0.785345717234262,"undirected","+"
"bac_ASV_11","R.S",0.789473684210526,"undirected","+"
"bac_ASV_44","R.S",0.764705882352941,"undirected","+"
"bac_ASV_88","R.S",0.638802889576883,"undirected","+"
"fun_ASV_91","R.S",0.739938080495356,"undirected","+"
"fun_ASV_138","R.S",0.758513931888545,"undirected","+"
"fun_ASV_1","R.S",0.768833849329205,"undirected","+"
"fun_ASV_15","R.S",0.657378740970072,"undirected","+"
"fun_ASV_46","R.S",0.785345717234262,"undirected","+"
"fun_ASV_52","R.S",0.667698658410733,"undirected","+"
"fun_ASV_13","R.S",0.708978328173375,"undirected","+"
"fun_ASV_103","R.S",0.663570691434468,"undirected","+"
"fun_ASV_28","R.S",0.642930856553148,"undirected","+"
"fun_ASV_72","R.S",0.662876288517986,"undirected","+"
"fun_ASV_324","R.S",0.746130030959752,"undirected","+"
"fun_ASV_267","R.S",0.737874097007224,"undirected","+"
"fun_ASV_176","R.S",0.849329205366357,"undirected","+"
"fun_ASV_228","R.S",0.867905056759546,"undirected","+"
"fun_ASV_85","R.S",0.725490196078431,"undirected","+"
"fun_ASV_196","R.S",0.787409700722394,"undirected","+"
"fun_ASV_175","R.S",0.692466460268318,"undirected","+"
"fun_ASV_140","R.S",0.700722394220846,"undirected","+"
"fun_ASV_22","R.S",0.725490196078431,"undirected","+"
"fun_ASV_48","R.S",0.684210526315789,"undirected","+"
"fun_ASV_21","R.S",0.909184726522188,"undirected","+"
"fun_ASV_101","R.S",0.661506707946336,"undirected","+"
