"","one","Means","SD"
"num.edges",4421,4421,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",406,406,0
"connectance",0.0537736422793894,0.0537736422793894,0
"average.degree",21.7783251231527,21.7783251231527,0
"average.path.length",2.90198868819558,2.23981524052788,0.00151296244585716
"diameter",7,3.05,0.21904291355759
"edge.connectivity",1,9.76,1.2958363782484
"clustering.coefficient",0.154001846676899,0.0537123311674165,0.00121483206817951
"no.clusters",1,1,0
"centralization.degree",0.163510308337895,0.0361522836465365,0.00459165118333628
"centralization.betweenness",0.027752016812878,0.00521367981275167,0.000837759945897189
"centralization.closeness",0.24499191033295,0.0926381174324312,0.00940517875463367
