OTU_1	model1	color1	X2	Y2	OTU_2	weight	X1	Y1	cor	model2	color2	color	manual
ASV_2	model_3	#9E0142	-12.8596604642321	5.25968510038372	ASV_6	0.911791667001556	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-12.9412687538559	3.92351597796999	ASV_10	0.902966636545101	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-11.8063693629543	4.03528935607808	ASV_39	0.907864785677025	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-13.1537766599843	4.57697329428815	ASV_63	0.880130793937974	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-11.7831499880465	4.75968567811521	ASV_44	0.912194299135321	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-13.6154190017836	3.87076386719874	ASV_56	0.897300857989968	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-11.8744319325132	2.85087260988955	ASV_62	0.856750737151569	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-12.4592378301306	4.1706491760696	ASV_60	0.910504045067804	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-14.8961794747203	2.12597057376279	ASV_66	-0.861700241229061	-13.2749202737625	3.50972231280973	-	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-13.1787006858293	2.17122351518664	ASV_96	0.8885485871329	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-14.7258864227165	4.88587995867702	ASV_141	0.864251085989185	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_2	model_3	#9E0142	-12.685042973806	3.33895670706744	ASV_344	0.85356382248327	-13.2749202737625	3.50972231280973	+	model_3	#9E0142	model_3	#9E0142
ASV_8	model_25	#FEE695	3.24112680777699	14.3030923847812	ASV_106	0.873417908371225	2.12313845537973	14.8919229299725	+	model_25	#FEE695	model_25	#FEE695
ASV_8	model_25	#FEE695	2.88489958839293	15.1965045133214	ASV_334	0.938927971146744	2.12313845537973	14.8919229299725	+	model_25	#FEE695	model_25	#FEE695
ASV_6	model_3	#9E0142	-13.2749202737625	3.50972231280973	ASV_2	0.911791667001556	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-12.9412687538559	3.92351597796999	ASV_10	0.868019286119363	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-14.9377924789276	6.41537802733271	ASV_17	0.850247613768045	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-11.8063693629543	4.03528935607808	ASV_39	0.961388991414375	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-14.7313945613819	6.84383183987605	ASV_41	0.869610218550029	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-13.1537766599843	4.57697329428815	ASV_63	0.924033669344354	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-11.7831499880465	4.75968567811521	ASV_44	0.85317741349077	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-13.6154190017836	3.87076386719874	ASV_56	0.924125773537287	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-12.4592378301306	4.1706491760696	ASV_60	0.95084317115494	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-13.6842233566223	7.65763598461129	ASV_79	0.855927765520604	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
ASV_6	model_3	#9E0142	-14.7258864227165	4.88587995867702	ASV_141	0.86121322250335	-12.8596604642321	5.25968510038372	+	model_3	#9E0142	model_3	#9E0142
