Row.names	z	module	p	roles	label	role_7	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10	1.23160472132287	4	0.5	Peripherals		peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned
ASV_100	-1.22474487139159	30	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_101	1.009270597654	2	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_103	-1.06422781852132	6	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_bourgognense
ASV_104	-0.230925885248038	4	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_105	-0.914785690639585	2	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia_chinhatensis
ASV_106	1.3770653874284	3	0.382934443288241	Peripherals		peripheral	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned
ASV_107	0.409332617182361	7	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Unassigned
ASV_109	-0.52285889315973	5	0	Peripherals		ultra peripheral	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	Unassigned
ASV_11	0	28	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Unassigned
ASV_110	-0.914785690639585	2	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_111	0.716175621448705	1	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_112	-0.505150373980083	4	0	Peripherals		ultra peripheral	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned
ASV_114	0.528256525580605	2	0.375	Peripherals		peripheral	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Sandaracinus_amylolyticus
ASV_116	0	32	0	Peripherals		ultra peripheral	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium_phytohabitans
ASV_119	0	19	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_denitrificans
ASV_120	-0.32233404815872	4	0.622837370242215	Connectors	ASV_120	non hub connector	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Aeromicrobium_ginsengisoli
ASV_1208	0.730296743340221	25	0.279296875	Peripherals		peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_121	-0.577350269189626	20	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_122	1.43508079186394	5	0.5	Peripherals		peripheral	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	Unassigned
ASV_123	0.419224754018754	1	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Unassigned
ASV_127	-0.674278654602886	2	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_1275	-1.51064016599758	4	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned
ASV_128	0.419224754018754	1	0.5	Peripherals		peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_129	0.287749489543907	2	0.375	Peripherals		peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_alvei
ASV_130	0	14	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_133	-0.577350269189626	16	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_panaciterrae
ASV_137	-0.596558536890765	4	0.62	Connectors		non hub connector	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned
ASV_14	0.528256525580605	2	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_140	2.93332688594759	2	0	Module hubs	ASV_140	provincial hub	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Unassigned
ASV_141	0.317523092216052	4	0.375	Peripherals		peripheral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_namucuonensis
ASV_143	2.86120265963109	6	0	Module hubs	ASV_143	provincial hub	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Permianibacter	Permianibacter_aggregans
