source,target,correlation,direct,cor
ASV_617,ASV_11,1,undirected,+
ASV_307,ASV_11,1,undirected,+
ASV_104,ASV_11,-1,undirected,-
ASV_255,ASV_11,-1,undirected,-
ASV_1402,ASV_11,-1,undirected,-
ASV_372,ASV_11,-1,undirected,-
ASV_414,ASV_11,1,undirected,+
ASV_1418,ASV_11,1,undirected,+
ASV_1777,ASV_11,1,undirected,+
ASV_1659,ASV_11,1,undirected,+
ASV_998,ASV_11,1,undirected,+
ASV_1737,ASV_11,1,undirected,+
ASV_268,ASV_11,-1,undirected,-
ASV_567,ASV_11,1,undirected,+
ASV_1179,ASV_11,1,undirected,+
ASV_384,ASV_1,1,undirected,+
ASV_1207,ASV_1,-1,undirected,-
ASV_192,ASV_1,-1,undirected,-
ASV_1192,ASV_1,1,undirected,+
ASV_683,ASV_1,1,undirected,+
ASV_1129,ASV_1,1,undirected,+
ASV_140,ASV_1,1,undirected,+
ASV_1527,ASV_1,-1,undirected,-
ASV_183,ASV_1,1,undirected,+
ASV_271,ASV_1,-1,undirected,-
ASV_1620,ASV_1,-1,undirected,-
ASV_1911,ASV_1,1,undirected,+
ASV_627,ASV_1,-1,undirected,-
ASV_755,ASV_1,1,undirected,+
ASV_665,ASV_1,1,undirected,+
ASV_130,ASV_5,-1,undirected,-
ASV_278,ASV_5,1,undirected,+
ASV_1607,ASV_5,-1,undirected,-
ASV_2218,ASV_5,-1,undirected,-
ASV_45,ASV_5,1,undirected,+
ASV_1094,ASV_5,-1,undirected,-
ASV_634,ASV_5,1,undirected,+
ASV_1011,ASV_5,1,undirected,+
ASV_988,ASV_5,1,undirected,+
ASV_451,ASV_7,1,undirected,+
ASV_682,ASV_7,-1,undirected,-
ASV_571,ASV_7,1,undirected,+
ASV_125,ASV_7,-1,undirected,-
ASV_2005,ASV_7,-1,undirected,-
ASV_685,ASV_7,1,undirected,+
ASV_782,ASV_22,-1,undirected,-
ASV_1216,ASV_13,-1,undirected,-
ASV_1328,ASV_13,1,undirected,+
ASV_495,ASV_28,1,undirected,+
ASV_122,ASV_39,1,undirected,+
ASV_1110,ASV_39,-1,undirected,-
ASV_903,ASV_39,-1,undirected,-
ASV_732,ASV_39,1,undirected,+
ASV_3515,ASV_39,-1,undirected,-
ASV_438,ASV_39,-1,undirected,-
ASV_417,ASV_9,-1,undirected,-
ASV_2358,ASV_9,1,undirected,+
ASV_465,ASV_9,1,undirected,+
ASV_932,ASV_9,-1,undirected,-
ASV_2190,ASV_20,1,undirected,+
ASV_149,ASV_47,1,undirected,+
ASV_416,ASV_47,-1,undirected,-
ASV_235,ASV_47,1,undirected,+
ASV_521,ASV_47,1,undirected,+
ASV_324,ASV_47,1,undirected,+
ASV_200,ASV_47,1,undirected,+
ASV_478,ASV_47,-1,undirected,-
ASV_1535,ASV_47,1,undirected,+
ASV_1382,ASV_47,1,undirected,+
ASV_511,ASV_47,-1,undirected,-
ASV_1063,ASV_47,1,undirected,+
ASV_2655,ASV_47,1,undirected,+
ASV_1791,ASV_47,1,undirected,+
ASV_793,ASV_47,1,undirected,+
ASV_370,ASV_75,1,undirected,+
ASV_428,ASV_75,-1,undirected,-
ASV_54,ASV_75,-1,undirected,-
ASV_680,ASV_75,1,undirected,+
ASV_1396,ASV_75,1,undirected,+
ASV_2427,ASV_75,1,undirected,+
ASV_326,ASV_75,-1,undirected,-
ASV_3127,ASV_75,1,undirected,+
ASV_556,ASV_50,-1,undirected,-
ASV_508,ASV_50,1,undirected,+
ASV_148,ASV_66,1,undirected,+
ASV_336,ASV_79,1,undirected,+
ASV_77,ASV_79,-1,undirected,-
ASV_757,ASV_79,1,undirected,+
ASV_1342,ASV_79,1,undirected,+
ASV_189,ASV_86,1,undirected,+
ASV_636,ASV_86,1,undirected,+
ASV_1833,ASV_86,-1,undirected,-
ASV_708,ASV_86,1,undirected,+
ASV_1519,ASV_86,1,undirected,+
ASV_691,ASV_86,1,undirected,+
ASV_1302,ASV_86,1,undirected,+
ASV_2519,ASV_86,1,undirected,+
ASV_537,ASV_86,-1,undirected,-
ASV_621,ASV_86,-1,undirected,-
ASV_3751,ASV_86,-1,undirected,-
ASV_3,ASV_29,1,undirected,+
ASV_263,ASV_29,-1,undirected,-
ASV_159,ASV_29,1,undirected,+
ASV_185,ASV_29,1,undirected,+
ASV_362,ASV_29,1,undirected,+
ASV_201,ASV_29,1,undirected,+
ASV_1089,ASV_29,1,undirected,+
ASV_1488,ASV_29,-1,undirected,-
ASV_2607,ASV_29,-1,undirected,-
ASV_619,ASV_44,1,undirected,+
ASV_1657,ASV_44,-1,undirected,-
ASV_524,ASV_44,-1,undirected,-
ASV_1304,ASV_30,1,undirected,+
ASV_2209,ASV_30,-1,undirected,-
ASV_323,ASV_88,1,undirected,+
ASV_1300,ASV_88,1,undirected,+
ASV_1295,ASV_88,1,undirected,+
ASV_1286,ASV_88,1,undirected,+
ASV_620,ASV_88,1,undirected,+
ASV_170,ASV_2,-1,undirected,-
ASV_1006,ASV_2,-1,undirected,-
ASV_1282,ASV_2,1,undirected,+
ASV_1247,ASV_2,-1,undirected,-
ASV_1152,ASV_82,-1,undirected,-
ASV_5,ASV_130,-1,undirected,-
ASV_278,ASV_130,-1,undirected,-
ASV_1607,ASV_130,1,undirected,+
ASV_2218,ASV_130,1,undirected,+
ASV_45,ASV_130,-1,undirected,-
ASV_1094,ASV_130,1,undirected,+
ASV_634,ASV_130,-1,undirected,-
ASV_1011,ASV_130,-1,undirected,-
ASV_988,ASV_130,-1,undirected,-
ASV_279,ASV_25,1,undirected,+
ASV_4142,ASV_25,-1,undirected,-
ASV_195,ASV_25,1,undirected,+
ASV_309,ASV_25,-1,undirected,-
ASV_2238,ASV_25,1,undirected,+
ASV_1420,ASV_25,1,undirected,+
ASV_2152,ASV_25,1,undirected,+
ASV_272,ASV_129,1,undirected,+
ASV_721,ASV_129,1,undirected,+
ASV_641,ASV_92,1,undirected,+
ASV_224,ASV_92,1,undirected,+
ASV_494,ASV_92,1,undirected,+
ASV_2215,ASV_92,1,undirected,+
ASV_132,ASV_213,-1,undirected,-
ASV_302,ASV_41,1,undirected,+
ASV_247,ASV_41,-1,undirected,-
ASV_1297,ASV_41,1,undirected,+
ASV_983,ASV_41,1,undirected,+
ASV_1403,ASV_41,1,undirected,+
ASV_258,ASV_18,-1,undirected,-
ASV_2297,ASV_18,-1,undirected,-
ASV_1156,ASV_18,-1,undirected,-
ASV_446,ASV_18,1,undirected,+
ASV_2915,ASV_290,1,undirected,+
ASV_47,ASV_149,1,undirected,+
ASV_416,ASV_149,-1,undirected,-
ASV_235,ASV_149,1,undirected,+
ASV_521,ASV_149,1,undirected,+
ASV_324,ASV_149,1,undirected,+
ASV_200,ASV_149,1,undirected,+
ASV_478,ASV_149,-1,undirected,-
ASV_1535,ASV_149,1,undirected,+
ASV_1382,ASV_149,1,undirected,+
ASV_511,ASV_149,-1,undirected,-
ASV_1063,ASV_149,1,undirected,+
ASV_2655,ASV_149,1,undirected,+
ASV_1791,ASV_149,1,undirected,+
ASV_793,ASV_149,1,undirected,+
ASV_39,ASV_122,1,undirected,+
ASV_1110,ASV_122,-1,undirected,-
ASV_903,ASV_122,-1,undirected,-
ASV_732,ASV_122,1,undirected,+
ASV_3515,ASV_122,-1,undirected,-
ASV_438,ASV_122,-1,undirected,-
ASV_763,ASV_52,1,undirected,+
ASV_1483,ASV_52,1,undirected,+
ASV_178,ASV_103,1,undirected,+
ASV_218,ASV_103,1,undirected,+
ASV_2293,ASV_103,1,undirected,+
ASV_1012,ASV_103,1,undirected,+
ASV_2118,ASV_103,1,undirected,+
ASV_602,ASV_103,1,undirected,+
ASV_24,ASV_244,-1,undirected,-
ASV_762,ASV_244,1,undirected,+
ASV_1116,ASV_244,1,undirected,+
ASV_804,ASV_244,1,undirected,+
ASV_927,ASV_244,-1,undirected,-
ASV_48,ASV_244,-1,undirected,-
ASV_387,ASV_16,-1,undirected,-
ASV_1305,ASV_16,1,undirected,+
ASV_938,ASV_16,1,undirected,+
ASV_1015,ASV_16,1,undirected,+
ASV_1426,ASV_16,1,undirected,+
ASV_69,ASV_31,1,undirected,+
ASV_288,ASV_31,1,undirected,+
ASV_1233,ASV_31,-1,undirected,-
ASV_390,ASV_31,-1,undirected,-
ASV_720,ASV_31,1,undirected,+
ASV_1017,ASV_31,1,undirected,+
ASV_2319,ASV_36,-1,undirected,-
ASV_1075,ASV_36,-1,undirected,-
ASV_965,ASV_40,-1,undirected,-
ASV_1463,ASV_40,1,undirected,+
