"","KO","Means","SD"
"num.edges",4797,4797,0
"num.pos.edges",2796,0,0
"num.neg.edges",2001,0,0
"num.vertices",880,880,0
"connectance",0.0124030406453615,0.0124030406453615,0
"average.degree",10.9022727272727,10.9022727272727,0
"average.path.length",1,3.09203284084754,0.00191453503871563
"diameter",1,5.01,0.1
"edge.connectivity",0,2.19,0.734365664565637
"clustering.coefficient",1,0.0124273870449373,0.000924366735629743
"no.clusters",164,1.02,0.14070529413629
"centralization.degree",0.0331032164649912,0.0138995759644224,0.00205351927123646
"centralization.betweenness",0,0.00723140828055707,0.00138048455579963
"centralization.closeness",0,NA,NA
