"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_183",1,1,0,1
"ASV_1455",2,0.571428571428571,3,2
"ASV_1216",1,1,0,1
"ASV_148",1,0.666666666666667,0,1
"ASV_180",1,0.666666666666667,0,1
"ASV_473",2,1,0,2
"ASV_279",2,1,0,2
"ASV_2999",2,0.75,0,2
"ASV_1280",3,1,2,3
"ASV_683",3,1,0.5,3
"ASV_750",3,1,0.5,3
"ASV_1017",2,1,1,2
"ASV_1463",1,1,0,1
"ASV_424",2,0.571428571428571,3,2
"ASV_1329",2,1,1,2
"ASV_27",1,1,0,1
"ASV_59",1,1,0,1
"ASV_1049",1,1,0,1
"ASV_2880",1,1,0,1
"ASV_404",2,1,0,2
"ASV_2497",2,1,0,2
"ASV_186",1,1,0,1
"ASV_1089",1,1,0,1
"ASV_5273",2,0.411764705882353,6,2
"ASV_185",1,1,0,1
"ASV_583",1,1,0,1
"ASV_685",2,0.571428571428571,3,2
"ASV_1910",1,1,0,1
"ASV_159",1,0.666666666666667,0,1
"ASV_372",1,0.666666666666667,0,1
"ASV_134",2,0.571428571428571,3,2
"ASV_665",2,0.571428571428571,3,2
"ASV_733",7,0.551724137931034,30.1666666666667,7
"ASV_278",7,0.551724137931034,30.1666666666667,7
"ASV_612",6,0.457142857142857,3.16666666666667,6
"ASV_822",5,0.4,0.25,5
"ASV_3480",5,0.6,4,5
"ASV_2422",5,0.5625,6,5
"ASV_1601",4,0.529411764705882,14,4
"ASV_5000",5,0.6,4,5
"ASV_1477",5,0.5625,6,5
"ASV_1382",1,1,0,1
"ASV_200",1,1,0,1
"ASV_58",1,1,0,1
"ASV_641",3,0.6,11,3
"ASV_563",2,0.428571428571429,5,2
"ASV_878",1,1,0,1
"ASV_846",5,0.444444444444444,1.25,5
"ASV_1765",5,0.484848484848485,55.6666666666667,5
"ASV_188",6,0.484848484848485,48,6
"ASV_73",1,1,0,1
"ASV_1051",1,1,0,1
"ASV_964",1,1,0,1
"ASV_1962",1,1,0,1
