source,target,correlation,direct,cor
ASV_630,ASV_47,0.996759495701644,undirected,+
ASV_510,ASV_30,0.99681823982851,undirected,+
ASV_725,ASV_15,-0.995378543873558,undirected,-
ASV_260,ASV_66,-0.997802880005824,undirected,-
ASV_131,ASV_60,0.996497281886948,undirected,+
ASV_445,ASV_348,-0.994795206072801,undirected,-
ASV_99,ASV_1292,0.997315326306435,undirected,+
ASV_750,ASV_370,0.994949665447591,undirected,+
ASV_2011,ASV_71,-0.994166779238545,undirected,-
ASV_7471,ASV_71,-0.997452584538223,undirected,-
ASV_1292,ASV_99,0.997315326306435,undirected,+
ASV_901,ASV_456,0.998763886307986,undirected,+
ASV_51,ASV_1180,-0.994186016130229,undirected,-
ASV_1577,ASV_229,0.997683654043493,undirected,+
ASV_1180,ASV_51,-0.994186016130229,undirected,-
ASV_1598,ASV_874,-0.993862279102876,undirected,-
ASV_2830,ASV_83,-0.993863781332866,undirected,-
ASV_60,ASV_131,0.996497281886948,undirected,+
ASV_445,ASV_131,0.997770146545918,undirected,+
ASV_2830,ASV_131,0.994362428978695,undirected,+
ASV_1033,ASV_149,-0.996022113212618,undirected,-
ASV_201,ASV_109,0.99387279580447,undirected,+
ASV_614,ASV_313,-0.995797019701574,undirected,-
ASV_1346,ASV_451,0.994232521622114,undirected,+
ASV_599,ASV_1111,-0.996639562406312,undirected,-
ASV_572,ASV_180,0.994540042854423,undirected,+
ASV_3106,ASV_1228,0.99400031435589,undirected,+
ASV_2902,ASV_433,0.997489057138566,undirected,+
ASV_1236,ASV_2254,0.994371136401913,undirected,+
ASV_6921,ASV_2254,0.994324768395902,undirected,+
ASV_1519,ASV_459,0.996620962822096,undirected,+
ASV_1111,ASV_599,-0.996639562406312,undirected,-
ASV_256,ASV_599,0.994255023538899,undirected,+
ASV_1457,ASV_1018,-0.995349226817021,undirected,-
ASV_109,ASV_201,0.99387279580447,undirected,+
ASV_4370,ASV_350,-0.998065109170649,undirected,-
