source,target,correlation,direct,cor
ASV_35,ASV_185,1,undirected,+
ASV_24,ASV_185,-1,undirected,-
ASV_107,ASV_185,1,undirected,+
ASV_866,ASV_185,-1,undirected,-
ASV_963,ASV_185,1,undirected,+
ASV_418,ASV_185,-1,undirected,-
ASV_470,ASV_185,-1,undirected,-
ASV_947,ASV_185,-1,undirected,-
ASV_729,ASV_185,-1,undirected,-
ASV_506,ASV_185,-1,undirected,-
ASV_170,ASV_185,1,undirected,+
ASV_1029,ASV_185,-1,undirected,-
ASV_1245,ASV_185,1,undirected,+
ASV_1902,ASV_185,1,undirected,+
ASV_314,ASV_185,-1,undirected,-
ASV_402,ASV_185,-1,undirected,-
ASV_100,ASV_185,-1,undirected,-
ASV_535,ASV_185,1,undirected,+
ASV_377,ASV_185,1,undirected,+
ASV_629,ASV_185,-1,undirected,-
ASV_8,ASV_185,-1,undirected,-
ASV_780,ASV_185,-1,undirected,-
ASV_2162,ASV_185,1,undirected,+
ASV_1421,ASV_185,-1,undirected,-
ASV_1156,ASV_185,-1,undirected,-
ASV_852,ASV_185,-1,undirected,-
ASV_1276,ASV_185,-1,undirected,-
ASV_5853,ASV_185,-1,undirected,-
ASV_1960,ASV_185,-1,undirected,-
ASV_355,ASV_185,-1,undirected,-
ASV_586,ASV_185,1,undirected,+
ASV_494,ASV_185,1,undirected,+
ASV_1735,ASV_185,1,undirected,+
ASV_1284,ASV_185,1,undirected,+
ASV_956,ASV_185,-1,undirected,-
ASV_5890,ASV_185,1,undirected,+
ASV_941,ASV_185,-1,undirected,-
ASV_1628,ASV_185,-1,undirected,-
ASV_1160,ASV_185,-1,undirected,-
ASV_6043,ASV_185,1,undirected,+
ASV_35,ASV_24,-1,undirected,-
ASV_185,ASV_24,-1,undirected,-
ASV_107,ASV_24,-1,undirected,-
ASV_866,ASV_24,1,undirected,+
ASV_963,ASV_24,-1,undirected,-
ASV_418,ASV_24,1,undirected,+
ASV_470,ASV_24,1,undirected,+
ASV_947,ASV_24,1,undirected,+
ASV_729,ASV_24,1,undirected,+
ASV_506,ASV_24,1,undirected,+
ASV_170,ASV_24,-1,undirected,-
ASV_1029,ASV_24,1,undirected,+
ASV_1245,ASV_24,-1,undirected,-
ASV_1902,ASV_24,-1,undirected,-
ASV_314,ASV_24,1,undirected,+
ASV_402,ASV_24,1,undirected,+
ASV_100,ASV_24,1,undirected,+
ASV_535,ASV_24,-1,undirected,-
ASV_377,ASV_24,-1,undirected,-
ASV_629,ASV_24,1,undirected,+
ASV_8,ASV_24,1,undirected,+
ASV_780,ASV_24,1,undirected,+
ASV_2162,ASV_24,-1,undirected,-
ASV_1421,ASV_24,1,undirected,+
ASV_1156,ASV_24,1,undirected,+
ASV_852,ASV_24,1,undirected,+
ASV_1276,ASV_24,1,undirected,+
ASV_5853,ASV_24,1,undirected,+
ASV_1960,ASV_24,1,undirected,+
ASV_355,ASV_24,1,undirected,+
ASV_586,ASV_24,-1,undirected,-
ASV_494,ASV_24,-1,undirected,-
ASV_1735,ASV_24,-1,undirected,-
ASV_1284,ASV_24,-1,undirected,-
ASV_956,ASV_24,1,undirected,+
ASV_5890,ASV_24,-1,undirected,-
ASV_941,ASV_24,1,undirected,+
ASV_1628,ASV_24,1,undirected,+
ASV_1160,ASV_24,1,undirected,+
ASV_6043,ASV_24,-1,undirected,-
ASV_35,ASV_107,1,undirected,+
ASV_185,ASV_107,1,undirected,+
ASV_24,ASV_107,-1,undirected,-
ASV_866,ASV_107,-1,undirected,-
ASV_963,ASV_107,1,undirected,+
ASV_418,ASV_107,-1,undirected,-
ASV_470,ASV_107,-1,undirected,-
ASV_947,ASV_107,-1,undirected,-
ASV_729,ASV_107,-1,undirected,-
ASV_506,ASV_107,-1,undirected,-
ASV_170,ASV_107,1,undirected,+
ASV_1029,ASV_107,-1,undirected,-
ASV_1245,ASV_107,1,undirected,+
ASV_1902,ASV_107,1,undirected,+
ASV_314,ASV_107,-1,undirected,-
ASV_402,ASV_107,-1,undirected,-
ASV_100,ASV_107,-1,undirected,-
ASV_535,ASV_107,1,undirected,+
ASV_377,ASV_107,1,undirected,+
ASV_629,ASV_107,-1,undirected,-
ASV_8,ASV_107,-1,undirected,-
ASV_780,ASV_107,-1,undirected,-
ASV_2162,ASV_107,1,undirected,+
ASV_1421,ASV_107,-1,undirected,-
ASV_1156,ASV_107,-1,undirected,-
ASV_852,ASV_107,-1,undirected,-
ASV_1276,ASV_107,-1,undirected,-
ASV_5853,ASV_107,-1,undirected,-
ASV_1960,ASV_107,-1,undirected,-
ASV_355,ASV_107,-1,undirected,-
ASV_586,ASV_107,1,undirected,+
ASV_494,ASV_107,1,undirected,+
ASV_1735,ASV_107,1,undirected,+
ASV_1284,ASV_107,1,undirected,+
ASV_956,ASV_107,-1,undirected,-
ASV_5890,ASV_107,1,undirected,+
ASV_941,ASV_107,-1,undirected,-
ASV_1628,ASV_107,-1,undirected,-
ASV_1160,ASV_107,-1,undirected,-
ASV_6043,ASV_107,1,undirected,+
ASV_35,ASV_866,-1,undirected,-
ASV_185,ASV_866,-1,undirected,-
ASV_24,ASV_866,1,undirected,+
ASV_107,ASV_866,-1,undirected,-
ASV_963,ASV_866,-1,undirected,-
ASV_418,ASV_866,1,undirected,+
ASV_470,ASV_866,1,undirected,+
ASV_947,ASV_866,1,undirected,+
ASV_729,ASV_866,1,undirected,+
ASV_506,ASV_866,1,undirected,+
ASV_170,ASV_866,-1,undirected,-
ASV_1029,ASV_866,1,undirected,+
ASV_1245,ASV_866,-1,undirected,-
ASV_1902,ASV_866,-1,undirected,-
ASV_314,ASV_866,1,undirected,+
ASV_402,ASV_866,1,undirected,+
ASV_100,ASV_866,1,undirected,+
ASV_535,ASV_866,-1,undirected,-
ASV_377,ASV_866,-1,undirected,-
ASV_629,ASV_866,1,undirected,+
ASV_8,ASV_866,1,undirected,+
ASV_780,ASV_866,1,undirected,+
ASV_2162,ASV_866,-1,undirected,-
ASV_1421,ASV_866,1,undirected,+
ASV_1156,ASV_866,1,undirected,+
ASV_852,ASV_866,1,undirected,+
ASV_1276,ASV_866,1,undirected,+
ASV_5853,ASV_866,1,undirected,+
ASV_1960,ASV_866,1,undirected,+
ASV_355,ASV_866,1,undirected,+
ASV_586,ASV_866,-1,undirected,-
ASV_494,ASV_866,-1,undirected,-
ASV_1735,ASV_866,-1,undirected,-
ASV_1284,ASV_866,-1,undirected,-
ASV_956,ASV_866,1,undirected,+
ASV_5890,ASV_866,-1,undirected,-
ASV_941,ASV_866,1,undirected,+
ASV_1628,ASV_866,1,undirected,+
ASV_1160,ASV_866,1,undirected,+
ASV_6043,ASV_866,-1,undirected,-
ASV_35,ASV_963,1,undirected,+
ASV_185,ASV_963,1,undirected,+
ASV_24,ASV_963,-1,undirected,-
ASV_107,ASV_963,1,undirected,+
ASV_866,ASV_963,-1,undirected,-
ASV_418,ASV_963,-1,undirected,-
ASV_470,ASV_963,-1,undirected,-
ASV_947,ASV_963,-1,undirected,-
ASV_729,ASV_963,-1,undirected,-
ASV_506,ASV_963,-1,undirected,-
ASV_170,ASV_963,1,undirected,+
ASV_1029,ASV_963,-1,undirected,-
ASV_1245,ASV_963,1,undirected,+
ASV_1902,ASV_963,1,undirected,+
ASV_314,ASV_963,-1,undirected,-
ASV_402,ASV_963,-1,undirected,-
ASV_100,ASV_963,-1,undirected,-
ASV_535,ASV_963,1,undirected,+
ASV_377,ASV_963,1,undirected,+
ASV_629,ASV_963,-1,undirected,-
ASV_8,ASV_963,-1,undirected,-
ASV_780,ASV_963,-1,undirected,-
ASV_2162,ASV_963,1,undirected,+
ASV_1421,ASV_963,-1,undirected,-
ASV_1156,ASV_963,-1,undirected,-
ASV_852,ASV_963,-1,undirected,-
ASV_1276,ASV_963,-1,undirected,-
ASV_5853,ASV_963,-1,undirected,-
ASV_1960,ASV_963,-1,undirected,-
ASV_355,ASV_963,-1,undirected,-
ASV_586,ASV_963,1,undirected,+
ASV_494,ASV_963,1,undirected,+
ASV_1735,ASV_963,1,undirected,+
ASV_1284,ASV_963,1,undirected,+
ASV_956,ASV_963,-1,undirected,-
ASV_5890,ASV_963,1,undirected,+
ASV_941,ASV_963,-1,undirected,-
ASV_1628,ASV_963,-1,undirected,-
ASV_1160,ASV_963,-1,undirected,-
ASV_6043,ASV_963,1,undirected,+
ASV_35,ASV_418,-1,undirected,-
ASV_185,ASV_418,-1,undirected,-
ASV_24,ASV_418,1,undirected,+
ASV_107,ASV_418,-1,undirected,-
ASV_866,ASV_418,1,undirected,+
ASV_963,ASV_418,-1,undirected,-
ASV_470,ASV_418,1,undirected,+
ASV_947,ASV_418,1,undirected,+
ASV_729,ASV_418,1,undirected,+
ASV_506,ASV_418,1,undirected,+
ASV_170,ASV_418,-1,undirected,-
ASV_1029,ASV_418,1,undirected,+
ASV_1245,ASV_418,-1,undirected,-
ASV_1902,ASV_418,-1,undirected,-
ASV_314,ASV_418,1,undirected,+
ASV_402,ASV_418,1,undirected,+
ASV_100,ASV_418,1,undirected,+
ASV_535,ASV_418,-1,undirected,-
ASV_377,ASV_418,-1,undirected,-
ASV_629,ASV_418,1,undirected,+
ASV_8,ASV_418,1,undirected,+
ASV_780,ASV_418,1,undirected,+
ASV_2162,ASV_418,-1,undirected,-
ASV_1421,ASV_418,1,undirected,+
ASV_1156,ASV_418,1,undirected,+
ASV_852,ASV_418,1,undirected,+
ASV_1276,ASV_418,1,undirected,+
ASV_5853,ASV_418,1,undirected,+
ASV_1960,ASV_418,1,undirected,+
ASV_355,ASV_418,1,undirected,+
ASV_586,ASV_418,-1,undirected,-
ASV_494,ASV_418,-1,undirected,-
ASV_1735,ASV_418,-1,undirected,-
ASV_1284,ASV_418,-1,undirected,-
ASV_956,ASV_418,1,undirected,+
ASV_5890,ASV_418,-1,undirected,-
ASV_941,ASV_418,1,undirected,+
ASV_1628,ASV_418,1,undirected,+
ASV_1160,ASV_418,1,undirected,+
ASV_6043,ASV_418,-1,undirected,-
ASV_35,ASV_470,-1,undirected,-
ASV_185,ASV_470,-1,undirected,-
ASV_24,ASV_470,1,undirected,+
ASV_107,ASV_470,-1,undirected,-
ASV_866,ASV_470,1,undirected,+
ASV_963,ASV_470,-1,undirected,-
ASV_418,ASV_470,1,undirected,+
ASV_947,ASV_470,1,undirected,+
ASV_729,ASV_470,1,undirected,+
ASV_506,ASV_470,1,undirected,+
ASV_170,ASV_470,-1,undirected,-
ASV_1029,ASV_470,1,undirected,+
ASV_1245,ASV_470,-1,undirected,-
ASV_1902,ASV_470,-1,undirected,-
ASV_314,ASV_470,1,undirected,+
ASV_402,ASV_470,1,undirected,+
ASV_100,ASV_470,1,undirected,+
ASV_535,ASV_470,-1,undirected,-
ASV_377,ASV_470,-1,undirected,-
ASV_629,ASV_470,1,undirected,+
ASV_8,ASV_470,1,undirected,+
ASV_780,ASV_470,1,undirected,+
ASV_2162,ASV_470,-1,undirected,-
ASV_1421,ASV_470,1,undirected,+
ASV_1156,ASV_470,1,undirected,+
ASV_852,ASV_470,1,undirected,+
ASV_1276,ASV_470,1,undirected,+
ASV_5853,ASV_470,1,undirected,+
ASV_1960,ASV_470,1,undirected,+
ASV_355,ASV_470,1,undirected,+
ASV_586,ASV_470,-1,undirected,-
ASV_494,ASV_470,-1,undirected,-
ASV_1735,ASV_470,-1,undirected,-
ASV_1284,ASV_470,-1,undirected,-
ASV_956,ASV_470,1,undirected,+
ASV_5890,ASV_470,-1,undirected,-
ASV_941,ASV_470,1,undirected,+
ASV_1628,ASV_470,1,undirected,+
ASV_1160,ASV_470,1,undirected,+
ASV_6043,ASV_470,-1,undirected,-
ASV_35,ASV_947,-1,undirected,-
ASV_185,ASV_947,-1,undirected,-
ASV_24,ASV_947,1,undirected,+
ASV_107,ASV_947,-1,undirected,-
ASV_866,ASV_947,1,undirected,+
ASV_963,ASV_947,-1,undirected,-
ASV_418,ASV_947,1,undirected,+
ASV_470,ASV_947,1,undirected,+
ASV_729,ASV_947,1,undirected,+
ASV_506,ASV_947,1,undirected,+
ASV_170,ASV_947,-1,undirected,-
ASV_1029,ASV_947,1,undirected,+
ASV_1245,ASV_947,-1,undirected,-
ASV_1902,ASV_947,-1,undirected,-
ASV_314,ASV_947,1,undirected,+
ASV_402,ASV_947,1,undirected,+
ASV_100,ASV_947,1,undirected,+
ASV_535,ASV_947,-1,undirected,-
ASV_377,ASV_947,-1,undirected,-
ASV_629,ASV_947,1,undirected,+
ASV_8,ASV_947,1,undirected,+
ASV_780,ASV_947,1,undirected,+
ASV_2162,ASV_947,-1,undirected,-
ASV_1421,ASV_947,1,undirected,+
ASV_1156,ASV_947,1,undirected,+
ASV_852,ASV_947,1,undirected,+
ASV_1276,ASV_947,1,undirected,+
ASV_5853,ASV_947,1,undirected,+
ASV_1960,ASV_947,1,undirected,+
ASV_355,ASV_947,1,undirected,+
ASV_586,ASV_947,-1,undirected,-
ASV_494,ASV_947,-1,undirected,-
ASV_1735,ASV_947,-1,undirected,-
ASV_1284,ASV_947,-1,undirected,-
ASV_956,ASV_947,1,undirected,+
ASV_5890,ASV_947,-1,undirected,-
ASV_941,ASV_947,1,undirected,+
ASV_1628,ASV_947,1,undirected,+
ASV_1160,ASV_947,1,undirected,+
ASV_6043,ASV_947,-1,undirected,-
ASV_35,ASV_729,-1,undirected,-
ASV_185,ASV_729,-1,undirected,-
ASV_24,ASV_729,1,undirected,+
ASV_107,ASV_729,-1,undirected,-
ASV_866,ASV_729,1,undirected,+
ASV_963,ASV_729,-1,undirected,-
ASV_418,ASV_729,1,undirected,+
ASV_470,ASV_729,1,undirected,+
ASV_947,ASV_729,1,undirected,+
ASV_506,ASV_729,1,undirected,+
ASV_170,ASV_729,-1,undirected,-
ASV_1029,ASV_729,1,undirected,+
ASV_1245,ASV_729,-1,undirected,-
ASV_1902,ASV_729,-1,undirected,-
ASV_314,ASV_729,1,undirected,+
ASV_402,ASV_729,1,undirected,+
ASV_100,ASV_729,1,undirected,+
ASV_535,ASV_729,-1,undirected,-
ASV_377,ASV_729,-1,undirected,-
ASV_629,ASV_729,1,undirected,+
ASV_8,ASV_729,1,undirected,+
ASV_780,ASV_729,1,undirected,+
ASV_2162,ASV_729,-1,undirected,-
ASV_1421,ASV_729,1,undirected,+
ASV_1156,ASV_729,1,undirected,+
ASV_852,ASV_729,1,undirected,+
ASV_1276,ASV_729,1,undirected,+
ASV_5853,ASV_729,1,undirected,+
ASV_1960,ASV_729,1,undirected,+
ASV_355,ASV_729,1,undirected,+
ASV_586,ASV_729,-1,undirected,-
ASV_494,ASV_729,-1,undirected,-
ASV_1735,ASV_729,-1,undirected,-
ASV_1284,ASV_729,-1,undirected,-
ASV_956,ASV_729,1,undirected,+
ASV_5890,ASV_729,-1,undirected,-
ASV_941,ASV_729,1,undirected,+
ASV_1628,ASV_729,1,undirected,+
ASV_1160,ASV_729,1,undirected,+
ASV_6043,ASV_729,-1,undirected,-
ASV_35,ASV_506,-1,undirected,-
ASV_185,ASV_506,-1,undirected,-
ASV_24,ASV_506,1,undirected,+
ASV_107,ASV_506,-1,undirected,-
ASV_866,ASV_506,1,undirected,+
ASV_963,ASV_506,-1,undirected,-
ASV_418,ASV_506,1,undirected,+
ASV_470,ASV_506,1,undirected,+
ASV_947,ASV_506,1,undirected,+
ASV_729,ASV_506,1,undirected,+
ASV_170,ASV_506,-1,undirected,-
ASV_1029,ASV_506,1,undirected,+
ASV_1245,ASV_506,-1,undirected,-
ASV_1902,ASV_506,-1,undirected,-
ASV_314,ASV_506,1,undirected,+
ASV_402,ASV_506,1,undirected,+
ASV_100,ASV_506,1,undirected,+
ASV_535,ASV_506,-1,undirected,-
ASV_377,ASV_506,-1,undirected,-
ASV_629,ASV_506,1,undirected,+
