"","KO","Means","SD"
"num.edges",4797,4797,0
"num.pos.edges",2796,0,0
"num.neg.edges",2001,0,0
"num.vertices",880,880,0
"connectance",0.0124030406453615,0.0124030406453615,0
"average.degree",10.9022727272727,10.9022727272727,0
"average.path.length",1,3.0920922894623,0.00189517326696837
"diameter",1,5.04,0.196946385566932
"edge.connectivity",0,2.21,0.742572650596655
"clustering.coefficient",1,0.012316215195292,0.000844088941483706
"no.clusters",164,1.01,0.1
"centralization.degree",0.0331032164649912,0.0135924087289275,0.00160380254441088
"centralization.betweenness",0,0.00698844051659279,0.00101846231751231
"centralization.closeness",0,NA,NA
