"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_13",10,1,0,10
"ASV_239",10,1,0,10
"ASV_89",10,1,0,10
"ASV_1344",10,1,0,10
"ASV_779",10,1,0,10
"ASV_331",10,1,0,10
"ASV_517",10,1,0,10
"ASV_1537",10,1,0,10
"ASV_1672",10,1,0,10
"ASV_516",10,1,0,10
"ASV_1064",1,1,0,1
"ASV_131",6,1,0,6
"ASV_789",6,1,0,6
"ASV_1377",6,1,0,6
"ASV_413",6,1,0,6
"ASV_187",6,1,0,6
"ASV_907",6,1,0,6
"ASV_25",4,1,0,4
"ASV_74",4,1,0,4
"ASV_804",4,1,0,4
"ASV_1953",4,1,0,4
"ASV_17",35,1,0,35
"ASV_47",35,1,0,35
"ASV_57",35,1,0,35
"ASV_65",35,1,0,35
"ASV_204",35,1,0,35
"ASV_417",35,1,0,35
"ASV_104",35,1,0,35
"ASV_218",35,1,0,35
"ASV_508",35,1,0,35
"ASV_208",35,1,0,35
"ASV_454",35,1,0,35
"ASV_293",35,1,0,35
"ASV_2759",35,1,0,35
"ASV_1195",35,1,0,35
"ASV_493",35,1,0,35
"ASV_666",35,1,0,35
"ASV_195",35,1,0,35
"ASV_159",35,1,0,35
"ASV_354",35,1,0,35
"ASV_422",35,1,0,35
"ASV_690",35,1,0,35
"ASV_644",35,1,0,35
"ASV_714",35,1,0,35
"ASV_1696",35,1,0,35
"ASV_2256",35,1,0,35
"ASV_1073",35,1,0,35
"ASV_233",35,1,0,35
"ASV_677",35,1,0,35
"ASV_4063",35,1,0,35
"ASV_3069",35,1,0,35
"ASV_442",35,1,0,35
"ASV_3567",35,1,0,35
"ASV_1306",35,1,0,35
"ASV_146",35,1,0,35
"ASV_1737",35,1,0,35
"ASV_106",5,1,0,5
"ASV_549",5,1,0,5
"ASV_1061",5,1,0,5
"ASV_2386",5,1,0,5
"ASV_791",5,1,0,5
"ASV_80",2,1,0,2
"ASV_520",2,1,0,2
"ASV_460",2,1,0,2
"ASV_1265",2,1,0,2
"ASV_205",10,1,0,10
"ASV_372",10,1,0,10
"ASV_734",10,1,0,10
"ASV_1100",10,1,0,10
"ASV_1366",10,1,0,10
"ASV_624",10,1,0,10
"ASV_1127",10,1,0,10
"ASV_713",10,1,0,10
"ASV_703",10,1,0,10
"ASV_1181",10,1,0,10
"ASV_858",3,1,0,3
"ASV_456",3,1,0,3
"ASV_1059",3,1,0,3
"ASV_30",3,1,0,3
"ASV_561",3,1,0,3
"ASV_1484",3,1,0,3
"ASV_185",40,1,0,40
"ASV_24",40,1,0,40
"ASV_107",40,1,0,40
"ASV_866",40,1,0,40
"ASV_963",40,1,0,40
"ASV_418",40,1,0,40
"ASV_470",40,1,0,40
"ASV_947",40,1,0,40
"ASV_729",40,1,0,40
"ASV_506",40,1,0,40
"ASV_170",40,1,0,40
"ASV_1029",40,1,0,40
"ASV_1245",40,1,0,40
"ASV_1902",40,1,0,40
"ASV_314",40,1,0,40
"ASV_402",40,1,0,40
"ASV_100",40,1,0,40
"ASV_535",40,1,0,40
"ASV_377",40,1,0,40
"ASV_629",40,1,0,40
"ASV_8",40,1,0,40
"ASV_780",40,1,0,40
"ASV_2162",40,1,0,40
"ASV_1421",40,1,0,40
"ASV_1156",40,1,0,40
"ASV_852",40,1,0,40
"ASV_1276",40,1,0,40
"ASV_5853",40,1,0,40
"ASV_1960",40,1,0,40
"ASV_355",40,1,0,40
"ASV_586",40,1,0,40
"ASV_494",40,1,0,40
"ASV_1735",40,1,0,40
"ASV_1284",40,1,0,40
"ASV_956",40,1,0,40
"ASV_5890",40,1,0,40
"ASV_941",40,1,0,40
"ASV_1628",40,1,0,40
"ASV_1160",40,1,0,40
"ASV_6043",40,1,0,40
"ASV_510",5,1,0,5
"ASV_3037",5,1,0,5
"ASV_1285",5,1,0,5
"ASV_5693",5,1,0,5
"ASV_2077",5,1,0,5
"ASV_148",28,1,0,28
"ASV_34",28,1,0,28
"ASV_273",28,1,0,28
"ASV_276",28,1,0,28
"ASV_77",28,1,0,28
"ASV_70",28,1,0,28
"ASV_28",28,1,0,28
"ASV_165",28,1,0,28
"ASV_503",28,1,0,28
"ASV_142",28,1,0,28
"ASV_179",28,1,0,28
"ASV_572",28,1,0,28
"ASV_540",28,1,0,28
"ASV_802",28,1,0,28
"ASV_1745",28,1,0,28
"ASV_408",28,1,0,28
"ASV_865",28,1,0,28
"ASV_994",28,1,0,28
"ASV_590",28,1,0,28
"ASV_112",28,1,0,28
"ASV_1095",28,1,0,28
"ASV_1882",28,1,0,28
"ASV_959",28,1,0,28
"ASV_2113",28,1,0,28
"ASV_2900",28,1,0,28
"ASV_1836",28,1,0,28
"ASV_1456",28,1,0,28
"ASV_1783",28,1,0,28
"ASV_2133",1,1,0,1
"ASV_19",17,1,0,17
"ASV_299",17,1,0,17
"ASV_364",17,1,0,17
"ASV_59",17,1,0,17
"ASV_767",17,1,0,17
"ASV_434",17,1,0,17
"ASV_321",17,1,0,17
"ASV_1332",17,1,0,17
"ASV_234",17,1,0,17
"ASV_215",17,1,0,17
"ASV_659",17,1,0,17
"ASV_2992",17,1,0,17
"ASV_801",17,1,0,17
"ASV_370",17,1,0,17
"ASV_2612",17,1,0,17
"ASV_3332",17,1,0,17
"ASV_1371",17,1,0,17
"ASV_2402",1,1,0,1
"ASV_123",19,1,0,19
