"","Group1","Group2","Group3"
"num.edges(L)","2674","4797","2677"
"num.pos.edges","1400","2796","1432"
"num.neg.edges","1274","2001","1245"
"num.vertices(n)","882","880","908"
"Connectance(edge_density)","0.00688251085526908","0.0124030406453615","0.00650107582240916"
"average.degree(Average K)","6.06349206349206","10.9022727272727","5.89647577092511"
"average.path.length","1","1","1"
"diameter","1","1","1"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","1","1"
"no.clusters","189","164","215"
"centralization.degree","0.0169540385204403","0.0331032164649912","0.0199597841555401"
"centralization.betweenness","0","0","0"
"centralization.closeness","0","0","0"
"RM(relative.modularity)","2.16929380695312","3.10431295270579","2.0256687262477"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
