"source","target","correlation","direct","cor"
"ASV_707","ASV_725",-0.811679449913428,"undirected","-"
"ASV_384","ASV_725",0.927633657043918,"undirected","+"
"ASV_63","ASV_725",0.811679449913428,"undirected","+"
"ASV_305","ASV_725",-0.84066800169605,"undirected","-"
"ASV_253","ASV_725",-0.84066800169605,"undirected","-"
"ASV_300","ASV_725",0.927633657043918,"undirected","+"
"ASV_123","ASV_725",-0.869656553478673,"undirected","-"
"ASV_473","ASV_725",-0.811679449913428,"undirected","-"
"ASV_1835","ASV_725",0.811679449913428,"undirected","+"
"ASV_428","ASV_725",0.811679449913428,"undirected","+"
"ASV_459","ASV_725",-0.84066800169605,"undirected","-"
"ASV_27","ASV_725",0.811679449913428,"undirected","+"
"ASV_661","ASV_725",-0.811679449913428,"undirected","-"
"ASV_617","ASV_725",-0.985610760609162,"undirected","-"
"ASV_54","ASV_725",0.811679449913428,"undirected","+"
"ASV_59","ASV_725",0.985610760609162,"undirected","+"
"ASV_313","ASV_725",-0.927633657043918,"undirected","-"
"ASV_694","ASV_725",0.811679449913428,"undirected","+"
"ASV_134","ASV_725",0.927633657043918,"undirected","+"
"ASV_663","ASV_725",0.811679449913428,"undirected","+"
"ASV_73","ASV_725",0.927633657043918,"undirected","+"
"ASV_307","ASV_725",-0.985610760609162,"undirected","-"
"ASV_103","ASV_149",0.885714285714286,"undirected","+"
"ASV_80","ASV_149",1,"undirected","+"
"ASV_451","ASV_149",-0.942857142857143,"undirected","-"
"ASV_15","ASV_149",-0.828571428571429,"undirected","-"
"ASV_178","ASV_149",0.885714285714286,"undirected","+"
"ASV_133","ASV_149",-0.828571428571429,"undirected","-"
"ASV_99","ASV_149",0.885714285714286,"undirected","+"
"ASV_232","ASV_149",0.942857142857143,"undirected","+"
"ASV_416","ASV_149",-0.885714285714286,"undirected","-"
"ASV_65","ASV_149",0.942857142857143,"undirected","+"
"ASV_272","ASV_149",-0.885714285714286,"undirected","-"
"ASV_190","ASV_149",0.885714285714286,"undirected","+"
"ASV_205","ASV_149",-0.885714285714286,"undirected","-"
"ASV_812","ASV_149",-0.942857142857143,"undirected","-"
"ASV_332","ASV_149",0.828571428571429,"undirected","+"
"ASV_141","ASV_149",0.942857142857143,"undirected","+"
"ASV_725","ASV_149",-0.811679449913428,"undirected","-"
"ASV_63","ASV_149",-1,"undirected","-"
"ASV_235","ASV_149",0.942857142857143,"undirected","+"
"ASV_305","ASV_149",0.885714285714286,"undirected","+"
"ASV_300","ASV_149",-0.885714285714286,"undirected","-"
"ASV_782","ASV_149",-0.942857142857143,"undirected","-"
"ASV_521","ASV_149",0.942857142857143,"undirected","+"
"ASV_324","ASV_149",0.942857142857143,"undirected","+"
"ASV_473","ASV_149",0.942857142857143,"undirected","+"
"ASV_279","ASV_149",0.828571428571429,"undirected","+"
"ASV_1835","ASV_149",-0.942857142857143,"undirected","-"
"ASV_428","ASV_149",-0.828571428571429,"undirected","-"
"ASV_27","ASV_149",-0.828571428571429,"undirected","-"
"ASV_617","ASV_149",0.828571428571429,"undirected","+"
"ASV_54","ASV_149",-0.828571428571429,"undirected","-"
"ASV_663","ASV_149",-0.828571428571429,"undirected","-"
"ASV_73","ASV_149",-0.885714285714286,"undirected","-"
"ASV_307","ASV_149",0.828571428571429,"undirected","+"
"ASV_149","ASV_80",1,"undirected","+"
"ASV_451","ASV_80",-0.942857142857143,"undirected","-"
"ASV_15","ASV_80",-0.828571428571429,"undirected","-"
"ASV_178","ASV_80",0.885714285714286,"undirected","+"
"ASV_133","ASV_80",-0.828571428571429,"undirected","-"
"ASV_99","ASV_80",0.885714285714286,"undirected","+"
"ASV_232","ASV_80",0.942857142857143,"undirected","+"
"ASV_416","ASV_80",-0.885714285714286,"undirected","-"
"ASV_65","ASV_80",0.942857142857143,"undirected","+"
"ASV_272","ASV_80",-0.885714285714286,"undirected","-"
"ASV_190","ASV_80",0.885714285714286,"undirected","+"
"ASV_205","ASV_80",-0.885714285714286,"undirected","-"
"ASV_812","ASV_80",-0.942857142857143,"undirected","-"
"ASV_332","ASV_80",0.828571428571429,"undirected","+"
"ASV_141","ASV_80",0.942857142857143,"undirected","+"
"ASV_725","ASV_80",-0.811679449913428,"undirected","-"
"ASV_63","ASV_80",-1,"undirected","-"
"ASV_235","ASV_80",0.942857142857143,"undirected","+"
"ASV_305","ASV_80",0.885714285714286,"undirected","+"
"ASV_300","ASV_80",-0.885714285714286,"undirected","-"
"ASV_782","ASV_80",-0.942857142857143,"undirected","-"
"ASV_521","ASV_80",0.942857142857143,"undirected","+"
"ASV_324","ASV_80",0.942857142857143,"undirected","+"
"ASV_473","ASV_80",0.942857142857143,"undirected","+"
"ASV_279","ASV_80",0.828571428571429,"undirected","+"
"ASV_1835","ASV_80",-0.942857142857143,"undirected","-"
"ASV_428","ASV_80",-0.828571428571429,"undirected","-"
"ASV_27","ASV_80",-0.828571428571429,"undirected","-"
"ASV_617","ASV_80",0.828571428571429,"undirected","+"
"ASV_54","ASV_80",-0.828571428571429,"undirected","-"
"ASV_663","ASV_80",-0.828571428571429,"undirected","-"
"ASV_73","ASV_80",-0.885714285714286,"undirected","-"
"ASV_307","ASV_80",0.828571428571429,"undirected","+"
"ASV_149","ASV_63",-1,"undirected","-"
"ASV_80","ASV_63",-1,"undirected","-"
"ASV_235","ASV_63",-0.942857142857143,"undirected","-"
