"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_707","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Unassigned","Unassigned",0.00102931182810364,"ASV_707"
"ASV_384","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned",0.00101938407896202,"ASV_384"
"ASV_63","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00101248775378786,"ASV_63"
"ASV_305","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned",0.000960927391472055,"ASV_305"
"ASV_253","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_granadensis",0.000953454986438504,"ASV_253"
"ASV_300","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.000947321590723198,"ASV_300"
"ASV_123","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis",0.000923951596849917,"ASV_123"
"ASV_473","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00092121973475812,"ASV_473"
"ASV_1835","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000894382639943956,"ASV_1835"
"ASV_428","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.000892094913657257,"ASV_428"
"ASV_459","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned",0.000876617078481437,"ASV_459"
"ASV_27","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned",0.000857465090781682,"ASV_27"
"ASV_661","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.000847106142931472,"ASV_661"
"ASV_617","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000845439293399491,"ASV_617"
"ASV_54","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.000839437502704125,"ASV_54"
"ASV_59","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","Telmatobacter_bradus",0.000832270745549741,"ASV_59"
"ASV_313","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned",0.000830812658327004,"ASV_313"
"ASV_694","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned",0.00082302452793098,"ASV_694"
"ASV_134","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned",0.000806584288048933,"ASV_134"
"ASV_663","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned",0.000788199065572604,"ASV_663"
"ASV_73","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned",0.000783771392456095,"ASV_73"
"ASV_307","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000780422116562429,"ASV_307"
"ASV_103","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea",0.00231437624071599,"ASV_103"
"ASV_80","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter_cryotolerans",0.00182616018463287,"ASV_80"
"ASV_451","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00180975941300476,"ASV_451"
"ASV_15","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned",0.00178952862617631,"ASV_15"
"ASV_178","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned",0.00164893350279505,"ASV_178"
"ASV_133","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned",0.00138589098128552,"ASV_133"
"ASV_99","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00129219999309864,"ASV_99"
"ASV_232","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00126591104449834,"ASV_232"
"ASV_416","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","Aquicella_siphonis",0.001248488351331,"ASV_416"
"ASV_65","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.00122253581740421,"ASV_65"
"ASV_272","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Sediminibacterium","Unassigned",0.00119295367234719,"ASV_272"
"ASV_190","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00119287751541301,"ASV_190"
"ASV_205","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned",0.00113980479415086,"ASV_205"
"ASV_812","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00112629389437327,"ASV_812"
"ASV_332","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00108038697090838,"ASV_332"
"ASV_141","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.0010406516819866,"ASV_141"
"ASV_725","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00104042836205576,"ASV_725"
