"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_1","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned",0.0437161680170328,"ASV_1"
"ASV_10","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_pickettii",0.00581876302706934,"ASV_10"
"ASV_101","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned",0.00127038348218893,"ASV_101"
"ASV_104","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis",0.000814782158610903,"ASV_104"
"ASV_105","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00142563310911952,"ASV_105"
"ASV_106","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis",0.000905602465179405,"ASV_106"
"ASV_107","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta",0.00146887719873102,"ASV_107"
"ASV_109","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned",0.00122557065296567,"ASV_109"
"ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.00400578491268731,"ASV_11"
"ASV_111","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Unassigned",0.00202573644051897,"ASV_111"
"ASV_114","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","Unassigned",0.00124431543540681,"ASV_114"
"ASV_116","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00132124770609095,"ASV_116"
"ASV_117","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00072984416362481,"ASV_117"
"ASV_118","Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast","Streptophyta","Unassigned",0.000840898876988379,"ASV_118"
"ASV_12","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00129005021755111,"ASV_12"
"ASV_122","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000858682303205584,"ASV_122"
"ASV_123","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis",0.000845779379993993,"ASV_123"
"ASV_124","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned",0.00108941522218973,"ASV_124"
"ASV_127","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00320349618966029,"ASV_127"
"ASV_128","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned",0.000994495070841886,"ASV_128"
"ASV_13","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned",0.00597079817051391,"ASV_13"
"ASV_1301","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned",0.000739967066226862,"ASV_1301"
"ASV_1305","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Unassigned","Unassigned",0.000712889468171761,"ASV_1305"
