"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_21",33,0.375471698113208,112.070312218844,33
"ASV_23",33,0.375471698113208,112.070312218844,33
"ASV_19",14,0.339590443686007,145.929422646472,14
"ASV_130",14,0.339590443686007,145.929422646472,14
"ASV_68",12,0.32516339869281,39.5154585545368,12
"ASV_65",10,0.3109375,70.486039355774,10
"ASV_229",19,0.360507246376812,258.471479156656,19
"ASV_424",25,0.363138686131387,383.628081370706,25
"ASV_202",21,0.349736379613357,95.4669186551463,21
"ASV_155",12,0.32569558101473,73.8716598430072,12
"ASV_301",25,0.363138686131387,383.628081370706,25
"ASV_294",19,0.360507246376812,258.471479156656,19
"ASV_28",8,0.311424100156495,207.692870621344,8
"ASV_82",6,0.296130952380952,98.0671373802426,6
"ASV_70",13,0.351590106007067,410.686358148462,13
"ASV_1032",13,0.33843537414966,196.399406562029,13
"ASV_416",9,0.339590443686007,350.641332832559,9
"ASV_352",7,0.295252225519288,175.751630406793,7
"ASV_35",48,0.424307036247335,130.511003488747,48
"ASV_80",48,0.424307036247335,130.511003488747,48
"ASV_29",38,0.393280632411067,198.97590546506,38
"ASV_75",42,0.401209677419355,186.670155756026,42
"ASV_36",53,0.434497816593886,283.266771081886,53
"ASV_2",53,0.434497816593886,283.266771081886,53
"ASV_38",16,0.368518518518519,638.873464547295,16
"ASV_49",42,0.401209677419355,186.670155756026,42
"ASV_46",46,0.416317991631799,140.385749266767,46
"ASV_66",54,0.430735930735931,300.774582145525,54
"ASV_142",53,0.434497816593886,283.266771081886,53
"ASV_60",46,0.416317991631799,140.385749266767,46
"ASV_71",54,0.430735930735931,300.774582145525,54
"ASV_276",48,0.424307036247335,130.511003488747,48
"ASV_253",48,0.424307036247335,130.511003488747,48
"ASV_1180",48,0.424307036247335,130.511003488747,48
"ASV_200",30,0.374764595103578,68.9013996326984,30
"ASV_51",48,0.424307036247335,130.511003488747,48
"ASV_874",48,0.424307036247335,130.511003488747,48
"ASV_45",46,0.416317991631799,140.385749266767,46
"ASV_131",46,0.416317991631799,140.385749266767,46
"ASV_262",16,0.364468864468864,190.585515050452,16
"ASV_34",48,0.424307036247335,130.511003488747,48
"ASV_451",54,0.430735930735931,300.774582145525,54
"ASV_309",42,0.401209677419355,186.670155756026,42
"ASV_398",54,0.430735930735931,300.774582145525,54
"ASV_218",18,0.363138686131387,288.627319240824,18
"ASV_1111",42,0.401209677419355,186.670155756026,42
"ASV_164",48,0.424307036247335,130.511003488747,48
"ASV_404",53,0.434497816593886,283.266771081886,53
"ASV_134",30,0.374764595103578,68.9013996326984,30
"ASV_267",42,0.401209677419355,186.670155756026,42
"ASV_291",16,0.364468864468864,190.585515050452,16
"ASV_52",18,0.373358348968105,140.026095507226,18
"ASV_88",9,0.31637519872814,331.105763262486,9
"ASV_25",6,0.276773296244784,88.5147341749689,6
"ASV_92",9,0.33843537414966,136.780314778329,9
"ASV_1292",18,0.373358348968105,140.026095507226,18
"ASV_101",9,0.33843537414966,136.780314778329,9
"ASV_114",12,0.328382838283828,97.1457116469975,12
"ASV_99",18,0.373358348968105,140.026095507226,18
"ASV_328",15,0.3184,314.343824013715,15
"ASV_53",18,0.373358348968105,140.026095507226,18
"ASV_207",7,0.29745889387145,205.063343490406,7
"ASV_105",10,0.321486268174475,147.117112780442,10
"ASV_338",12,0.328382838283828,97.1457116469975,12
"ASV_196",27,0.37406015037594,199.841504443836,27
"ASV_136",20,0.352212389380531,49.6413713854316,20
"ASV_370",23,0.367837338262477,117.525118716397,23
"ASV_72",23,0.367837338262477,117.525118716397,23
"ASV_129",40,0.412863070539419,177.369615067445,40
"ASV_842",22,0.361161524500907,277.337442421826,22
"ASV_83",40,0.412863070539419,177.369615067445,40
"ASV_1709",41,0.417190775681342,348.282419720934,41
"ASV_78",40,0.412863070539419,177.369615067445,40
"ASV_304",30,0.385658914728682,560.418537275383,30
"ASV_772",40,0.412863070539419,177.369615067445,40
"ASV_39",25,0.369888475836431,489.784869638645,25
"ASV_30",11,0.308527131782946,74.5504565661226,11
"ASV_40",33,0.404471544715447,147.491821476568,33
"ASV_103",26,0.389432485322896,421.253437663773,26
"ASV_41",33,0.404471544715447,147.491821476568,33
"ASV_15",47,0.428879310344828,335.458392032138,47
"ASV_64",8,0.309486780715397,61.2117759260518,8
"ASV_31",25,0.378326996197719,227.76490922078,25
"ASV_81",33,0.404471544715447,147.491821476568,33
"ASV_292",25,0.378326996197719,227.76490922078,25
"ASV_244",30,0.392504930966469,497.742622706381,30
"ASV_348",47,0.428879310344828,335.458392032138,47
"ASV_95",33,0.404471544715447,147.491821476568,33
"ASV_141",14,0.335016835016835,88.7412139098854,14
"ASV_228",11,0.308527131782946,74.5504565661226,11
"ASV_694",24,0.365808823529412,261.133561606689,24
"ASV_619",28,0.398797595190381,776.185930010339,28
"ASV_970",33,0.404471544715447,147.491821476568,33
"ASV_173",10,0.318910256410256,71.0988029239087,10
"ASV_85",33,0.404471544715447,147.491821476568,33
"ASV_149",25,0.378326996197719,227.76490922078,25
"ASV_273",23,0.377609108159393,280.214339175558,23
"ASV_190",28,0.380497131931166,432.979741438572,28
"ASV_213",17,0.369888475836431,256.696229147176,17
"ASV_24",13,0.321486268174475,91.5113564766212,13
"ASV_69",15,0.355992844364937,183.470444858307,15
"ASV_165",16,0.345486111111111,194.006468720257,16
"ASV_440",13,0.321486268174475,91.5113564766212,13
"ASV_61",16,0.331114808652246,214.579185785386,16
"ASV_247",21,0.378326996197719,440.356054108167,21
"ASV_133",16,0.331114808652246,214.579185785386,16
"ASV_313",13,0.321486268174475,91.5113564766212,13
"ASV_299",13,0.31687898089172,209.303244643258,13
"ASV_205",17,0.369888475836431,256.696229147176,17
"ASV_320",16,0.351590106007067,298.1395540618,16
"ASV_442",21,0.37196261682243,192.202670217132,21
"ASV_840",7,0.322006472491909,129.304140220214,7
"ASV_20",31,0.389432485322896,372.617365625835,31
"ASV_456",7,0.322528363047002,81.2665158902585,7
"ASV_54",17,0.335016835016835,122.154186796153,17
"ASV_775",21,0.37196261682243,192.202670217132,21
"ASV_239",8,0.288824383164006,50.6279970645938,8
"ASV_180",4,0.265687583444593,11.3592372162988,4
"ASV_9",15,0.339590443686007,98.4137477543469,15
"ASV_316",15,0.367158671586716,289.577048023289,15
"ASV_144",15,0.339590443686007,98.4137477543469,15
"ASV_197",9,0.33728813559322,19.5747105565182,9
"ASV_1295",10,0.322006472491909,240.614200919009,10
"ASV_2210",25,0.375471698113208,427.718432448669,25
"ASV_96",50,0.428879310344828,295.143764081796,50
"ASV_113",29,0.39484126984127,221.298358871736,29
"ASV_290",50,0.428879310344828,295.143764081796,50
"ASV_178",29,0.39484126984127,221.298358871736,29
"ASV_109",50,0.428879310344828,295.143764081796,50
"ASV_757",8,0.301059001512859,113.644312307817,8
"ASV_191",16,0.351590106007067,286.619402877925,16
"ASV_375",16,0.351590106007067,286.619402877925,16
"ASV_135",12,0.327302631578947,153.02927226442,12
"ASV_342",5,0.278711484593838,65.8070244192974,5
"ASV_334",11,0.309486780715397,424.774818491977,11
"ASV_171",12,0.327302631578947,153.02927226442,12
"ASV_79",8,0.311424100156495,390.703027073591,8
"ASV_179",8,0.334453781512605,160.729977426375,8
"ASV_122",26,0.384912959381044,223.938208524129,26
"ASV_1512",26,0.384912959381044,223.938208524129,26
"ASV_381",17,0.349736379613357,98.984382470881,17
"ASV_189",13,0.348511383537653,248.800503970337,13
"ASV_1159",17,0.349736379613357,98.984382470881,17
"ASV_1168",13,0.348511383537653,248.800503970337,13
"ASV_67",17,0.334453781512605,83.8141687719118,17
"ASV_111",17,0.334453781512605,83.8141687719118,17
"ASV_156",5,0.282670454545455,87.248851753051,5
"ASV_17",4,0.265333333333333,9.50524694715538,4
"ASV_143",9,0.313385826771654,337.711016527141,9
"ASV_3",4,0.267833109017497,25.0641977091944,4
"ASV_62",5,0.246898263027295,95.6292044188528,5
"ASV_387",5,0.298798798798799,241.185787688086,5
"ASV_1339",7,0.301515151515152,260.566845522297,7
"ASV_127",10,0.340753424657534,438.434583419115,10
"ASV_227",5,0.269282814614344,152.91329000451,5
"ASV_161",7,0.294378698224852,252.10030435391,7
"ASV_169",7,0.285509325681492,388.839337459529,7
"ASV_194",6,0.263227513227513,89.0346809492367,6
"ASV_32",5,0.270013568521031,82.1476702251888,5
"ASV_272",4,0.262187088274045,24.8425207002876,4
"ASV_324",5,0.291788856304985,84.6044615570224,5
