"","Group1","Group2","Group3"
"num.edges",2041,3937,2052
"num.pos.edges",1042,2061,1107
"num.neg.edges",999,1876,945
"num.vertices",200,200,200
"connectance",0.102562814070352,0.197839195979899,0.103115577889447
"average.degree",20.41,39.37,20.52
"average.path.length",2.40781976828603,2.11368946915197,2.49260732232573
"diameter",5.97142857142857,5.91428571428571,5.2
"edge.connectivity",1,1,2
"clustering.coefficient",0.552286664796184,0.65268484705224,0.615033182648841
"no.clusters",1,1,1
"centralization.degree",0.153718592964824,0.194120603015075,0.168241206030151
"centralization.betweenness",0.022349993938611,0.0280763635951027,0.0297641157419165
"centralization.closeness",0.165553478237471,0.177980870914463,0.173792366898124
