#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
c40cc30ae45181d02b1f55e600a22236	417.0	675.0	295.0	422.0	362.0	377.0	488.0	577.0	509.0	350.0	475.0	366.0	766.0	818.0	549.0	638.0	498.0	507.0
16908489817e1cfdd163f13938103c93	667.0	412.0	814.0	772.0	895.0	634.0	251.0	176.0	428.0	444.0	359.0	248.0	444.0	509.0	278.0	388.0	490.0	432.0
583f789c1c9501c9386e498f18e5af76	201.0	167.0	351.0	277.0	401.0	303.0	212.0	148.0	375.0	374.0	305.0	237.0	307.0	623.0	356.0	408.0	396.0	265.0
2613542be210e163f03bf8393405f6aa	482.0	134.0	158.0	242.0	447.0	173.0	202.0	188.0	136.0	209.0	213.0	125.0	344.0	451.0	188.0	187.0	371.0	289.0
532871e414f8ab8a15a7b332e5e2f0e6	16.0	43.0	68.0	11.0	53.0	61.0	447.0	287.0	255.0	138.0	373.0	506.0	478.0	426.0	361.0	240.0	521.0	130.0
b2e2e66f74585fbaa04a53f2e374edda	376.0	226.0	278.0	279.0	445.0	386.0	182.0	181.0	183.0	188.0	183.0	178.0	214.0	177.0	193.0	161.0	202.0	201.0
918e42d19fae443929267607a0906a2e	210.0	211.0	214.0	145.0	81.0	121.0	163.0	223.0	586.0	324.0	227.0	215.0	247.0	270.0	215.0	349.0	193.0	205.0
2de532901d69f6c44c9411e154934189	80.0	42.0	397.0	141.0	425.0	77.0	46.0	428.0	275.0	169.0	62.0	76.0	249.0	299.0	180.0	78.0	194.0	261.0
2457d3a95c5d465e4a5c8247fa7b6976	154.0	234.0	244.0	210.0	204.0	222.0	223.0	170.0	170.0	168.0	185.0	145.0	148.0	126.0	154.0	183.0	199.0	0.0
7772ab45417ce7f94580ca640332faea	137.0	279.0	126.0	158.0	104.0	195.0	134.0	150.0	237.0	146.0	220.0	151.0	176.0	109.0	139.0	166.0	260.0	191.0
f409e1c0ea1ba1769ba10adf78402913	109.0	123.0	220.0	255.0	350.0	234.0	69.0	62.0	83.0	110.0	149.0	104.0	126.0	183.0	79.0	100.0	185.0	94.0
e2df26c03c0638a1af8a188baac28c9c	73.0	69.0	134.0	136.0	199.0	115.0	79.0	190.0	187.0	141.0	193.0	78.0	140.0	131.0	172.0	117.0	206.0	205.0
6479b61d7a9d6fc01f7c87fd2d411149	111.0	151.0	125.0	165.0	169.0	140.0	101.0	78.0	124.0	144.0	136.0	94.0	143.0	206.0	178.0	166.0	129.0	121.0
e18463edc0ad6dc5e4c56abe5da548e1	98.0	135.0	89.0	129.0	174.0	123.0	172.0	136.0	79.0	153.0	121.0	70.0	136.0	173.0	166.0	144.0	98.0	136.0
a79fe461438cb34c1377c73c03cd1bb1	83.0	92.0	161.0	98.0	58.0	79.0	79.0	107.0	216.0	120.0	77.0	64.0	157.0	117.0	77.0	108.0	278.0	123.0
b735fdbe550786eda1c3f9208a992768	0.0	50.0	219.0	105.0	55.0	78.0	69.0	256.0	190.0	174.0	113.0	48.0	98.0	107.0	75.0	55.0	172.0	193.0
f0051f2cca46b1be44ec19fb2d078ed5	97.0	130.0	67.0	100.0	54.0	83.0	96.0	58.0	86.0	149.0	109.0	69.0	150.0	190.0	84.0	94.0	182.0	89.0
e07996c6f212646e5fd459bff0c18110	114.0	146.0	417.0	22.0	27.0	0.0	129.0	68.0	0.0	126.0	154.0	0.0	67.0	39.0	159.0	160.0	84.0	150.0
4227a837a2b512ef8de9d7550762f54b	99.0	100.0	75.0	77.0	53.0	101.0	273.0	136.0	146.0	166.0	102.0	256.0	0.0	44.0	87.0	64.0	0.0	75.0
e9e5453d19fdb35e1ad6163cbdb66e37	104.0	93.0	71.0	78.0	0.0	89.0	132.0	94.0	93.0	88.0	123.0	134.0	94.0	92.0	156.0	135.0	98.0	169.0
f7a6fcd66ada3722a49f06111f8c5790	145.0	141.0	134.0	98.0	134.0	148.0	117.0	89.0	135.0	62.0	87.0	107.0	113.0	78.0	0.0	0.0	81.0	128.0
2c44a5e6dbed239c20dba59ab3baf5b2	93.0	124.0	0.0	101.0	76.0	0.0	0.0	96.0	45.0	74.0	90.0	63.0	134.0	92.0	0.0	0.0	606.0	98.0
f1eb5817fcd032c5f781b3422cf68caa	103.0	96.0	85.0	69.0	53.0	83.0	133.0	87.0	83.0	105.0	97.0	125.0	94.0	118.0	101.0	89.0	0.0	122.0
20edc09c5e329be20dfdec8e1c818c8a	137.0	91.0	107.0	136.0	130.0	176.0	0.0	0.0	66.0	70.0	72.0	0.0	103.0	83.0	91.0	93.0	82.0	74.0
df93935e795654380ade653ed1525965	79.0	62.0	190.0	172.0	158.0	75.0	49.0	33.0	61.0	39.0	64.0	71.0	46.0	97.0	43.0	89.0	58.0	56.0
85454a2e08386703d079bfae48d01e4d	68.0	67.0	109.0	88.0	89.0	77.0	88.0	68.0	85.0	67.0	89.0	89.0	60.0	68.0	90.0	57.0	78.0	73.0
5e60d83a1adb960ddfa5aff1b7f17c86	74.0	218.0	40.0	52.0	45.0	98.0	58.0	72.0	39.0	54.0	130.0	68.0	109.0	30.0	180.0	34.0	45.0	55.0
629f5b36c263b9ee4eb178bc1b551fe6	46.0	75.0	45.0	93.0	0.0	34.0	90.0	72.0	70.0	91.0	80.0	56.0	99.0	136.0	100.0	97.0	76.0	65.0
98c3b0abf52a0424c47d9421c1be4961	52.0	116.0	71.0	41.0	36.0	51.0	74.0	77.0	61.0	52.0	79.0	74.0	71.0	105.0	60.0	95.0	137.0	71.0
b48a53d6ad73e1a56d308c5c9c4be6ea	73.0	91.0	101.0	65.0	100.0	103.0	48.0	48.0	38.0	42.0	67.0	63.0	62.0	59.0	67.0	59.0	66.0	69.0
581cde9ab39d3793473e19f0d302be3f	114.0	61.0	74.0	99.0	122.0	129.0	22.0	26.0	47.0	0.0	76.0	0.0	52.0	62.0	68.0	90.0	68.0	69.0
758300c9f99697052eec7298acb907e8	0.0	0.0	68.0	117.0	0.0	0.0	0.0	132.0	118.0	140.0	0.0	92.0	120.0	81.0	101.0	0.0	134.0	65.0
789b6fdb1ab2a38ac44e41fa70469e38	46.0	41.0	118.0	74.0	115.0	76.0	49.0	54.0	0.0	52.0	65.0	32.0	67.0	81.0	33.0	69.0	109.0	65.0
e639b84897084271ffa758b826ad9075	69.0	79.0	96.0	74.0	95.0	51.0	42.0	65.0	62.0	0.0	44.0	54.0	62.0	73.0	57.0	111.0	51.0	52.0
609c435df2b6d13fdf74492302880000	99.0	0.0	61.0	0.0	0.0	65.0	88.0	84.0	0.0	92.0	92.0	0.0	89.0	89.0	141.0	107.0	0.0	115.0
61dcea11ae71fc40c6e6df5825a28aef	57.0	40.0	41.0	64.0	74.0	90.0	56.0	40.0	79.0	106.0	49.0	34.0	54.0	75.0	69.0	47.0	48.0	55.0
eaf299d50da951604217dd0787e2f6c0	50.0	56.0	66.0	59.0	66.0	53.0	50.0	27.0	54.0	69.0	61.0	58.0	56.0	65.0	64.0	70.0	67.0	78.0
ea0d40646f1926e944417d5378fda0c0	41.0	63.0	28.0	37.0	20.0	37.0	98.0	70.0	67.0	64.0	65.0	77.0	64.0	59.0	65.0	60.0	38.0	59.0
17fbcf4ff0b12f1b0d956b13e887200d	0.0	142.0	179.0	34.0	57.0	157.0	55.0	0.0	0.0	47.0	0.0	0.0	0.0	72.0	63.0	203.0	0.0	0.0
827a683c6db670e0b8a9605e2e151eb1	65.0	83.0	100.0	58.0	0.0	72.0	52.0	54.0	75.0	44.0	88.0	0.0	50.0	38.0	61.0	101.0	0.0	66.0
0fc29f256ce2007a0279b6c01a3f4f6b	43.0	82.0	92.0	35.0	0.0	44.0	58.0	47.0	35.0	67.0	27.0	65.0	52.0	35.0	69.0	120.0	58.0	65.0
a2868fbccc2901bf358e63bda94f1688	43.0	29.0	36.0	24.0	50.0	35.0	62.0	41.0	38.0	40.0	74.0	71.0	40.0	71.0	103.0	64.0	75.0	80.0
e2d1e580c5b639b9e61828449c40dfab	34.0	66.0	76.0	24.0	29.0	62.0	51.0	51.0	98.0	0.0	79.0	41.0	50.0	89.0	66.0	0.0	55.0	80.0
54f2723cd9dac0b7a81a1c2e853e4631	88.0	38.0	0.0	90.0	0.0	65.0	57.0	0.0	68.0	85.0	108.0	32.0	88.0	51.0	0.0	62.0	51.0	61.0
114956dab263148acf17501269389111	0.0	67.0	0.0	68.0	66.0	106.0	48.0	38.0	106.0	79.0	0.0	0.0	86.0	89.0	81.0	53.0	41.0	0.0
9e38d7a596c1f49b5b95690023774f80	59.0	72.0	0.0	87.0	0.0	37.0	82.0	104.0	84.0	53.0	45.0	21.0	0.0	73.0	0.0	68.0	114.0	0.0
eb3fb4808ebf2ee9e68333c24d141e6a	32.0	77.0	83.0	37.0	65.0	44.0	26.0	55.0	34.0	46.0	47.0	28.0	38.0	73.0	58.0	72.0	27.0	56.0
