richness	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1	86	91	86	82	77	89	93	89	83	88	90	94	82	80	90	88	83	89
2	149	153	137	136	125	150	159	150	141	143	150	162	138	139	153	151	137	150
3	214	217	189	192	173	208	228	214	200	205	214	228	196	190	215	210	188	211
4	265	269	229	236	208	252	286	272	248	255	268	286	239	231	269	261	228	256
5	308	306	258	265	236	285	331	316	288	293	306	327	274	262	308	294	260	292
6	338	339	289	291	262	313	370	351	318	332	340	364	302	289	346	329	289	328
7	371	370	317	320	292	346	410	386	351	366	373	405	339	315	384	365	320	359
8	410	404	350	352	322	382	454	428	387	402	413	451	377	347	423	403	353	396
9	446	438	380	383	350	416	490	464	422	437	454	490	413	383	460	435	386	432
10	472	466	399	410	367	442	515	491	446	464	483	522	439	407	483	456	411	457
11	501	500	424	434	388	469	548	525	476	491	516	557	465	432	513	482	435	490
12	519	516	439	447	403	484	568	543	493	508	532	579	484	446	529	498	450	505
13	541	538	455	466	417	502	593	571	515	532	554	608	505	463	551	520	467	526
14	563	564	474	487	432	521	623	597	537	556	579	633	528	482	575	544	490	549
15	589	592	496	512	453	544	656	628	565	585	610	659	553	505	600	570	514	574
16	611	613	512	529	471	564	677	651	586	607	632	681	575	521	622	594	534	595
17	629	628	525	544	484	582	699	672	605	626	654	701	596	538	643	615	549	614
18	652	651	542	563	502	601	721	697	625	649	676	722	617	554	662	637	569	634
19	671	671	557	582	519	620	743	717	646	669	696	744	636	575	685	658	588	658
20	687	686	567	595	528	637	757	732	664	684	713	761	649	591	701	671	600	675
21	710	704	584	611	540	655	776	750	686	701	732	783	667	608	724	687	616	697
22	724	719	597	624	551	668	794	765	700	716	746	801	685	621	738	702	629	712
23	746	735	612	641	563	684	809	782	719	731	767	820	701	637	756	718	642	728
24	765	752	627	655	575	701	827	799	737	750	785	840	718	652	773	736	658	746
25	777	763	639	665	586	712	843	815	748	764	797	851	730	666	787	748	670	759
26	792	779	650	678	597	727	863	833	768	781	813	868	744	681	804	762	686	780
27	808	796	664	692	610	744	882	852	784	802	830	884	763	698	823	781	702	800
28	818	805	672	700	618	752	893	861	792	814	842	896	772	706	834	791	711	809
29	828	819	684	711	626	762	908	877	802	827	857	911	787	716	846	806	721	820
30	843	838	698	725	641	777	927	894	819	843	875	928	806	732	863	823	738	837
31	855	852	710	735	650	788	942	908	834	856	889	944	816	743	878	834	748	852
32	868	864	722	748	660	802	957	923	847	870	907	960	827	758	892	846	762	866
33	877	873	730	754	668	808	965	931	857	877	916	969	833	764	897	853	768	872
34	884	881	736	759	671	814	970	937	866	883	924	976	837	767	903	858	772	878
35	894	887	745	767	678	823	977	945	875	892	934	983	848	775	911	867	780	888
36	902	897	756	775	688	831	989	957	883	903	943	994	858	783	921	878	791	897
37	912	907	764	786	698	840	998	965	893	910	954	1009	865	793	931	885	799	907
38	924	917	775	796	708	852	1008	976	905	923	967	1021	876	805	941	898	809	921
39	931	924	780	803	713	859	1016	983	913	931	975	1027	884	814	948	906	816	929
40	943	934	791	814	723	870	1032	999	926	947	987	1038	900	824	960	922	829	941
41	956	946	804	826	735	883	1045	1011	939	960	999	1051	912	834	971	934	840	952
42	968	959	815	838	746	895	1058	1022	953	974	1011	1064	926	848	985	947	853	965
43	977	967	824	846	754	904	1063	1028	959	980	1018	1071	936	856	993	954	863	973
44	981	971	828	850	758	908	1068	1032	963	986	1022	1075	943	861	997	959	867	977
45	990	980	839	859	768	917	1079	1044	972	998	1031	1084	956	870	1008	971	878	987
46	1003	994	855	870	783	929	1093	1060	985	1012	1044	1096	972	882	1023	985	894	1000
47	1010	1002	861	875	788	935	1103	1070	992	1022	1053	1104	982	894	1034	995	904	1012
48	1015	1007	863	878	790	940	1109	1077	998	1029	1057	1109	989	897	1039	1001	909	1017
49	1025	1016	873	889	800	950	1121	1088	1009	1041	1068	1119	999	905	1049	1012	917	1025
50	1035	1025	882	897	807	960	1131	1098	1019	1051	1078	1128	1009	913	1059	1022	927	1036
51	1043	1032	887	903	812	968	1137	1105	1027	1058	1085	1136	1016	921	1067	1028	935	1045
52	1052	1040	894	909	818	976	1143	1113	1035	1066	1092	1144	1024	927	1074	1035	945	1053
53	1060	1047	903	916	826	984	1149	1119	1043	1074	1100	1152	1032	936	1081	1042	954	1061
54	1073	1062	915	930	837	998	1159	1128	1057	1083	1113	1166	1041	950	1092	1051	964	1074
55	1084	1072	925	940	847	1008	1168	1138	1068	1093	1124	1176	1052	961	1103	1062	975	1085
56	1090	1077	930	944	852	1014	1172	1142	1074	1098	1128	1182	1057	965	1107	1067	980	1090
57	1095	1083	934	949	856	1019	1176	1146	1080	1101	1134	1188	1061	972	1112	1070	986	1098
58	1100	1088	937	954	858	1024	1180	1150	1086	1105	1139	1193	1066	979	1116	1074	990	1105
59	1105	1092	942	959	862	1029	1184	1154	1090	1109	1145	1197	1073	984	1120	1080	995	1109
60	1114	1100	947	966	867	1036	1189	1160	1100	1118	1153	1205	1082	992	1125	1088	1002	1118
61	1117	1103	950	969	869	1039	1191	1162	1103	1120	1156	1208	1085	996	1127	1090	1004	1121
62	1120	1105	953	971	872	1042	1194	1165	1106	1123	1159	1211	1088	999	1130	1093	1007	1124
63	1122	1107	958	974	877	1044	1201	1173	1109	1131	1161	1213	1094	1001	1136	1099	1014	1126
64	1126	1110	961	976	880	1047	1205	1177	1113	1135	1165	1216	1098	1003	1139	1103	1017	1128
65	1130	1114	965	979	884	1050	1209	1181	1118	1139	1169	1218	1102	1006	1143	1107	1021	1131
66	1138	1122	973	987	891	1058	1216	1188	1126	1146	1177	1225	1110	1015	1151	1116	1029	1140
67	1141	1125	979	989	895	1061	1221	1194	1129	1152	1179	1228	1116	1018	1157	1121	1036	1143
68	1145	1129	985	993	900	1065	1226	1200	1133	1159	1185	1232	1124	1023	1162	1129	1043	1147
69	1154	1139	991	1001	907	1074	1232	1207	1144	1166	1193	1241	1132	1031	1169	1135	1050	1157
70	1157	1142	994	1004	909	1077	1235	1211	1147	1170	1196	1244	1136	1035	1171	1139	1053	1160
71	1164	1148	1001	1009	916	1083	1242	1218	1154	1178	1202	1250	1145	1041	1179	1147	1061	1166
72	1169	1153	1006	1014	921	1088	1248	1224	1159	1184	1207	1255	1152	1047	1185	1153	1067	1172
73	1177	1161	1013	1022	927	1096	1254	1230	1167	1190	1215	1263	1159	1055	1191	1159	1073	1180
74	1179	1163	1014	1024	928	1098	1254	1230	1170	1191	1218	1265	1160	1060	1192	1160	1075	1184
75	1183	1167	1017	1028	931	1102	1257	1233	1174	1194	1222	1269	1163	1065	1196	1163	1079	1189
76	1189	1173	1024	1034	938	1108	1262	1239	1180	1201	1228	1275	1170	1072	1203	1170	1087	1196
77	1192	1176	1029	1037	941	1111	1265	1242	1183	1206	1231	1278	1175	1077	1206	1174	1092	1199
78	1198	1181	1036	1042	946	1117	1271	1249	1189	1213	1237	1284	1182	1083	1213	1181	1099	1205
79	1202	1185	1038	1046	948	1121	1273	1251	1194	1215	1242	1289	1184	1088	1215	1183	1101	1210
