bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.302901946647441	0.340933669790916	0.30019826964672	0.341384282624369	0.277487382840663	0.327505407354001	0.359679163662581	0.329217736121125	0.307588320115357	0.296142754145638	0.30542537851478	0.312364816149964	0.328136265320836	0.309390771449171	0.324260994953136	0.342465753424658	0.305335255948089
KO2	0.302901946647441	0	0.377343186733958	0.356344628695025	0.44457462148522	0.324891852919971	0.319033886085076	0.326874549387167	0.339671953857246	0.340032444124009	0.29253785147801	0.316149963950973	0.299116798846431	0.3478731074261	0.293078586878154	0.298485940879596	0.353731074260995	0.308129055515501
KO3	0.340933669790916	0.377343186733958	0	0.340843547224225	0.342645998558039	0.343817591925018	0.424747656813266	0.416456380677722	0.373197548666186	0.370313626532084	0.358417447728911	0.40978731074261	0.386085075702956	0.368421052631579	0.379055515501081	0.365807498197549	0.362292718096611	0.34273612112473
KO4	0.30019826964672	0.356344628695025	0.340843547224225	0	0.344448449891853	0.282804614275415	0.398882480173035	0.409066330209084	0.375	0.350126171593367	0.339671953857246	0.390861571737563	0.342555875991348	0.338590483056957	0.364545782263879	0.36472602739726	0.353731074260995	0.345079307858688
KO5	0.341384282624369	0.44457462148522	0.342645998558039	0.344448449891853	0	0.33759913482336	0.478731074260995	0.452595529920692	0.440428983417448	0.408615717375631	0.39563806777217	0.467916366258111	0.396359048305696	0.360039653929344	0.41366258111031	0.415735400144196	0.373918529199712	0.389870223503965
KO6	0.277487382840663	0.324891852919971	0.343817591925018	0.282804614275415	0.33759913482336	0	0.376892573900505	0.41113914924297	0.368961788031723	0.343366979091565	0.321827685652487	0.35436193222783	0.348594087959625	0.350216294160058	0.350216294160058	0.346070656092285	0.349134823359769	0.347332372025955
OE1	0.327505407354001	0.319033886085076	0.424747656813266	0.398882480173035	0.478731074260995	0.376892573900505	0	0.306506849315068	0.336427541456381	0.308129055515501	0.275955299206921	0.25639870223504	0.340122566690699	0.376802451333814	0.272801009372747	0.326784426820476	0.375630857966835	0.291816870944484
OE2	0.359679163662581	0.326874549387167	0.416456380677722	0.409066330209084	0.452595529920692	0.41113914924297	0.306506849315068	0	0.331290555155011	0.312094448449892	0.288211968276857	0.326514059120404	0.317862292718097	0.382390050468637	0.300108147080029	0.350937274693583	0.359408795962509	0.293348954578226
OE3	0.329217736121125	0.339671953857246	0.373197548666186	0.375	0.440428983417448	0.368961788031723	0.336427541456381	0.331290555155011	0	0.26928622927181	0.290735400144196	0.325162220620043	0.290735400144196	0.322909156452776	0.299477289113194	0.315969718817592	0.319304253785148	0.288932948810382
OE4	0.307588320115357	0.340032444124009	0.370313626532084	0.350126171593367	0.408615717375631	0.343366979091565	0.308129055515501	0.312094448449892	0.26928622927181	0	0.2693763518385	0.302361211247296	0.290465032444124	0.309390771449171	0.280731795241528	0.293439077144917	0.308489545782264	0.28613914924297
OE5	0.296142754145638	0.29253785147801	0.358417447728911	0.339671953857246	0.39563806777217	0.321827685652487	0.275955299206921	0.288211968276857	0.290735400144196	0.2693763518385	0	0.273792357606345	0.277217015140591	0.310742609949531	0.24747656813266	0.272801009372747	0.289293439077145	0.250630857966835
OE6	0.30542537851478	0.316149963950973	0.40978731074261	0.390861571737563	0.467916366258111	0.35436193222783	0.25639870223504	0.326514059120404	0.325162220620043	0.302361211247296	0.273792357606345	0	0.337959625090123	0.378965392934391	0.286950252343187	0.320746214852199	0.367429704397981	0.310382119682769
WT1	0.312364816149964	0.299116798846431	0.386085075702956	0.342555875991348	0.396359048305696	0.348594087959625	0.340122566690699	0.317862292718097	0.290735400144196	0.290465032444124	0.277217015140591	0.337959625090123	0	0.26414924297044	0.28352559480894	0.298125450612833	0.29118601297765	0.273612112472963
WT2	0.328136265320836	0.3478731074261	0.368421052631579	0.338590483056957	0.360039653929344	0.350216294160058	0.376802451333814	0.382390050468637	0.322909156452776	0.309390771449171	0.310742609949531	0.378965392934391	0.26414924297044	0	0.313356164383562	0.288031723143475	0.300468637346792	0.312815428983417
WT3	0.309390771449171	0.293078586878154	0.379055515501081	0.364545782263879	0.41366258111031	0.350216294160058	0.272801009372747	0.300108147080029	0.299477289113194	0.280731795241528	0.24747656813266	0.286950252343187	0.28352559480894	0.313356164383562	0	0.271178803172314	0.315879596250901	0.250360490266763
WT4	0.324260994953136	0.298485940879596	0.365807498197549	0.36472602739726	0.415735400144196	0.346070656092285	0.326784426820476	0.350937274693583	0.315969718817592	0.293439077144917	0.272801009372747	0.320746214852199	0.298125450612833	0.288031723143475	0.271178803172314	0	0.329488103821197	0.290014419610671
WT5	0.342465753424658	0.353731074260995	0.362292718096611	0.353731074260995	0.373918529199712	0.349134823359769	0.375630857966835	0.359408795962509	0.319304253785148	0.308489545782264	0.289293439077145	0.367429704397981	0.29118601297765	0.300468637346792	0.315879596250901	0.329488103821197	0	0.282354001441961
WT6	0.305335255948089	0.308129055515501	0.34273612112473	0.345079307858688	0.389870223503965	0.347332372025955	0.291816870944484	0.293348954578226	0.288932948810382	0.28613914924297	0.250630857966835	0.310382119682769	0.273612112472963	0.312815428983417	0.250360490266763	0.290014419610671	0.282354001441961	0
