bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.143421572500988	0.190615835777126	0.188963210702341	0.214659685863874	0.16220600162206	0.132797550707998	0.136363636363636	0.147915027537372	0.137621832358674	0.143188854489164	0.131989349562571	0.150059078377314	0.180811808118081	0.144309737974189	0.155941571259376	0.176662586699306	0.137162954279015
KO2	0.143421572500988	0	0.191399662731872	0.177955405973917	0.221783047870004	0.160342717258262	0.137028483448807	0.143742735373886	0.156311832212109	0.151372549019608	0.145971195017517	0.130833970925784	0.152139461172742	0.178217821782178	0.151848937844217	0.162827640984909	0.183908045977011	0.143081761006289
KO3	0.190615835777126	0.191399662731872	0	0.217196596506941	0.228316924519456	0.203294321629822	0.200488997555012	0.206401313089865	0.208560637851448	0.205320033250208	0.189278350515464	0.191902834008097	0.200840336134454	0.214912280701754	0.196830692243536	0.203875315922494	0.219022687609075	0.195833333333333
KO4	0.188963210702341	0.177955405973917	0.217196596506941	0	0.23666978484565	0.179065743944637	0.195607970719805	0.187551187551188	0.193467336683417	0.187059311489009	0.187654320987654	0.17979797979798	0.2	0.205251641137856	0.183520599250936	0.192938209331652	0.20679146713104	0.182536382536383
KO5	0.214659685863874	0.221783047870004	0.228316924519456	0.23666978484565	0	0.210669077757685	0.23696481559983	0.220324508966695	0.236013986013986	0.227174383383817	0.207725321888412	0.225263157894737	0.232385120350109	0.232951945080092	0.233174120712115	0.22071083808688	0.23167956304051	0.21822125813449
KO6	0.16220600162206	0.160342717258262	0.203294321629822	0.179065743944637	0.210669077757685	0	0.15752072641137	0.159777424483307	0.174654752233956	0.174245472837022	0.146964856230032	0.153393487642213	0.176087840585604	0.19118270453582	0.163504238998789	0.169180595189564	0.173344580345846	0.165792658329972
OE1	0.132797550707998	0.137028483448807	0.200488997555012	0.195607970719805	0.23696481559983	0.15752072641137	0	0.122793841532107	0.135300881563818	0.129179331306991	0.123349679366277	0.103857566765579	0.138910207214121	0.173184357541899	0.127286585365854	0.138461538461538	0.163621922160445	0.127189642041127
OE2	0.136363636363636	0.143742735373886	0.206401313089865	0.187551187551188	0.220324508966695	0.159777424483307	0.122793841532107	0	0.142746913580247	0.12810707456979	0.113895216400911	0.108622620380739	0.137118578601777	0.175572519083969	0.129267357115458	0.140534262485482	0.169932027189124	0.142966653890379
OE3	0.147915027537372	0.156311832212109	0.208560637851448	0.193467336683417	0.236013986013986	0.174654752233956	0.135300881563818	0.142746913580247	0	0.131589222959781	0.142635658914729	0.126857142857143	0.145562130177515	0.175359342915811	0.143752448100274	0.160933175168051	0.180220678381692	0.154598825831703
OE4	0.137621832358674	0.151372549019608	0.205320033250208	0.187059311489009	0.227174383383817	0.174245472837022	0.129179331306991	0.12810707456979	0.131589222959781	0	0.131002689204764	0.123867069486405	0.150899139953088	0.172497965825875	0.140527950310559	0.147335423197492	0.168421052631579	0.139643134212568
OE5	0.143188854489164	0.145971195017517	0.189278350515464	0.187654320987654	0.207725321888412	0.146964856230032	0.123349679366277	0.113895216400911	0.142635658914729	0.131002689204764	0	0.105361829771279	0.133876600698487	0.159467097295115	0.126011560693642	0.134189031505251	0.16030534351145	0.131305352329611
OE6	0.131989349562571	0.130833970925784	0.191902834008097	0.17979797979798	0.225263157894737	0.153393487642213	0.103857566765579	0.108622620380739	0.126857142857143	0.123867069486405	0.105361829771279	0	0.125858123569794	0.163362410785091	0.121212121212121	0.136085626911315	0.167324388318863	0.130204390613172
WT1	0.150059078377314	0.152139461172742	0.200840336134454	0.2	0.232385120350109	0.176087840585604	0.138910207214121	0.137118578601777	0.145562130177515	0.150899139953088	0.133876600698487	0.125858123569794	0	0.170230263157895	0.145882352941176	0.160728424386382	0.177577741407529	0.154388714733542
WT2	0.180811808118081	0.178217821782178	0.214912280701754	0.205251641137856	0.232951945080092	0.19118270453582	0.173184357541899	0.175572519083969	0.175359342915811	0.172497965825875	0.159467097295115	0.163362410785091	0.170230263157895	0	0.170612244897959	0.173124484748557	0.18259385665529	0.169657422512235
WT3	0.144309737974189	0.151848937844217	0.196830692243536	0.183520599250936	0.233174120712115	0.163504238998789	0.127286585365854	0.129267357115458	0.143752448100274	0.140527950310559	0.126011560693642	0.121212121212121	0.145882352941176	0.170612244897959	0	0.143081761006289	0.174654752233956	0.133073929961089
WT4	0.155941571259376	0.162827640984909	0.203875315922494	0.192938209331652	0.22071083808688	0.169180595189564	0.138461538461538	0.140534262485482	0.160933175168051	0.147335423197492	0.134189031505251	0.136085626911315	0.160728424386382	0.173124484748557	0.143081761006289	0	0.182116488925349	0.142183817753339
WT5	0.176662586699306	0.183908045977011	0.219022687609075	0.20679146713104	0.23167956304051	0.173344580345846	0.163621922160445	0.169932027189124	0.180220678381692	0.168421052631579	0.16030534351145	0.167324388318863	0.177577741407529	0.18259385665529	0.174654752233956	0.182116488925349	0	0.162337662337662
WT6	0.137162954279015	0.143081761006289	0.195833333333333	0.182536382536383	0.21822125813449	0.165792658329972	0.127189642041127	0.142966653890379	0.154598825831703	0.139643134212568	0.131305352329611	0.130204390613172	0.154388714733542	0.169657422512235	0.133073929961089	0.142183817753339	0.162337662337662	0
