euclidean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	611.630607474806	665.40363690019	579.984482551042	590.614933776653	472.262638793288	629.259882719374	824.960605120026	724.027623782408	566.949733221562	560.642488578952	651.039169328543	633.480860010782	672.661876428269	628.592077582911	635.224369809597	717.657299830497	557.096041989171
KO2	611.630607474806	0	825.567683476043	722.087252345587	924.459842286294	549.827245596287	472.256286353078	640.329602626647	656.420596873681	586.455454403828	408.404211535582	513.830711421573	524.507387936529	700.899422171256	433.132774100506	462.305094066678	696.769689352228	516.399070487157
KO3	665.40363690019	825.567683476043	0	711.609443444928	654.716732640919	644.619267474996	823.443987166097	871.203764913812	734.345967511227	642.320792128046	732.730509805617	810.57633816933	845.573178382569	848.636553537496	774.779968765326	785.149667260962	835.290368674271	650.127679767598
KO4	579.984482551042	722.087252345587	711.609443444928	0	699.219564943659	551.811562039071	763.021624857382	887.931303649106	795.700948849503	675.786948675394	662.735241254002	754.440189809636	746.45160593303	783.235596739576	744.034945415872	740.140527197369	798.900494429688	665.160131096265
KO5	590.614933776653	924.459842286294	654.716732640919	699.219564943659	0	642.50291828131	946.985744348879	989.241123285926	932.697164142789	788.878951424108	832.677608681775	939.186882361546	848.521066326582	788.036801171113	875.19826325239	892.904250185875	862.465071756532	773.419679087622
KO6	472.262638793288	549.827245596287	644.619267474996	551.811562039071	642.50291828131	0	623.448474214189	817.269845277556	714.753104225508	554.725157172451	517.663983680534	589.340309159318	678.28754964248	724.410104843934	589.732142586785	603.612458453269	728.619242128562	584.552820538914
OE1	629.259882719374	472.256286353078	823.443987166097	763.021624857382	946.985744348879	623.448474214189	0	553.844743587948	630.851805101642	482.056013342848	360.837913750759	346.208029947314	575.405943660647	715.892450023046	372.759976392316	488.992842483405	735.694229962421	442.350539730653
OE2	824.960605120026	640.329602626647	871.203764913812	887.931303649106	989.241123285926	817.269845277556	553.844743587948	0	608.182538387942	604.195332653274	542.988029333981	609.366884561345	553.301003071565	742.136106115314	492.020324783438	651.163573919795	757.787569177537	455.319667925733
OE3	724.027623782408	656.420596873681	734.345967511227	795.700948849503	932.697164142789	714.753104225508	630.851805101642	608.182538387942	0	433.873253381676	520.793625152997	599.558170655692	600.682944655498	648.536814683638	535.55952050169	526.294594310069	741.905654379315	522.57248301073
OE4	566.949733221562	586.455454403828	642.320792128046	675.786948675394	788.878951424108	554.725157172451	482.056013342848	604.195332653274	433.873253381676	0	404.123743425204	465.776770567189	572.59758993555	624.717536171348	459.027232307627	495.739851131619	636.238948823475	451.699014831779
OE5	560.642488578952	408.404211535582	732.730509805617	662.735241254002	832.677608681775	517.663983680534	360.837913750759	542.988029333981	520.793625152997	404.123743425204	0	394.950629826058	478.269798335626	606.634980857517	298.710562250484	393.090320409954	624.086532461645	367.93477682872
OE6	651.039169328543	513.830711421573	810.57633816933	754.440189809636	939.186882361546	589.340309159318	346.208029947314	609.366884561345	599.558170655692	465.776770567189	394.950629826058	0	643.4873736135	762.515573611451	440.440688401969	526.526352616847	747.554680274293	508.794654059966
WT1	633.480860010782	524.507387936529	845.573178382569	746.45160593303	848.521066326582	678.28754964248	575.405943660647	553.301003071565	600.682944655498	572.59758993555	478.269798335626	643.4873736135	0	481.258766153927	470.452973207737	503.817427249197	643.712668820492	460.653883083601
WT2	672.661876428269	700.899422171256	848.636553537496	783.235596739576	788.036801171113	724.410104843934	715.892450023046	742.136106115314	648.536814683638	624.717536171348	606.634980857517	762.515573611451	481.258766153927	0	578.070929903935	526.228087429776	669.523711305283	615.636256242272
WT3	628.592077582911	433.132774100506	774.779968765326	744.034945415872	875.19826325239	589.732142586785	372.759976392316	492.020324783438	535.55952050169	459.027232307627	298.710562250484	440.440688401969	470.452973207737	578.070929903935	0	385.808242524703	675.832819564129	382.225064588915
WT4	635.224369809597	462.305094066678	785.149667260962	740.140527197369	892.904250185875	603.612458453269	488.992842483405	651.163573919795	526.294594310069	495.739851131619	393.090320409954	526.526352616847	503.817427249197	526.228087429776	385.808242524703	0	692.993506463084	495.874984245021
WT5	717.657299830497	696.769689352228	835.290368674271	798.900494429688	862.465071756532	728.619242128562	735.694229962421	757.787569177537	741.905654379315	636.238948823475	624.086532461645	747.554680274293	643.712668820492	669.523711305283	675.832819564129	692.993506463084	0	627.886932496608
WT6	557.096041989171	516.399070487157	650.127679767598	665.160131096265	773.419679087622	584.552820538914	442.350539730653	455.319667925733	522.57248301073	451.699014831779	367.93477682872	508.794654059966	460.653883083601	615.636256242272	382.225064588915	495.874984245021	627.886932496608	0
