euclidean_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	19.0525588832576	21.3307290077015	21.2602916254693	22.1810730128188	20	18.6279360101972	18.8148877222268	19.3907194296653	18.7882942280559	19.2353840616713	18.6279360101972	19.5192212959431	21	19.2093727122985	19.8746069143518	20.8086520466848	18.7349939951952
KO2	19.0525588832576	0	21.3072757526625	20.5669638012031	22.4722050542442	19.824227601599	18.8679622641132	19.2613602842582	19.8746069143518	19.6468827043885	19.3649167310371	18.4932420089069	19.5959179422654	20.7846096908265	19.6468827043885	20.2484567313166	21.1660104885167	19.0787840283389
KO3	21.3307290077015	21.3072757526625	0	22.0227155455452	22.0680764907139	21.6564078277077	22.1810730128188	22.4276614920058	22.293496809608	22.2261107708929	21.4242852856285	21.7715410570772	21.8632111090754	22.1359436211787	21.7255609824004	22	22.4053565024081	21.6794833886788
KO4	21.2602916254693	20.5669638012031	22.0227155455452	0	22.494443758404	20.3469899493758	21.9317121994613	21.4009345590327	21.4941852602047	21.2367605815953	21.3541565040626	21.095023109729	21.8403296678416	21.6564078277077	21	21.4242852856285	21.7944947177034	20.952326839757
KO5	22.1810730128188	22.4722050542442	22.0680764907139	22.494443758404	0	21.5870331449229	23.6431808350738	22.7156333832011	23.2379000772445	22.9128784747792	22	23.1300670124408	23.0434372436058	22.561028345357	23.1732604525129	22.4276614920058	22.561028345357	22.4276614920058
KO6	20	19.824227601599	21.6564078277077	20.3469899493758	21.5870331449229	0	19.9749843554382	20.0499376557634	20.7364413533277	20.8086520466848	19.1833260932509	19.7737199332852	20.8086520466848	21.2367605815953	20.1246117974981	20.3715487874634	20.2731349327133	20.2731349327133
OE1	18.6279360101972	18.8679622641132	22.1810730128188	21.9317121994613	23.6431808350738	19.9749843554382	0	18.0831413200251	18.7882942280559	18.4390889145858	18.0831413200251	16.7332005306815	19.0262975904404	20.8326666559997	18.2756668824971	18.9736659610103	20.2977831301844	18.2756668824971
OE2	18.8148877222268	19.2613602842582	22.4276614920058	21.4009345590327	22.7156333832011	20.0499376557634	18.0831413200251	0	19.2353840616713	18.3030052177231	17.3205080756888	17.058722109232	18.8414436814168	20.9045449603669	18.3575597506858	19.0525588832576	20.6155281280883	19.313207915828
OE3	19.3907194296653	19.8746069143518	22.293496809608	21.4941852602047	23.2379000772445	20.7364413533277	18.7882942280559	19.2353840616713	0	18.3575597506858	19.1833260932509	18.2482875908947	19.2093727122985	20.6639783197718	19.157244060668	20.174241001832	21	19.8746069143518
OE4	18.7882942280559	19.6468827043885	22.2261107708929	21.2367605815953	22.9128784747792	20.8086520466848	18.4390889145858	18.3030052177231	18.3575597506858	0	18.4661853126194	18.1107702762748	19.6468827043885	20.591260281974	19.0262975904404	19.3907194296653	20.3960780543711	18.9736659610103
OE5	19.2353840616713	19.3649167310371	21.4242852856285	21.3541565040626	22	19.1833260932509	18.0831413200251	17.3205080756888	19.1833260932509	18.4661853126194	0	16.7630546142402	18.5741756210067	19.8746069143518	18.0831413200251	18.5741756210067	19.9749843554382	18.4661853126194
OE6	18.6279360101972	18.4932420089069	21.7715410570772	21.095023109729	23.1300670124408	19.7737199332852	16.7332005306815	17.058722109232	18.2482875908947	18.1107702762748	16.7630546142402	0	18.1659021245849	20.2977831301844	17.8885438199983	18.8679622641132	20.591260281974	18.5472369909914
WT1	19.5192212959431	19.5959179422654	21.8632111090754	21.8403296678416	23.0434372436058	20.8086520466848	19.0262975904404	18.8414436814168	19.2093727122985	19.6468827043885	18.5741756210067	18.1659021245849	0	20.3469899493758	19.2873015219859	20.1494416796099	20.8326666559997	19.8494332412792
WT2	21	20.7846096908265	22.1359436211787	21.6564078277077	22.561028345357	21.2367605815953	20.8326666559997	20.9045449603669	20.6639783197718	20.591260281974	19.8746069143518	20.2977831301844	20.3469899493758	0	20.4450483002609	20.4939015319192	20.6881608655772	20.3960780543711
WT3	19.2093727122985	19.6468827043885	21.7255609824004	21	23.1732604525129	20.1246117974981	18.2756668824971	18.3575597506858	19.157244060668	19.0262975904404	18.0831413200251	17.8885438199983	19.2873015219859	20.4450483002609	0	19.0787840283389	20.7364413533277	18.4932420089069
WT4	19.8746069143518	20.2484567313166	22	21.4242852856285	22.4276614920058	20.3715487874634	18.9736659610103	19.0525588832576	20.174241001832	19.3907194296653	18.5741756210067	18.8679622641132	20.1494416796099	20.4939015319192	19.0787840283389	0	21.0713075057055	19.0262975904404
WT5	20.8086520466848	21.1660104885167	22.4053565024081	21.7944947177034	22.561028345357	20.2731349327133	20.2977831301844	20.6155281280883	21	20.3960780543711	19.9749843554382	20.591260281974	20.8326666559997	20.6881608655772	20.7364413533277	21.0713075057055	0	20
WT6	18.7349939951952	19.0787840283389	21.6794833886788	20.952326839757	22.4276614920058	20.2731349327133	18.2756668824971	19.313207915828	19.8746069143518	18.9736659610103	18.4661853126194	18.5472369909914	19.8494332412792	20.3960780543711	18.4932420089069	19.0262975904404	20	0
