jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.464965068824791	0.508501915451307	0.461773064393152	0.509002956194571	0.434426807760141	0.493414799728445	0.52906475773845	0.495355617329988	0.470466606933627	0.456960089000139	0.467932343803935	0.476033511880236	0.494130420031214	0.47257209718494	0.489723696746972	0.510204081632653	0.467826567246617
KO2	0.464965068824791	0	0.547929071517372	0.525448504983389	0.615509389232017	0.49044282701857	0.483738726427986	0.492698498947225	0.507097208207198	0.507498823054678	0.45265653325896	0.480416324294714	0.460492542490461	0.516180797004547	0.453303596320045	0.459744586340922	0.522601690965981	0.471098863244919
KO3	0.508501915451307	0.547929071517372	0	0.508401666890711	0.510404081084709	0.511702769767286	0.596242646593713	0.588025704651015	0.543545317319682	0.540480105228543	0.527698533802163	0.581346289074986	0.557087126137841	0.538461538461538	0.549732061168475	0.535664797096668	0.531886742524477	0.510504060675213
KO4	0.461773064393152	0.525448504983389	0.508401666890711	0	0.512401126156321	0.440916116341155	0.57028733410643	0.580620402942117	0.545454545454545	0.51865696548962	0.507097208207198	0.562042376725199	0.510304088071424	0.505891065777957	0.534310811703322	0.534504391468005	0.522601690965981	0.513098827470687
KO5	0.509002956194571	0.615509389232017	0.510404081084709	0.512401126156321	0	0.504783721870368	0.647489029741589	0.623154237498449	0.611524745041607	0.580166346769034	0.566963709156658	0.637524557956778	0.567703627210533	0.529454641839507	0.585235241616728	0.587306639506016	0.544309609708101	0.561016729347685
KO6	0.434426807760141	0.49044282701857	0.511702769767286	0.440916116341155	0.504783721870368	0	0.547453855216651	0.582705326350747	0.539038841342989	0.511203542197773	0.486943478557306	0.523289858929997	0.516974071103983	0.518755840341743	0.518755840341743	0.514193893947509	0.517568470273881	0.515585284280936
OE1	0.493414799728445	0.483738726427986	0.596242646593713	0.57028733410643	0.647489029741589	0.547453855216651	0	0.469200524246396	0.503472924674624	0.471098863244919	0.432546969911004	0.40814862635392	0.507599193006052	0.547358774628527	0.428662465481838	0.492596114658335	0.546121593291405	0.451792939863262
OE2	0.52906475773845	0.492698498947225	0.588025704651015	0.580620402942117	0.623154237498449	0.582705326350747	0.469200524246396	0	0.497698348226374	0.47571948622845	0.447460472925703	0.492288878320538	0.482390754291185	0.55323032792229	0.461666435602385	0.519546364242829	0.52877220896314	0.453626924952965
OE3	0.495355617329988	0.507097208207198	0.543545317319682	0.545454545454545	0.611524745041607	0.539038841342989	0.503472924674624	0.497698348226374	0	0.424311275205907	0.450495740818321	0.490750816104461	0.450495740818321	0.488180393759793	0.460919619945905	0.480208190658814	0.484049456930118	0.448328905048245
OE4	0.470466606933627	0.507498823054678	0.540480105228543	0.51865696548962	0.580166346769034	0.511203542197773	0.471098863244919	0.47571948622845	0.424311275205907	0	0.424423145189918	0.464327728184901	0.450171101333892	0.47257209718494	0.438392794314264	0.453734671125975	0.471520077140299	0.444958307056268
OE5	0.456960089000139	0.45265653325896	0.527698533802163	0.507097208207198	0.566963709156658	0.486943478557306	0.432546969911004	0.447460472925703	0.450495740818321	0.424423145189918	0	0.429885382764964	0.434095399379057	0.474147414741474	0.39676347348649	0.428662465481838	0.448762756885223	0.400807090869784
OE6	0.467932343803935	0.480416324294714	0.581346289074986	0.562042376725199	0.637524557956778	0.523289858929997	0.40814862635392	0.492288878320538	0.490750816104461	0.464327728184901	0.429885382764964	0	0.505186582244376	0.549637278609241	0.44593837535014	0.485704537700444	0.537401964015027	0.473727647867951
WT1	0.476033511880236	0.460492542490461	0.557087126137841	0.510304088071424	0.567703627210533	0.516974071103983	0.507599193006052	0.482390754291185	0.450495740818321	0.450171101333892	0.434095399379057	0.505186582244376	0	0.417908319669209	0.441791883162477	0.45931685642877	0.451036504501989	0.429663175771299
WT2	0.494130420031214	0.516180797004547	0.538461538461538	0.505891065777957	0.529454641839507	0.518755840341743	0.547358774628527	0.55323032792229	0.488180393759793	0.47257209718494	0.474147414741474	0.549637278609241	0.417908319669209	0	0.477183833116036	0.447243212986286	0.462092862092862	0.476556600535457
WT3	0.47257209718494	0.453303596320045	0.549732061168475	0.534310811703322	0.585235241616728	0.518755840341743	0.428662465481838	0.461666435602385	0.460919619945905	0.438392794314264	0.39676347348649	0.44593837535014	0.441791883162477	0.477183833116036	0	0.426657213753988	0.480104102458736	0.400461294507712
WT4	0.489723696746972	0.459744586340922	0.535664797096668	0.534504391468005	0.587306639506016	0.514193893947509	0.492596114658335	0.519546364242829	0.480208190658814	0.453734671125975	0.428662465481838	0.485704537700444	0.45931685642877	0.447243212986286	0.426657213753988	0	0.495661605206074	0.449629733128406
WT5	0.510204081632653	0.522601690965981	0.531886742524477	0.522601690965981	0.544309609708101	0.517568470273881	0.546121593291405	0.52877220896314	0.484049456930118	0.471520077140299	0.448762756885223	0.537401964015027	0.451036504501989	0.462092862092862	0.480104102458736	0.495661605206074	0	0.440368262000141
WT6	0.467826567246617	0.471098863244919	0.510504060675213	0.513098827470687	0.561016729347685	0.515585284280936	0.451792939863262	0.453626924952965	0.448328905048245	0.444958307056268	0.400807090869784	0.473727647867951	0.429663175771299	0.476556600535457	0.400461294507712	0.449629733128406	0.440368262000141	0
