jaccard_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.250863856254319	0.320197044334975	0.317862165963432	0.353448275862069	0.279134682484299	0.23445945945946	0.24	0.257710760795065	0.241946538725154	0.25050778605281	0.233198924731183	0.260958904109589	0.30625	0.252221462747779	0.269808743169399	0.300277392510402	0.241237113402062
KO2	0.250863856254319	0	0.321302193913659	0.302142857142857	0.363048166786484	0.276371308016878	0.241029113067028	0.251355013550136	0.270362765229295	0.262942779291553	0.254755434782609	0.231393775372125	0.264099037138927	0.302521008403361	0.263661202185792	0.280054644808743	0.310679611650485	0.250343878954608
KO3	0.320197044334975	0.321302193913659	0	0.356880058866814	0.37175572519084	0.337896253602306	0.334012219959267	0.342176870748299	0.345138888888889	0.340689655172414	0.318307905686546	0.322010869565217	0.334499650104969	0.353790613718412	0.328919860627178	0.338698390482855	0.359341445955619	0.327526132404181
KO4	0.317862165963432	0.302142857142857	0.356880058866814	0	0.382753403933434	0.303741746148202	0.327210884353741	0.315862068965517	0.324210526315789	0.315164220824598	0.316008316008316	0.304794520547945	0.333333333333333	0.340595497458243	0.310126582278481	0.323467230443975	0.342712842712843	0.308720112517581
KO5	0.353448275862069	0.363048166786484	0.37175572519084	0.382753403933434	0	0.348020911127707	0.383139136394791	0.361091672498251	0.381895332390382	0.370239774330042	0.343994314143568	0.367697594501718	0.377130681818182	0.377876763177431	0.378169014084507	0.361610352264558	0.37620103473762	0.358262108262108
KO6	0.279134682484299	0.276371308016878	0.337896253602306	0.303741746148202	0.348020911127707	0	0.272169167803547	0.27553118574366	0.297372060857538	0.296778615490062	0.256267409470752	0.265986394557823	0.299446749654219	0.320996441281139	0.281054823039556	0.289400278940028	0.295470884255931	0.284429065743945
OE1	0.23445945945946	0.241029113067028	0.334012219959267	0.327210884353741	0.383139136394791	0.272169167803547	0	0.218729096989967	0.238352464550979	0.228802153432032	0.219610476830087	0.188172043010753	0.243935309973046	0.295238095238095	0.225828262339419	0.243243243243243	0.28122866894198	0.225675675675676
OE2	0.24	0.251355013550136	0.342176870748299	0.315862068965517	0.361091672498251	0.27553118574366	0.218729096989967	0	0.24983119513842	0.227118644067797	0.204498977505112	0.195959595959596	0.24116847826087	0.298701298701299	0.228940217391304	0.246435845213849	0.290498974709501	0.250167672702884
OE3	0.257710760795065	0.270362765229295	0.345138888888889	0.324210526315789	0.381895332390382	0.297372060857538	0.238352464550979	0.24983119513842	0	0.232574189095928	0.24966078697422	0.225152129817444	0.254132231404959	0.298392732354997	0.251369863013699	0.27724795640327	0.305401662049861	0.267796610169492
OE4	0.241946538725154	0.262942779291553	0.340689655172414	0.315164220824598	0.370239774330042	0.296778615490062	0.228802153432032	0.227118644067797	0.232574189095928	0	0.231657608695652	0.220430107526882	0.262228260869565	0.294240111034004	0.24642614023145	0.256830601092896	0.288288288288288	0.245064669843431
OE5	0.25050778605281	0.254755434782609	0.318307905686546	0.316008316008316	0.343994314143568	0.256267409470752	0.219610476830087	0.204498977505112	0.24966078697422	0.231657608695652	0	0.190637720488467	0.236139630390144	0.275069637883008	0.223819301848049	0.236625514403292	0.276315789473684	0.23213070115725
OE6	0.233198924731183	0.231393775372125	0.322010869565217	0.304794520547945	0.367697594501718	0.265986394557823	0.188172043010753	0.195959595959596	0.225152129817444	0.220430107526882	0.190637720488467	0	0.223577235772358	0.280845262440354	0.216216216216216	0.23956931359354	0.286680189317106	0.230408573342264
WT1	0.260958904109589	0.264099037138927	0.334499650104969	0.333333333333333	0.377130681818182	0.299446749654219	0.243935309973046	0.24116847826087	0.254132231404959	0.262228260869565	0.236139630390144	0.223577235772358	0	0.290934645115952	0.254620123203285	0.276944065484311	0.301598332175122	0.267481330617787
WT2	0.30625	0.302521008403361	0.353790613718412	0.340595497458243	0.377876763177431	0.320996441281139	0.295238095238095	0.298701298701299	0.298392732354997	0.294240111034004	0.275069637883008	0.280845262440354	0.290934645115952	0	0.291492329149233	0.295151089248067	0.308802308802309	0.290097629009763
WT3	0.252221462747779	0.263661202185792	0.328919860627178	0.310126582278481	0.378169014084507	0.281054823039556	0.225828262339419	0.228940217391304	0.251369863013699	0.24642614023145	0.223819301848049	0.216216216216216	0.254620123203285	0.291492329149233	0	0.250343878954608	0.297372060857538	0.23489010989011
WT4	0.269808743169399	0.280054644808743	0.338698390482855	0.323467230443975	0.361610352264558	0.289400278940028	0.243243243243243	0.246435845213849	0.27724795640327	0.256830601092896	0.236625514403292	0.23956931359354	0.276944065484311	0.295151089248067	0.250343878954608	0	0.308119361554476	0.248968363136176
WT5	0.300277392510402	0.310679611650485	0.359341445955619	0.342712842712843	0.37620103473762	0.295470884255931	0.28122866894198	0.290498974709501	0.305401662049861	0.288288288288288	0.276315789473684	0.286680189317106	0.301598332175122	0.308802308802309	0.297372060857538	0.308119361554476	0	0.279329608938547
WT6	0.241237113402062	0.250343878954608	0.327526132404181	0.308720112517581	0.358262108262108	0.284429065743945	0.225675675675676	0.250167672702884	0.267796610169492	0.245064669843431	0.23213070115725	0.230408573342264	0.267481330617787	0.290097629009763	0.23489010989011	0.248968363136176	0.279329608938547	0
