unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.12902788576344	0.0913288891205803	0.0565133191301674	0.128939212153707	0.0621345802573157	0.0865853942082679	0.152929547051694	0.130450276962427	0.0880859984753913	0.0763828504866285	0.0775435605667199	0.124054657533912	0.0712504257658498	0.0883990318463605	0.0933470343892804	0.100583951762892	0.0873711615782067
KO2	0.12902788576344	0	0.152020101441441	0.13417707323953	0.238775974710835	0.162629034889546	0.111837568880308	0.0888364449882148	0.105221348412551	0.12575832163668	0.0921806763086596	0.106827072855848	0.0788959011869979	0.14200229927475	0.0885607255811372	0.0833153413731934	0.0931607016301953	0.0963624595174788
KO3	0.0913288891205803	0.152020101441441	0	0.0749682280774872	0.141439941284108	0.102297880910493	0.114215580179236	0.130605215101321	0.111489677759252	0.0845600777143356	0.0948795661732215	0.111049788644937	0.129993068627811	0.0813287707321666	0.105336737603162	0.106816445693442	0.0970848006470572	0.0864478744961063
KO4	0.0565133191301674	0.13417707323953	0.0749682280774872	0	0.127822970779844	0.0705820231492322	0.0978934826753647	0.149171899536958	0.130107719582691	0.0924994117899885	0.078761169189521	0.0904022923512246	0.122814121816419	0.0707968108448914	0.0956623979612686	0.0930416161913431	0.0905993679811962	0.0874178552943985
KO5	0.128939212153707	0.238775974710835	0.141439941284108	0.127822970779844	0	0.107618832587104	0.195974501395341	0.232270554511029	0.212479853071453	0.173323518559191	0.174247258851858	0.188132021610848	0.205174849519468	0.135062862155577	0.18492413149931	0.185699128756418	0.170384440360158	0.169122433984816
KO6	0.0621345802573157	0.162629034889546	0.102297880910493	0.0705820231492322	0.107618832587104	0	0.121006660428775	0.19029487511483	0.169036797982005	0.125552855441435	0.108293728009565	0.11445403247481	0.162863780550459	0.100500138363938	0.12930804736081	0.132434929005346	0.132557983921737	0.126105299533756
OE1	0.0865853942082679	0.111837568880308	0.114215580179236	0.0978934826753647	0.195974501395341	0.121006660428775	0	0.116341741642771	0.11214310558252	0.0769493797352729	0.061484096648643	0.0355948970730401	0.122218920543043	0.108666907318248	0.0708969822514116	0.0874080007403092	0.105629623337957	0.0801144043369244
OE2	0.152929547051694	0.0888364449882148	0.130605215101321	0.149171899536958	0.232270554511029	0.19029487511483	0.116341741642771	0	0.0711506282355907	0.0988408499776881	0.0994956241047745	0.111285415646439	0.0825583064443384	0.130638520908931	0.0910844544852435	0.0950007184575468	0.0904899142514699	0.0852864037431657
OE3	0.130450276962427	0.105221348412551	0.111489677759252	0.130107719582691	0.212479853071453	0.169036797982005	0.11214310558252	0.0711506282355907	0	0.0714745442186902	0.0879747753938066	0.105945465768229	0.0709208072025432	0.097623097298348	0.0668058863185655	0.0704554473198993	0.0714441390254029	0.0675615907628459
OE4	0.0880859984753913	0.12575832163668	0.0845600777143356	0.0924994117899885	0.173323518559191	0.125552855441435	0.0769493797352729	0.0988408499776881	0.0714745442186902	0	0.0691670666933717	0.0705519588359058	0.0922322789772393	0.0721091028548245	0.0579362531353703	0.0760350454997363	0.0753152159748601	0.0563839910961726
OE5	0.0763828504866285	0.0921806763086596	0.0948795661732215	0.078761169189521	0.174247258851858	0.108293728009565	0.061484096648643	0.0994956241047745	0.0879747753938066	0.0691670666933717	0	0.0497001759507611	0.0895536200934925	0.0836450220217354	0.0449977749752384	0.055994085043497	0.0647693214278256	0.0442053244501665
OE6	0.0775435605667199	0.106827072855848	0.111049788644937	0.0904022923512246	0.188132021610848	0.11445403247481	0.0355948970730401	0.111285415646439	0.105945465768229	0.0705519588359058	0.0497001759507611	0	0.114228731036816	0.104341106181749	0.0656714308849428	0.0808248417116418	0.0942818989669047	0.070874068552029
WT1	0.124054657533912	0.0788959011869979	0.129993068627811	0.122814121816419	0.205174849519468	0.162863780550459	0.122218920543043	0.0825583064443384	0.0709208072025432	0.0922322789772393	0.0895536200934925	0.114228731036816	0	0.0958883978370566	0.0683006717678539	0.0669165415387875	0.0576201947090917	0.069295546339967
WT2	0.0712504257658498	0.14200229927475	0.0813287707321666	0.0707968108448914	0.135062862155577	0.100500138363938	0.108666907318248	0.130638520908931	0.097623097298348	0.0721091028548245	0.0836450220217354	0.104341106181749	0.0958883978370566	0	0.0792240444026537	0.0836682981805149	0.0733077277897461	0.0673875267069531
WT3	0.0883990318463605	0.0885607255811372	0.105336737603162	0.0956623979612686	0.18492413149931	0.12930804736081	0.0708969822514116	0.0910844544852435	0.0668058863185655	0.0579362531353703	0.0449977749752384	0.0656714308849428	0.0683006717678539	0.0792240444026537	0	0.0452156881342838	0.0562383815595295	0.0355852848960442
WT4	0.0933470343892804	0.0833153413731934	0.106816445693442	0.0930416161913431	0.185699128756418	0.132434929005346	0.0874080007403092	0.0950007184575468	0.0704554473198993	0.0760350454997363	0.055994085043497	0.0808248417116418	0.0669165415387875	0.0836682981805149	0.0452156881342838	0	0.0425351256122284	0.0502713589186726
WT5	0.100583951762892	0.0931607016301953	0.0970848006470572	0.0905993679811962	0.170384440360158	0.132557983921737	0.105629623337957	0.0904899142514699	0.0714441390254029	0.0753152159748601	0.0647693214278256	0.0942818989669047	0.0576201947090917	0.0733077277897461	0.0562383815595295	0.0425351256122284	0	0.0467372234251169
WT6	0.0873711615782067	0.0963624595174788	0.0864478744961063	0.0874178552943985	0.169122433984816	0.126105299533756	0.0801144043369244	0.0852864037431657	0.0675615907628459	0.0563839910961726	0.0442053244501665	0.070874068552029	0.069295546339967	0.0673875267069531	0.0355852848960442	0.0502713589186726	0.0467372234251169	0
