unifrac_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.181507545458732	0.217389775460252	0.206529592657425	0.234162239504485	0.190776905175569	0.162121092160979	0.1752658754345	0.167427690713476	0.161491762382221	0.175264699501961	0.171473141820964	0.162968286177162	0.181976931720401	0.170095230521046	0.171002675712021	0.191831098827438	0.148997374090542
KO2	0.181507545458732	0	0.233633084129615	0.196057355862764	0.245152307325536	0.196107589123613	0.153631412708447	0.156993423938302	0.158744258509488	0.178958601515924	0.169316912777308	0.156377483961523	0.176718151375277	0.171203606407112	0.174097948064273	0.165001867778239	0.198394616082827	0.16910684533899
KO3	0.217389775460252	0.233633084129615	0	0.236105956233147	0.233675438683693	0.215740277367708	0.213775892784907	0.220173476437096	0.219825238180131	0.214948225033532	0.190530330173117	0.209734196771728	0.230178786427249	0.216128927290266	0.208100174195329	0.22678934144251	0.24355120662915	0.219652064695254
KO4	0.206529592657425	0.196057355862764	0.236105956233147	0	0.25604165593855	0.199806368479781	0.217443803186756	0.210515313112546	0.215141140578615	0.216289911890043	0.202148947516995	0.204722420468837	0.216123769556209	0.220782804111776	0.194521457596637	0.223834308715467	0.241496788564534	0.188469924884072
KO5	0.234162239504485	0.245152307325536	0.233675438683693	0.25604165593855	0	0.223612953294354	0.246021950222555	0.217953147264798	0.23921158460865	0.213214589351558	0.211763522600319	0.238855881617527	0.245058017157413	0.22532497758035	0.241046697178658	0.227641620603504	0.240702374456794	0.228858693198814
KO6	0.190776905175569	0.196107589123613	0.215740277367708	0.199806368479781	0.223612953294354	0	0.186704426189032	0.175936519152094	0.193417051750462	0.19016273249174	0.166141007415718	0.19788115134566	0.211054272151606	0.185543195833625	0.193695652809	0.190452606103641	0.187430224059861	0.186080327775556
OE1	0.162121092160979	0.153631412708447	0.213775892784907	0.217443803186756	0.246021950222555	0.186704426189032	0	0.126083422936812	0.141448774826396	0.120814742713594	0.124144110443559	0.108222289785203	0.154465671341795	0.156499267429202	0.118538824383164	0.153823851980226	0.17112924371751	0.150738670026365
OE2	0.1752658754345	0.156993423938302	0.220173476437096	0.210515313112546	0.217953147264798	0.175936519152094	0.126083422936812	0	0.149042529425034	0.118774834152914	0.115824522925039	0.128747538087434	0.150573244683669	0.154949212175329	0.120854066516388	0.128666687909824	0.1801732713249	0.142311712238854
OE3	0.167427690713476	0.158744258509488	0.219825238180131	0.215141140578615	0.23921158460865	0.193417051750462	0.141448774826396	0.149042529425034	0	0.153294270866519	0.154512643334352	0.142815414108291	0.149539843973733	0.161341769354262	0.145752717255424	0.16559693176727	0.184648886893437	0.166762509173173
OE4	0.161491762382221	0.178958601515924	0.214948225033532	0.216289911890043	0.213214589351558	0.19016273249174	0.120814742713594	0.118774834152914	0.153294270866519	0	0.131424541012601	0.148604019527277	0.174872638932969	0.159947018608341	0.136670038973592	0.143928021399639	0.185548224597956	0.139706425793919
OE5	0.175264699501961	0.169316912777308	0.190530330173117	0.202148947516995	0.211763522600319	0.166141007415718	0.124144110443559	0.115824522925039	0.154512643334352	0.131424541012601	0	0.120757886201229	0.15872529573949	0.145551023357533	0.130866295770418	0.133456022535529	0.177533868777064	0.134679432665031
OE6	0.171473141820964	0.156377483961523	0.209734196771728	0.204722420468837	0.238855881617527	0.19788115134566	0.108222289785203	0.128747538087434	0.142815414108291	0.148604019527277	0.120757886201229	0	0.138481104083525	0.159612297652529	0.13090962151079	0.144183111375366	0.178053978597077	0.160484302484205
WT1	0.162968286177162	0.176718151375277	0.230178786427249	0.216123769556209	0.245058017157413	0.211054272151606	0.154465671341795	0.150573244683669	0.149539843973733	0.174872638932969	0.15872529573949	0.138481104083525	0	0.172770650940318	0.159571122318989	0.170035368653598	0.178183655414569	0.197716278210742
WT2	0.181976931720401	0.171203606407112	0.216128927290266	0.220782804111776	0.22532497758035	0.185543195833625	0.156499267429202	0.154949212175329	0.161341769354262	0.159947018608341	0.145551023357533	0.159612297652529	0.172770650940318	0	0.169524461671491	0.171187375944887	0.174933721312906	0.173302711564046
WT3	0.170095230521046	0.174097948064273	0.208100174195329	0.194521457596637	0.241046697178658	0.193695652809	0.118538824383164	0.120854066516388	0.145752717255424	0.136670038973592	0.130866295770418	0.13090962151079	0.159571122318989	0.169524461671491	0	0.142056808104302	0.191723064069384	0.14942587977294
WT4	0.171002675712021	0.165001867778239	0.22678934144251	0.223834308715467	0.227641620603504	0.190452606103641	0.153823851980226	0.128666687909824	0.16559693176727	0.143928021399639	0.133456022535529	0.144183111375366	0.170035368653598	0.171187375944887	0.142056808104302	0	0.187511269241186	0.149986390954766
WT5	0.191831098827438	0.198394616082827	0.24355120662915	0.241496788564534	0.240702374456794	0.187430224059861	0.17112924371751	0.1801732713249	0.184648886893437	0.185548224597956	0.177533868777064	0.178053978597077	0.178183655414569	0.174933721312906	0.191723064069384	0.187511269241186	0	0.19525581284004
WT6	0.148997374090542	0.16910684533899	0.219652064695254	0.188469924884072	0.228858693198814	0.186080327775556	0.150738670026365	0.142311712238854	0.166762509173173	0.139706425793919	0.134679432665031	0.160484302484205	0.197716278210742	0.173302711564046	0.14942587977294	0.149986390954766	0.19525581284004	0
