	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1005995	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1.5	1	0
1007384	0	1	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	1	1	0
1007985	0	1	0	0	0	0	1.5	0	1	2.5	1.5	1	0	0	0	0	3	0
1008533	0	0	0	0	0	0	1	0.5	0	0	0	0.5	0	0	0.5	1	0	0.75
1011685	0	0	0	0	2	0	1	1	0	1.5	1	0	1	0	1.5	1	1	0
1012112	4.5	4.5	0	3	3	3	7.5	3.5	2.5	3.5	6.5	6	2.5	2	4	2.5	3	3
101320	1.5	3	0	3.5	2	2	2	2.5	0	3	8	6.5	2	0	0	0	3	1
1015017	1	0	1	0	0	0.666666666666667	0.666666666666667	0	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0	1	0	1	0
1015820	1	2	0	1.5	1.5	2	1.5	0	2.5	1.5	4	2.5	2.5	2	2	2.5	0	0
102030	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.5
102122	1.33333333333333	1.33333333333333	1.66666666666667	1.33333333333333	0.666666666666667	0	2.33333333333333	1.66666666666667	4.33333333333333	4.33333333333333	2.33333333333333	4	2.66666666666667	6.33333333333333	4.66666666666667	4.66666666666667	4.66666666666667	1.33333333333333
1022861	1.5	10	5.5	10	3.5	6	11	9.5	8	7.5	7.5	11	6.5	6.5	6	6	9	4
1024572	2	1.5	1.5	0	0	0	0	1.5	1.5	1	0	1	0	0	0	1	0	0
1025830	0	0	0	0.666666666666667	0	0	0.666666666666667	0	0	0.666666666666667	0.666666666666667	1	0	0	0	1.33333333333333	0.666666666666667	0.666666666666667
1032653	8	5	2	0	1.5	13	18.5	4	4.5	3.5	9.5	13	3	5	5	1.5	5.5	3
1033018	0	0	0.666666666666667	1	0.666666666666667	2.33333333333333	0	0.666666666666667	0	0.666666666666667	0	0	1.66666666666667	0	0.666666666666667	0	1	1
103478	1.5	1.5	1	2	0	1.5	1	2.5	0	2	3	0	1	2	2	1	1	1.5
1042683	5	3	2	3.66666666666667	4	2	2.66666666666667	1.33333333333333	4.33333333333333	4	7	5	4.33333333333333	3	6.66666666666667	4.66666666666667	3.66666666666667	6
1042762	0	0	0	0	0	0	1	0	0	1.5	0	0	0	1	0	0	0	0
1043652	0	2	0	1	1	0	1.5	1.5	1	1	1	0	2	1.5	0	0	0	1.5
104646	0	0	0	0	0	2.5	1	0	0	0	1	0	0	0	0	0	0	0
1047075	0	1	2	0	1.5	2.5	0	1.5	1	1	0	0	1	1.5	1.5	1	1	1.5
1049387	13.5	7.5	7.5	13.5	22	5.5	6	17	7	12	36.5	14	9	3.5	19	9	8.5	9
105008	0	0	0.666666666666667	0	1	2.33333333333333	0	0.666666666666667	0	0	0	0	0	0	0.666666666666667	0	0	0
105210	3	5	3	8	5	2	4	13	2	3	3	9	6	3	6	2	6	9
1052235	0.666666666666667	0	1.33333333333333	0	0	0.666666666666667	2.33333333333333	1.33333333333333	0.666666666666667	1	1.33333333333333	0	1.33333333333333	0	1	1	0	1
1053194	0	0	0	0	0	1	0	0	0	0	1	1.5	1	0	1	1	2.5	0
1056339	0	0.666666666666667	0	0.666666666666667	0	0.666666666666667	1	0	1.33333333333333	1	0	1	1	1	0.666666666666667	0.666666666666667	1.33333333333333	0.666666666666667
1059557	3.33333333333333	2.33333333333333	6	1.66666666666667	1.33333333333333	2.66666666666667	3.33333333333333	2.33333333333333	1.66666666666667	4.33333333333333	6	3.33333333333333	3	3.33333333333333	4.66666666666667	2.66666666666667	2.33333333333333	7
105993	5	3.5	1.5	4.5	5	4	3	2	2	3.5	2.5	3.5	3.5	3	1.5	4	5	3
106141	0	3.5	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0.7
1063513	0	0	0	0	0	1	1.5	0	0	0	1	0	1	0	0	0	1	0
106543	1.25	1.5	0	0.75	1.5	0.75	1.5	1.75	0.75	1	1.25	1.75	0.5	1	0.5	0.75	0.75	0.75
1067268	0	0	1	0	1	2	2.5	2.5	0	0	1	0	4	1	1	1	1.5	0
1068902	8	13	21	9.5	10	8.5	3	5	6	6.5	7	5.5	6	6.5	7	7.5	3.5	6.5
1074016	32	10.3333333333333	17.3333333333333	17.6666666666667	30.3333333333333	22	6.66666666666667	3.33333333333333	11.6666666666667	9.33333333333333	4.66666666666667	3	21	9	7.66666666666667	6.66666666666667	11.3333333333333	9.33333333333333
1081618	1.5	0	2	0	1	1	2.5	0	0	0	1	2	0	0	1	0	0	0
1087496	19.6666666666667	18	60.3333333333333	55.6666666666667	49.3333333333333	26.6666666666667	12.6666666666667	8.33333333333333	15.6666666666667	10.3333333333333	15	17.6666666666667	13.3333333333333	31	13	25.6666666666667	14.6666666666667	14.6666666666667
1088254	5.5	3.5	0	6.5	3	2.5	1.5	2	3.5	1	2	2	2.5	2.5	6	4	2.5	1.5
108892	2	5	2	4.5	2.5	4	2.5	2	3	2	5	3	3	6	2	2	1.5	1.5
108986	1.5	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1.5	1.5	0
1089939	1.33333333333333	0.666666666666667	0	1	1	1.66666666666667	1.66666666666667	0	0	1	1.66666666666667	1.66666666666667	0.666666666666667	0.666666666666667	0	0	0	0.666666666666667
1090006	1.5	2	1	0	1.5	0	2.5	5.5	2.5	1.5	0	1	1.5	2	3	1	1	1.5
109053	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0
1093945	1	1	1.5	0	0	1	1	3.5	2	1.5	0	1	1.5	0	1	0	0	0
1094887	1.5	2	1	0	0	1	0	0	1.5	1.5	1	0	3	1	1.5	0	1.5	0
