ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_111	-1.987	11.018	7.91650938666987e-06	0.00129830753941386	Depleted	0.048	0.193	0.079	0.048	0.052	0.045	0.022	0.04	0.221	0.293	0.191	0.247	0.141	0.064
ASV_6	0.97	14.859	2.33916386574538e-05	0.00191811436991121	Enriched	2.517	1.315	2.507	1.806	2.179	2.279	3.485	2.849	1.379	1.425	1.245	1.404	1.192	1.248
ASV_72	1.229	12.156	0.000370778231661477	0.0202692099974941	Enriched	0.395	0.17	0.349	0.2	0.327	0.628	0.29	0.573	0.142	0.177	0.124	0.223	0.196	0.16
ASV_38	1.031	13.076	0.000510904977485523	0.0209471040769064	Enriched	0.733	0.363	0.751	0.448	0.446	0.795	0.826	1.13	0.362	0.393	0.274	0.415	0.4	0.336
ASV_147	1.216	11.159	0.000770919673564113	0.0252861652929029	Enriched	0.186	0.08	0.245	0.176	0.164	0.167	0.181	0.183	0.079	0.146	0.05	0.056	0.039	0.112
ASV_154	-3.457	10.991	0.00199417852637539	0.0492431867951818	Depleted	0.019	0.225	0.035	0.048	0.007	0.008	0.014	0	0.016	0.015	0.133	0.973	0.204	0.008
ASV_37	-0.914	12.759	0.00210184333881873	0.0492431867951818	Depleted	0.299	0.582	0.402	0.248	0.312	0.174	0.362	0.294	0.347	0.539	0.821	0.51	0.596	0.68
ASV_151	-1.697	10.487	0.00298696399107282	0.0584163926780834	Depleted	0.036	0.122	0.114	0.016	0.022	0.045	0.022	0	0.071	0.123	0.166	0.183	0.063	0.128
ASV_168	5.76	11.173	0.00320577764696799	0.0584163926780834	Enriched	0.269	0.004	0.009	0.008	0	1.59	0	0.008	0	0.008	0	0.008	0.008	0
ASV_56	-1.132	12.185	0.00364083481193563	0.0597096909157443	Depleted	0.177	0.401	0.052	0.136	0.245	0.235	0.225	0.167	0.268	0.616	0.523	0.343	0.376	0.28
ASV_2	0.773	16.071	0.00463809551479492	0.0645484201876238	Enriched	5.561	3.325	5.651	3.245	6.307	5.874	7.404	4.887	3.452	4.113	2.182	2.999	3.85	3.352
ASV_82	0.855	11.999	0.00472305513567979	0.0645484201876238	Enriched	0.321	0.181	0.253	0.384	0.253	0.235	0.406	0.398	0.15	0.185	0.133	0.239	0.227	0.152
ASV_95	0.993	11.604	0.00561546225639143	0.068585804190763	Enriched	0.245	0.127	0.201	0.168	0.342	0.242	0.312	0.207	0.071	0.108	0.075	0.152	0.188	0.168
ASV_87	-2.191	11.874	0.00585488572360172	0.068585804190763	Depleted	0.083	0.376	0.079	0.16	0	0.174	0.022	0.064	0.181	0.547	0.05	0.295	0.988	0.192
ASV_41	0.862	12.875	0.00631060259610932	0.0689959217174619	Enriched	0.603	0.341	0.533	0.44	0.491	0.53	1.022	0.605	0.221	0.47	0.266	0.407	0.306	0.376
ASV_114	2.257	10.646	0.0070634584190317	0.0723983796202771	Enriched	0.15	0.03	0.087	0.28	0.022	0.28	0.022	0.207	0	0.069	0.05	0	0.016	0.048
ASV_22	1.039	13.356	0.0075047100825897	0.0723983796202771	Enriched	0.882	0.442	0.524	0.44	1.346	1.272	1.072	0.637	0.315	0.716	0.324	0.606	0.337	0.352
ASV_49	1.986	12.256	0.00874793733412528	0.0797034290442525	Enriched	0.466	0.124	0.498	0.296	1.658	0.023	0.109	0.215	0.11	0.139	0.207	0.064	0.149	0.072
ASV_58	0.698	12.297	0.00946279823128593	0.0816788899963627	Enriched	0.383	0.241	0.393	0.28	0.342	0.484	0.471	0.326	0.26	0.239	0.266	0.175	0.235	0.272
ASV_161	1.007	10.889	0.0100752695976963	0.0826172107011099	Enriched	0.143	0.073	0.131	0.176	0.186	0.061	0.167	0.135	0.039	0.069	0.075	0.112	0.039	0.104
ASV_43	-2.655	12.51	0.0107361754067333	0.0838444174621076	Depleted	0.097	0.616	0.009	0.08	0.007	0.114	0.355	0.016	2.364	0.123	0.058	0.104	0.706	0.344
ASV_17	0.582	13.938	0.0131882425245069	0.0960338529069364	Enriched	1.202	0.817	1.406	0.815	0.989	1.226	1.145	1.632	0.954	0.732	0.821	0.861	0.815	0.72
ASV_55	1.082	12.336	0.013468162297924	0.0960338529069364	Enriched	0.436	0.208	0.41	0.815	0.29	0.235	0.449	0.414	0.276	0.069	0.224	0.088	0.337	0.256
ASV_116	0.764	11.38	0.0142284751526979	0.0972279135434356	Enriched	0.197	0.12	0.122	0.248	0.223	0.242	0.174	0.175	0.095	0.077	0.141	0.175	0.118	0.112
ASV_1	-0.619	15.968	0.0180865487377494	0.118647759719636	Depleted	3.283	5.087	3.214	5.306	2.06	3.301	2.76	3.056	6.241	6.355	4.638	5.24	3.952	4.096
ASV_59	0.683	12.262	0.0189568184614463	0.119573777987585	Enriched	0.371	0.237	0.245	0.288	0.335	0.416	0.543	0.398	0.229	0.216	0.183	0.239	0.274	0.28
ASV_164	1.48	10.991	0.0220272911397433	0.128459586688182	Enriched	0.167	0.062	0.026	0.088	0.535	0.159	0.058	0.135	0.032	0.077	0.091	0.032	0.063	0.08
ASV_86	-1.17	11.695	0.0225392257571929	0.128459586688182	Depleted	0.125	0.281	0.192	0.264	0.03	0.098	0.029	0.135	0.276	0.293	0.348	0.167	0.439	0.16
ASV_68	0.715	12.198	0.0232977496168296	0.128459586688182	Enriched	0.357	0.222	0.367	0.24	0.357	0.348	0.464	0.366	0.268	0.246	0.116	0.223	0.165	0.312
ASV_35	-1.04	12.949	0.0234987048819844	0.128459586688182	Depleted	0.328	0.677	0.262	0.623	0.268	0.575	0.072	0.167	0.82	0.94	0.664	0.678	0.612	0.352
ASV_40	0.957	11.557	0.0289484255928047	0.149045069844906	Enriched	0.241	0.125	0.332	0.328	0.126	0.167	0.101	0.39	0.158	0.062	0.174	0.104	0.063	0.192
ASV_18	-0.691	13.648	0.0290819648477865	0.149045069844906	Depleted	0.628	1.016	0.672	0.831	0.506	0.681	0.398	0.676	1.119	1.425	0.597	0.782	1.451	0.72
ASV_195	-0.813	11.256	0.0319909387750447	0.153549866563424	Depleted	0.104	0.187	0.148	0.096	0.089	0.136	0.022	0.135	0.11	0.154	0.207	0.183	0.204	0.264
ASV_85	-0.778	11.81	0.0323378984362163	0.153549866563424	Depleted	0.159	0.279	0.175	0.176	0.238	0.159	0.072	0.135	0.292	0.223	0.199	0.175	0.376	0.408
ASV_92	1.84	11.214	0.0331255723575593	0.153549866563424	Enriched	0.219	0.062	0.507	0.184	0.216	0.28	0.007	0.119	0.032	0.046	0	0.231	0.047	0.016
ASV_45	0.888	12.823	0.0337060682700199	0.153549866563424	Enriched	0.582	0.319	0.515	0.296	0.617	0.613	1.022	0.43	0.362	0.555	0.183	0.16	0.423	0.232
ASV_65	2.871	12.338	0.0348946516036774	0.15466818548657	Enriched	0.577	0.077	0.079	0.032	0.007	3.285	0	0.056	0.205	0.015	0.017	0.096	0.024	0.104
ASV_144	-1.163	10.774	0.0368534527224711	0.15905174332856	Depleted	0.061	0.141	0.166	0.072	0.015	0.03	0.036	0.048	0.11	0.039	0.29	0.144	0.157	0.104
ASV_25	0.486	13.127	0.0406110395448758	0.165829817331851	Enriched	0.655	0.48	0.594	0.567	0.826	0.689	0.623	0.629	0.426	0.478	0.622	0.375	0.478	0.504
ASV_67	0.787	12.229	0.0409938096493486	0.165829817331851	Enriched	0.37	0.22	0.192	0.192	0.483	0.386	0.551	0.414	0.165	0.231	0.108	0.223	0.29	0.304
ASV_115	-0.762	11.208	0.0423370473076039	0.165829817331851	Depleted	0.101	0.177	0.096	0.176	0.119	0.045	0.109	0.064	0.102	0.239	0.191	0.175	0.133	0.224
ASV_10	0.73	14.393	0.0424686117557179	0.165829817331851	Enriched	1.706	1.045	0.908	1.023	1.718	1.998	2.681	1.91	1.08	1.533	0.68	0.75	1.482	0.744
ASV_99	0.55	11.386	0.0600070274346028	0.221825828509547	NotSig	0.188	0.132	0.14	0.16	0.186	0.235	0.159	0.247	0.095	0.1	0.174	0.144	0.118	0.16
