#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1000161	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
100054	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
100104	3	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0
1001967	0	0	0	0	0	0	3	0	0	0	1	2	0	1	1	0	0	0
100208	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	3	0
100307	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1004427	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1004452	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
1004666	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1005605	0	0	1	0	0	0	0	2	0	0	6	1	0	0	0	1	0	0
1005995	0	1	4	1	2	1	0	0	0	0	0	1	0	0	0	3	2	0
1006496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
100737	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0
1007384	1	2	0	1	0	1	0	1	0	1	0	3	0	0	3	2	2	1
100791	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007985	1	2	0	0	0	1	3	1	2	5	3	2	1	0	1	1	6	1
1008533	1	0	0	1	0	0	4	2	1	0	1	2	0	0	2	4	1	3
100989	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
1011685	1	1	1	0	4	1	2	2	1	3	2	0	2	1	3	2	2	0
101208	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
1012112	9	9	1	6	6	6	15	7	5	7	13	12	5	4	8	5	6	6
1012668	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
101320	3	6	0	7	4	4	4	5	1	6	16	13	4	1	1	0	6	2
1013739	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
101466	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
1015017	3	0	3	0	1	2	2	1	2	2	2	2	2	0	3	1	3	0
1015227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101542	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1015820	2	4	1	3	3	4	3	1	5	3	8	5	5	4	4	5	1	0
1015969	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0
1017063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
101707	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
1018260	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
101852	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
102030	0	0	0	0	0	2	0	1	1	0	1	0	2	0	1	0	0	3
1020921	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
102122	4	4	5	4	2	1	7	5	13	13	7	12	8	19	14	14	14	4
1021456	1	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	1
102163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1022659	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
1022861	3	20	11	20	7	12	22	19	16	15	15	22	13	13	12	12	18	8
1022879	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
102326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1023338	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1024572	4	3	3	0	0	1	1	3	3	2	1	2	0	0	1	2	0	0
1024772	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1025155	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1025830	1	1	1	2	0	0	2	0	1	2	2	3	0	1	0	4	2	2
102743	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1028783	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1030212	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0
1030519	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	2
1031932	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1032653	16	10	4	1	3	26	37	8	9	7	19	26	6	10	10	3	11	6
103288	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1033018	1	1	2	3	2	7	1	2	0	2	1	1	5	1	2	1	3	3
103303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1033380	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
1033571	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
103410	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
1034106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1034378	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103478	3	3	2	4	0	3	2	5	1	4	6	1	2	4	4	2	2	3
103580	0	1	0	0	0	2	0	0	0	3	1	0	0	0	1	1	0	0
1036372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1037355	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0
103846	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
1039092	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1039546	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0
1040027	0	0	0	0	0	0	40	0	0	1	1	0	0	0	0	0	1	0
1040091	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
1040114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
104014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
