OTUID	All	KO	OE	WT
ASV_1	4.10317	3.282909	3.939479	5.087122
ASV_2	3.837889	5.561184	2.627755	3.324727
ASV_3	2.607153	2.289766	2.351030	3.180663
ASV_4	2.099579	2.249817	1.546180	2.502741
ASV_8	1.751395	1.205197	2.197704	1.851285
ASV_6	1.609003	2.517378	0.994229	1.315401
ASV_7	1.60084	1.499917	1.572726	1.729876
ASV_9	1.36554	1.257142	1.429293	1.410186
ASV_10	1.181136	1.7063911	0.7922425	1.0447753
ASV_11	1.068616	1.020172	1.035572	1.150105
ASV_14	1.034783	0.8673972	1.0904852	1.1464670
ASV_12	1.002251	1.0037327	0.8475257	1.1554933
ASV_15	0.982462	1.0510073	1.0084564	0.8879232
ASV_13	0.961889	0.6658448	1.2815023	0.9383202
ASV_16	0.931809	0.7312616	0.8983890	1.1657756
ASV_17	0.859619	1.2021577	0.5594226	0.8172772
ASV_18	0.801523	0.6276000	0.7613409	1.0156289
ASV_20	0.696405	0.5942390	0.3553595	1.1396172
ASV_19	0.690018	0.7644963	0.6538604	0.6516983
ASV_23	0.614535	0.6840057	0.5492987	0.6103002
ASV_21	0.60139	0.4810112	0.5883634	0.7347943
ASV_22	0.555336	0.8817282	0.3425217	0.4417574
ASV_25	0.568183	0.6545794	0.5695285	0.4804399
ASV_26	0.565245	0.4405133	0.5959608	0.6592604
ASV_28	0.557853	0.5531128	0.5035030	0.6169422
ASV_29	0.55954	0.5108465	0.6228920	0.5448806
ASV_30	0.562572	0.4228386	0.6252999	0.6395774
ASV_24	0.540142	0.7297797	0.2915346	0.5991117
ASV_31	0.519307	0.6024845	0.3996216	0.5558137
ASV_27	0.524844	0.496230	0.553758	0.524543
ASV_33	0.487524	0.4990417	0.5093675	0.4541641
ASV_32	0.482153	0.4647577	0.4315652	0.5501363
ASV_35	0.482027	0.3279998	0.4406348	0.6774473
ASV_34	0.487368	0.4130541	0.5511224	0.4979260
ASV_36	0.47099	0.5056048	0.3810131	0.5263534
ASV_38	0.447766	0.7326231	0.2473706	0.3633045
ASV_37	0.457715	0.2987782	0.4920647	0.5823032
ASV_40	0.447037	0.2406514	0.9751413	0.1253173
ASV_42	0.413364	0.3637559	0.3139107	0.5624254
ASV_41	0.408868	0.6032366	0.2825916	0.3407746
ASV_39	0.411708	0.4689872	0.3339892	0.4321473
ASV_47	0.383432	0.4599695	0.3268956	0.3634302
ASV_44	0.378117	0.4248027	0.2904195	0.4191289
ASV_45	0.371218	0.5821191	0.2124346	0.3191017
ASV_54	0.362671	0.5340988	0.1759481	0.3779653
ASV_46	0.371377	0.3444301	0.4843427	0.2853587
ASV_52	0.362314	0.2877527	0.3749653	0.4242230
ASV_48	0.35682	0.2670527	0.4182239	0.3851827
ASV_43	0.351527	0.09675842	0.34135269	0.61647067
ASV_51	0.347848	0.3274262	0.2817158	0.4344006
ASV_50	0.345815	0.3528069	0.3439527	0.3406843
ASV_53	0.337375	0.2839125	0.3334348	0.3947775
ASV_49	0.333095	0.4663766	0.4093725	0.1235346
ASV_55	0.325319	0.4355630	0.3320440	0.2083488
ASV_57	0.309507	0.2914280	0.2681799	0.3689137
ASV_58	0.293052	0.3827547	0.2552216	0.2411804
ASV_62	0.292439	0.3086216	0.2988333	0.2698621
ASV_56	0.27894	0.1766795	0.2590977	0.4010437
ASV_59	0.261766	0.3707594	0.1777905	0.2367487
ASV_61	0.271919	0.1654163	0.4006647	0.2496755
ASV_60	0.262806	0.2410899	0.2427559	0.3045713
ASV_67	0.258971	0.3696466	0.1869485	0.2203188
ASV_64	0.261686	0.2578781	0.2925249	0.2346554
ASV_66	0.253789	0.3204988	0.1759938	0.2648736
ASV_65	0.24436	0.57651778	0.07987520	0.07668795
ASV_68	0.25172	0.3569218	0.1764709	0.2217665
ASV_63	0.258286	0.08442526	0.58769065	0.10274229
ASV_70	0.236177	0.3134546	0.1967823	0.1982931
ASV_69	0.23833	0.2559136	0.2402302	0.2188470
ASV_82	0.231448	0.3213416	0.1919971	0.1810060
ASV_72	0.227602	0.3945827	0.1177490	0.1704732
ASV_71	0.230356	0.3257304	0.1869787	0.1783599
ASV_74	0.222535	0.2323070	0.2336657	0.2016315
ASV_76	0.222768	0.1742584	0.2487430	0.2453035
ASV_73	0.219531	0.1749781	0.1868987	0.2967162
ASV_75	0.214816	0.2714947	0.1886546	0.1842976
ASV_77	0.214902	0.1848328	0.1660588	0.2938145
ASV_83	0.211611	0.2752608	0.1807214	0.1788513
ASV_84	0.209827	0.1844911	0.1961954	0.2487946
ASV_81	0.209942	0.1872790	0.2791088	0.1634379
ASV_93	0.20742	0.1370225	0.3170341	0.1682040
ASV_79	0.201893	0.2641016	0.1207696	0.2208070
ASV_78	0.203751	0.1789662	0.1730446	0.2592411
ASV_85	0.203272	0.1591989	0.1716218	0.2789955
ASV_80	0.200581	0.2018577	0.1629016	0.2369830
ASV_87	0.198607	0.08299171	0.13731794	0.37551025
ASV_88	0.202564	0.3242952	0.1702940	0.1131018
ASV_86	0.194117	0.1247167	0.1770288	0.2806044
ASV_89	0.191332	0.1467887	0.2153401	0.2118683
ASV_97	0.184098	0.1920458	0.1541443	0.2061034
ASV_92	0.188332	0.2187919	0.2841897	0.0620141
ASV_91	0.179809	0.1683467	0.1631098	0.2079710
ASV_94	0.176571	0.1158873	0.1391401	0.2746855
ASV_100	0.182467	0.1310939	0.2512022	0.1651040
ASV_106	0.172848	0.1752221	0.1288843	0.2144388
ASV_109	0.174443	0.2118134	0.1527758	0.1587403
ASV_90	0.172806	0.2423026	0.1302353	0.1458806
ASV_95	0.170781	0.2452499	0.1402293	0.1268640
ASV_98	0.168028	0.2132007	0.1817131	0.1091703
ASV_110	0.167825	0.1524473	0.1902863	0.1607415
ASV_112	0.17073	0.08648036	0.28083528	0.14487363
ASV_101	0.165752	0.1651723	0.2051746	0.1269083
ASV_102	0.161073	0.2172864	0.1046511	0.1612821
ASV_96	0.159403	0.2121628	0.1300698	0.1359751
