function	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	22823.360000000004	25800.58	26882.160000000003	25637.38	27228.359999999993	24961.77	22532.96	23166.45	23007.410000000003	22919.299999999992	24247.720000000005	21748.480000000007	25730.49	25820.4	24180.85000000001	25056.56000000001	25080.98	25115.14
1.1.1.136-RXN	1704.9399999999996	1878.96	1890.55	2199.99	1971.0	2093.7700000000004	1903.53	1773.4099999999994	1593.8599999999994	1684.5000000000007	1854.32	1910.27	1690.29	1452.2899999999993	1513.84	1556.39	1677.54	1571.6399999999994
1.1.1.145-RXN	47.5	55.0	53.0	23.0	13.0	20.0	37.5	33.0	27.0	25.0	22.0	30.5	32.5	19.0	55.0	31.5	31.0	22.0
1.1.1.170-RXN	12.0	9.0	7.0	7.0	4.0	14.0	18.0	6.0	7.0	8.0	11.0	14.0	12.0	10.0	11.0	6.0	15.0	13.0
1.1.1.197-RXN	18.0	0.0	0.0	12.0	5.0	3.0	24.0	6.0	10.0	11.0	12.0	11.0	5.0	2.0	1.0	6.0	3.0	5.0
1.1.1.215-RXN	3207.22	2233.43	3403.5200000000004	3315.45	4796.94	3387.4800000000005	1977.46	1751.91	2483.880000000001	2734.2699999999995	2652.35	2166.53	2692.8	3469.42	2518.13	2839.4	3004.37	2622.4
1.1.1.253-RXN	1058.99	1067.6	1016.45	978.53	853.09	1050.69	1363.36	1019.08	1122.67	974.57	1314.95	1302.9499999999996	1021.13	1072.18	1411.75	1276.3199999999995	970.9	1375.7199999999998
1.1.1.261-RXN	1123.2499999999998	1569.85	801.8200000000003	1145.64	711.4199999999997	978.72	1270.48	1538.8299999999995	1518.4400000000005	1135.13	1200.0700000000004	1097.7899999999997	1634.91	1531.7600000000002	1271.2499999999995	1521.1399999999994	1353.35	1256.0599999999995
1.1.1.264-RXN	1634.6299999999994	1234.61	1864.12	1764.74	2312.640000000001	1639.48	1221.6	1334.0700000000004	1514.95	1616.9	1738.83	1263.6699999999996	1619.4500000000005	2098.92	1474.16	1803.67	2017.0	1627.1600000000005
1.1.1.271-RXN	3830.18	3391.34	4133.6	3944.78	5045.319999999999	4242.129999999999	3467.36	2946.42	3449.57	3509.19	3706.11	3301.8099999999995	3761.04	4428.98	3870.61	3939.13	3721.87	3619.67
1.1.1.292-RXN	329.17	319.84	674.8399999999998	610.1600000000002	876.75	561.1700000000002	289.75	325.33	262.33	351.17	442.16	352.84	334.17	471.34	256.83	337.25000000000006	545.5	366.08
1.1.1.34-RXN	12.83	17.67	36.5	63.0	19.83	10.83	14.5	19.33	10.17	17.0	17.83	14.0	24.5	8.67	27.83	19.83	10.67	14.83
1.1.1.39-RXN	5443.1399999999985	8878.58	6211.209999999999	6844.13	4260.440000000001	5560.409999999999	7109.450000000002	7461.03	6970.560000000001	6288.600000000001	6745.359999999999	6963.510000000001	7790.999999999999	6305.939999999999	6798.839999999998	7122.049999999998	6783.940000000001	6930.3
1.1.1.43-RXN	3.9	11.67	2.17	22.0	24.47	18.040000000000006	20.540000000000006	52.9	14.86	48.57	29.0	64.27000000000001	3.77	6.07	12.63	11.039999999999996	17.900000000000006	13.74
1.1.1.51-RXN	30.62	30.75	38.75	42.97	23.6	70.57	39.97	24.7	28.98	25.07	30.92	37.52	20.7	30.95	27.1	39.32	17.95	23.72
1.1.1.53-RXN	2919.59	4996.4299999999985	3280.02	3406.98	2758.05	2909.68	3267.17	3845.659999999999	3470.09	2903.0999999999995	3646.04	2985.3999999999987	4847.19	4184.519999999999	4049.03	4611.440000000001	3873.79	3729.29
1.1.1.83-RXN	5853.78	4922.37	6836.050000000001	6839.879999999999	8682.900000000001	6653.730000000001	4729.1	4123.3899999999985	4929.1100000000015	5318.45	5338.76	4692.1500000000015	5578.500000000001	6225.72	5207.799999999998	5700.6	6089.84	5708.75
1.1.3.37-RXN	35.0	30.0	12.0	9.0	22.0	40.0	67.0	29.0	26.0	25.0	41.0	60.0	13.0	12.0	21.0	15.0	27.0	21.0
1.1.3.41-RXN	1515.11	2606.27	1686.0199999999993	1616.25	1239.89	1510.56	1545.36	1779.0599999999995	1851.54	1605.7400000000002	1828.06	1539.9899999999993	2003.87	1552.0800000000004	1908.5	2060.32	1856.6700000000005	1761.35
1.1.99.25-RXN	30.33	21.17	31.17	33.66	57.17	32.34	50.09	78.83	22.66	114.67	82.66	80.83	39.67	27.0	26.0	34.34	34.33	50.0
1.1.99.28-RXN	164.0	101.18	118.1	133.7	130.16	111.2	246.7	173.99	235.41	260.42	215.21	168.85	195.97	211.95	233.32	251.0	139.98	166.63
1.10.2.2-RXN	6560.42	5432.34	7366.62	7222.22	9327.07	7597.6399999999985	5535.37	4641.369999999999	5115.880000000001	5518.079999999999	6159.48	5291.75	5650.51	6991.2	5853.410000000002	6213.5999999999985	6295.1500000000015	6295.6500000000015
1.11.1.15-RXN	23756.24	25831.73	28320.329999999994	26185.739999999994	28462.73000000001	25844.24	23837.040000000008	24365.44000000001	24735.63	24666.980000000003	25031.13	22928.57999999999	26500.74	27553.47	25514.459999999995	25518.29	25940.33999999999	26440.8
1.12.1.3-RXN	24.0	30.0	30.0	26.0	30.0	18.0	37.0	39.0	45.0	46.0	34.0	48.0	42.0	46.0	56.0	37.0	34.0	50.0
1.13.11.14-RXN	33.0	11.0	121.0	36.6	80.2	30.4	26.4	63.2	20.6	34.2	66.80000000000001	25.4	30.4	17.8	21.2	45.8	95.6	52.0
1.13.11.15-RXN	331.93	339.1	355.8400000000001	351.19999999999993	474.44	410.64	314.07	287.13	258.2	325.73	403.86	341.9000000000001	253.47	266.8	328.46	471.74	357.23	334.4000000000001
1.13.11.16-RXN	293.37	538.1	381.7	221.97	223.5	288.77	231.47	320.49999999999994	285.93	273.67	372.07	269.77	381.9	240.9	448.6	382.97	250.29999999999995	291.17
1.13.11.25-RXN	612.78	1220.79	1167.4299999999996	896.2200000000001	601.48	673.6600000000002	674.04	792.3100000000002	589.63	578.6999999999998	750.0700000000003	643.23	906.1	487.39	885.6600000000002	846.7400000000001	676.4200000000002	959.79
1.13.11.41-RXN	379.0	672.0	282.0	438.5	384.0	399.5	483.5	600.0	497.5	367.0	497.0	369.0	810.5	827.5	564.5	694.0	537.5	538.5
1.13.11.46-RXN	78.92	173.51	92.0	290.5900000000001	151.58	77.74	56.0	83.01	48.83	63.5	79.83	61.18	155.5	89.67	80.17	104.92	188.42	69.24
1.13.11.49-RXN	2897.65	4753.52	3335.99	3642.050000000001	2228.01	2896.62	3642.13	4045.83	3581.1200000000013	3169.13	3662.38	3542.9700000000007	4277.91	3449.07	3738.44	3912.37	3645.77	3721.81
1.13.11.6-RXN	1439.9399999999996	1737.4199999999994	2071.93	1644.08	1765.3100000000004	1493.99	1452.3499999999995	2190.96	2133.45	1799.81	1662.8199999999995	1442.39	2113.37	2234.83	1727.0100000000002	1824.4	2035.74	1935.42
1.13.11.9-RXN	425.62	424.17	621.34	598.75	897.32	703.03	307.4500000000001	337.7	280.25	446.88	490.50000000000006	375.47	392.14	492.7000000000001	350.9	546.7	717.78	424.29
1.14.11.1-RXN	43.33	32.0	39.33	36.66	59.67	33.0	60.67	78.0	36.33	73.33	65.33	66.33	28.34	30.0	43.0	55.0	46.33	47.33
1.14.11.18-RXN	2246.22	1329.2700000000002	2048.11	2379.17	3137.74	2276.42	1292.51	989.47	1625.8	1720.22	1457.33	1253.56	2020.94	2759.2700000000004	1481.6599999999994	1666.1100000000006	2015.47	1683.4199999999996
