#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	368	664	277	436	381	384	469	585	488	356	488	356	792	825	559	657	504	512
ASV_10	104	128	231	264	370	240	68	60	81	104	137	103	137	199	82	94	189	93
ASV_100	22	34	4	6	10	22	43	20	27	23	23	38	19	12	28	16	22	27
ASV_1000	2	1	1	1	0	5	3	2	4	1	2	3	6	0	2	4	2	4
ASV_1001	3	3	2	0	1	2	0	4	1	2	3	2	2	1	0	5	0	0
ASV_1002	1	0	0	2	0	0	6	6	0	4	10	1	0	1	0	0	1	0
ASV_1003	1	0	2	0	3	0	0	0	1	2	3	0	0	0	0	5	1	1
ASV_1004	1	1	1	1	0	3	3	1	1	1	0	2	2	2	3	3	0	2
ASV_1005	1	2	3	4	2	4	6	2	2	1	2	5	3	3	1	3	2	1
ASV_1006	1	2	0	1	0	3	2	2	2	2	1	1	2	0	1	0	1	1
ASV_1007	1	2	2	1	0	2	0	0	4	1	0	5	0	0	1	3	0	3
ASV_1008	3	2	0	1	0	1	4	2	0	1	2	3	1	1	3	0	1	1
ASV_1009	3	0	0	1	0	0	0	4	1	3	3	0	1	1	2	0	3	2
ASV_101	18	11	24	21	41	14	12	17	22	32	31	29	13	23	16	16	16	12
ASV_1010	2	0	2	0	0	0	1	1	3	0	0	0	1	3	1	1	1	3
ASV_1011	2	1	1	8	1	5	5	6	5	1	8	10	3	0	3	5	4	0
ASV_1012	1	4	1	0	4	4	0	2	1	0	0	0	3	3	0	0	2	1
ASV_1013	4	4	4	1	1	0	4	9	2	4	3	5	3	2	5	2	5	6
ASV_1014	1	1	3	0	0	2	1	1	3	2	2	0	0	0	1	1	4	3
ASV_1015	3	1	0	0	0	3	3	3	0	1	1	2	1	0	3	4	0	1
ASV_1016	4	1	1	4	4	2	5	2	2	5	3	7	6	7	3	5	0	1
ASV_1017	0	2	1	6	0	0	0	1	1	0	1	2	2	1	8	0	0	1
ASV_1018	3	4	7	2	6	2	0	7	0	2	4	7	0	0	1	6	1	4
ASV_1019	1	1	1	3	1	1	3	0	3	3	3	2	4	4	4	6	5	2
ASV_102	26	11	33	14	66	20	16	5	18	11	12	11	13	43	7	11	24	25
ASV_1020	0	1	4	1	0	1	1	0	2	1	2	1	1	0	2	3	0	5
