Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10	0.104803493449782	0.0799168864381044	0.081808716346869	0.060560181680545	0.10142722596537	0.11142061281337	0.112857018838441	0.105466690103709	0.195378865103636	0.0768114705129299	0.0991407799074686	0.180245133381399	0.0394011032308905	0.0539208134339855	0.47295054762695	0.0797575370872547	0.0313651689798479	0.080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp17	0	0.0159833772876209	0.0148743120630671	0	0.00724480185466928	0.0318344608038201	0.104175709697022	0.0263666725259272	0.0254841997961264	0.00853460783476999	0.0660938532716457	0.0630857966834895	0.0394011032308905	0.0385148667385611	0.0331895121141719	0.0319030148349019	0.0156825844899239	0.0240019201536123
Bacteria|Acidobacteria|Acidobacteria_Gp3	0.00873362445414847	0.0319667545752418	0.00743715603153354	0.00757002271006813	0	0.00795861520095503	0.0347252365656741	0.0175777816839515	0.0424736663268773	0.01706921566954	0.0165234633179114	0	0	0.0154059466954244	0.0248921340856289	0	0.00784129224496197	0.0080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp6	0.00873362445414847	0.0399584432190522	0	0.00757002271006813	0	0	0.104175709697022	0.0175777816839515	0.0424736663268773	0.02560382350431	0.0826173165895572	0.0991348233597693	0.0236406619385343	0.00770297334771222	0.0497842681712579	0.0558302759610783	0	0.0160012801024082
Bacteria|Acidobacteria|Unassigned	0.0786026200873362	0.0719251977942939	0.0223114680946006	0.0151400454201363	0.0217344055640078	0.0238758456028651	0.260439274242556	0.114255580945685	0.0594631328576283	0.0597422548433899	0.190019828155981	0.207281903388608	0.0945626477541371	0.0924356801725466	0.157650182542317	0.0478545222523529	0.0548890457147338	0.0880070405632451
Bacteria|Acidobacteria|Vicinamibacteria	0.00873362445414847	0.0159833772876209	0.00743715603153354	0	0	0	0.0607691639899297	0.0175777816839515	0.0254841997961264	0.00853460783476999	0.0330469266358229	0.0630857966834895	0.0551615445232467	0.00770297334771222	0.0414868901427149	0	0.00784129224496197	0.0160012801024082
Bacteria|Actinobacteria|Acidimicrobiia	0.0786026200873362	0.103891952369536	0.208240368882939	0.0681302043906132	0.0724480185466927	0.0636689216076403	0.130219637121278	0.0791000175777817	0.0764525993883792	0.10241529401724	0.05783212161269	0.0991348233597693	0.0472813238770686	0.0770297334771222	0.0829737802854298	0.0797575370872547	0.0705716302046577	0.0640051204096328
Bacteria|Actinobacteria|Actinobacteria	24	36.4181251498442	25.5838167484754	25.8137774413323	15.6125479968123	21.1699164345404	24.2989842868305	31.1302513622781	30.8528712198437	25.2795084065887	27.428949107733	24.3871665465032	32.5531914893617	27.0297334771222	28.8001991370727	31.7594512681448	31.6709793774014	28.7943035442835
Bacteria|Actinobacteria|Rubrobacteria	0.0174672489082969	0.119875329657157	0.0446229361892013	0.0454201362604088	0.00724480185466928	0.0477516912057302	0.112857018838441	0.0791000175777817	0.0339789330615019	0.05120764700862	0.0330469266358229	0.135183850036049	0.0788022064617809	0.0385148667385611	0.0580816461998009	0.0638060296698038	0.109778091429468	0.0480038403072246
Bacteria|Actinobacteria|Thermoleophilia	0.611353711790393	0.591384959641972	0.237988993009073	0.310370931112793	0.253568064913425	0.771985674492638	1.08516364267732	0.659166813148181	0.535168195718654	0.503541862251429	0.660938532716457	1.00937274693583	0.33096926713948	0.246495147126791	0.373382011284434	0.279151379805392	0.533207872657414	0.384030722457797
Bacteria|Actinobacteria|Unassigned	0.873362445414847	1.39055382402302	0.870147255689424	0.991672975018925	0.789683402158951	0.947075208913649	1.89252539282924	1.89840042186676	1.15528372409106	1.50209097891952	1.55320555188367	1.96467195385725	1.59180457052797	1.21706978893853	1.56820444739462	1.14053278034774	1.19971771347918	1.20009600768061
Bacteria|Armatimonadetes|Unassigned	0	0.00799168864381044	0.0148743120630671	0.00757002271006813	0	0.0238758456028651	0.0520878548485112	0.0439444542098787	0.0339789330615019	0.00853460783476999	0.0165234633179114	0.0270367700072098	0.0236406619385343	0.00770297334771222	0.0414868901427149	0.0239272611261764	0.0156825844899239	0.0080006400512041
Bacteria|Bacteroidetes|Chitinophagia	0.139737991266376	0.0559418205066731	0.0669344042838019	0.060560181680545	0.0217344055640078	0.0716275368085953	0.538241166767949	0.298822288627175	0.492694529391777	0.40112656823419	0.28916060806345	0.243330930064888	0.338849487785658	0.469881374210445	0.348489877198805	0.342957409475195	0.243080059593821	0.160012801024082
Bacteria|Bacteroidetes|Cytophagia	1.04803493449782	0.655318468792456	0.200803212851406	0.280090840272521	0.391219300152141	0.143255073617191	1.44977862661689	0.720689049042011	1.15528372409106	2.15925578219681	1.0079312623926	0.838139870223504	1.05594956658786	1.0090895085503	1.39395950879522	1.41968416015313	0.580255626127186	0.864069125530042
Bacteria|Bacteroidetes|Flavobacteriia	1.50218340611354	1.67825461520019	6.82730923694779	2.34670704012112	4.18025067014417	1.79068842021488	1.39769077176838	6.62682369484971	6.16717635066259	4.50627293675856	1.90019828155981	1.89257390050469	3.50669818754925	3.92081343398552	2.56388981081978	1.71478704737598	3.43448600329334	4.14433154652372
Bacteria|Bacteroidetes|Unassigned	0.270742358078603	0.103891952369536	0.12643165253607	0.196820590461771	0.130406433384047	0.0716275368085953	0.277801892525393	0.254877834417297	0.501189262657153	0.33284970555603	0.247851949768672	0.315428983417448	0.260047281323877	0.377445694037899	0.331895121141719	0.295102887222843	0.313651689798479	0.256020481638531
Bacteria|Candidatus_Saccharibacteria|Unassigned	0	0	0.0148743120630671	0.0151400454201363	0.123161631529378	0.00795861520095503	0	0.0878889084197574	0	0.01706921566954	0.0165234633179114	0	0	0	0.0331895121141719	0.00797575370872547	0	0.0480038403072246
Bacteria|Chloroflexi|Chloroflexia	0.0786026200873362	0.103891952369536	0.0223114680946006	0.060560181680545	0.0652032166920235	0.0557103064066852	0.0607691639899297	0.0263666725259272	0.0849473326537547	0.01706921566954	0.0413086582947786	0.0180245133381399	0.0788022064617809	0.0616237867816977	0.0414868901427149	0.0478545222523529	0.0235238767348859	0.0720057604608369
Bacteria|Firmicutes|Bacilli	1.41484716157205	1.36657875809158	0.996578908225495	3.20968962906889	0.528870535390857	1.5041782729805	4.77472002778019	2.53120056248901	2.2511043153245	3.17487411453444	1.5862524785195	4.63229992790195	0.685579196217494	0.508396240949006	0.987387985396615	0.813526878289998	0.509683995922528	0.904072325786063
