Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10|Unassigned	0.104803493449782	0.0799168864381044	0.081808716346869	0.060560181680545	0.10142722596537	0.11142061281337	0.112857018838441	0.105466690103709	0.195378865103636	0.0768114705129299	0.0991407799074686	0.180245133381399	0.0394011032308905	0.0539208134339855	0.47295054762695	0.0797575370872547	0.0313651689798479	0.080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17|Unassigned	0	0.0159833772876209	0.0148743120630671	0	0.00724480185466928	0.0318344608038201	0.104175709697022	0.0263666725259272	0.0254841997961264	0.00853460783476999	0.0660938532716457	0.0630857966834895	0.0394011032308905	0.0385148667385611	0.0331895121141719	0.0319030148349019	0.0156825844899239	0.0240019201536123
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Unassigned|Unassigned	0.00873362445414847	0.0319667545752418	0.00743715603153354	0.00757002271006813	0	0.00795861520095503	0.0347252365656741	0.0175777816839515	0.0424736663268773	0.01706921566954	0.0165234633179114	0	0	0.0154059466954244	0.0248921340856289	0	0.00784129224496197	0.0080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6|Unassigned	0.00873362445414847	0.0399584432190522	0	0.00757002271006813	0	0	0.104175709697022	0.0175777816839515	0.0424736663268773	0.02560382350431	0.0826173165895572	0.0991348233597693	0.0236406619385343	0.00770297334771222	0.0497842681712579	0.0558302759610783	0	0.0160012801024082
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.0786026200873362	0.0719251977942939	0.0223114680946006	0.0151400454201363	0.0217344055640078	0.0238758456028651	0.260439274242556	0.114255580945685	0.0594631328576283	0.0597422548433899	0.190019828155981	0.207281903388608	0.0945626477541371	0.0924356801725466	0.157650182542317	0.0478545222523529	0.0548890457147338	0.0880070405632451
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter|Unassigned	0.00873362445414847	0.0159833772876209	0.00743715603153354	0	0	0	0.0607691639899297	0.0175777816839515	0.0254841997961264	0.00853460783476999	0.0330469266358229	0.0630857966834895	0.0551615445232467	0.00770297334771222	0.0414868901427149	0	0.00784129224496197	0.0160012801024082
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Unassigned|Unassigned	0.0436681222707424	0.0319667545752418	0.0446229361892012	0.0378501135503407	0.0217344055640078	0.0159172304019101	0.104175709697022	0.00878889084197574	0.0169894665307509	0.04267303917385	0.0330469266358229	0.0630857966834895	0.0157604412923562	0.0231089200431367	0.0248921340856289	0.0239272611261764	0.0235238767348859	0.0320025602048164
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned|Unassigned|Unassigned	0.0349344978165939	0.0719251977942939	0.163617432693738	0.0302800908402725	0.0507136129826849	0.0477516912057302	0.0260439274242556	0.0703111267358059	0.0594631328576283	0.0597422548433899	0.0247851949768672	0.0360490266762797	0.0315208825847124	0.0539208134339855	0.0580816461998009	0.0558302759610783	0.0470477534697718	0.0320025602048164
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae|Cryptosporangium|Unassigned	0.00873362445414847	0	0.00743715603153354	0	0	0.0397930760047752	0	0.00878889084197574	0	0.00853460783476999	0.00826173165895572	0.0360490266762797	0.00788022064617809	0	0	0.0239272611261764	0.0392064612248098	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Blastococcus|Unassigned	0.0349344978165939	0.135858706944777	0.0520600922207348	0.00757002271006813	0.0217344055640078	0.0477516912057302	0.0868130914141853	0.131833362629636	0.0424736663268773	0.0597422548433899	0.0413086582947786	0.225306416726748	0.0315208825847124	0.0231089200431367	0.0497842681712579	0.0558302759610783	0.101936799184506	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Unassigned|Unassigned	0.00873362445414847	0.0879085750819148	0.0371857801576677	0.060560181680545	0.00724480185466928	0.0318344608038201	0.0520878548485112	0.0878889084197574	0.0679578661230037	0.01706921566954	0.05783212161269	0.108147080028839	0.0236406619385343	0.0154059466954244	0.0497842681712579	0.0797575370872547	0.0705716302046577	0.0480038403072246
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Glycomyces|Unassigned	0.0698689956331878	0.127867018300967	0.0446229361892012	0.0227100681302044	0.0362240092733464	0.0557103064066852	0.00868130914141853	0.0175777816839515	0.0679578661230037	0	0.0165234633179114	0.0180245133381399	0.0551615445232467	0.0308118933908489	0.0248921340856289	0.0478545222523529	0.0627303379596958	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonas|Unassigned	0.0698689956331878	0.00799168864381044	0.00743715603153354	0.0227100681302044	0	0.0397930760047752	0.130219637121278	0.035155563367903	0.0594631328576283	0.0597422548433899	0.05783212161269	0.0811103100216294	0.157604412923562	0.0154059466954244	0.0829737802854298	0.0159515074174509	0.0470477534697718	0.104008320665653
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Unassigned|Unassigned	0.0174672489082969	0.0239750659314313	0.0223114680946006	0.0227100681302044	0.00724480185466928	0.0159172304019101	0.0173626182828371	0.0175777816839515	0.0254841997961264	0.02560382350431	0.0495703899537343	0.0180245133381399	0.0157604412923562	0.00770297334771222	0.0248921340856289	0.0239272611261764	0.0156825844899239	0.0240019201536123
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|Unassigned	0.611353711790393	1.14281147606489	0.810650007437156	0.802422407267222	0.528870535390857	0.557103064066852	0.781317822727667	1.01951133766919	0.739041794087666	0.785183920798839	0.817911434236616	0.811103100216294	0.669818754925138	0.55461408103528	0.937603717225357	0.853405646833626	0.666509840821767	0.920073605888471
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium|Unassigned	0.22707423580786	0.0239750659314313	0.0297486241261342	0.0757002271006813	0.0289792074186771	0.0477516912057302	0.104175709697022	0.0175777816839515	0.0254841997961264	0.0768114705129299	0.05783212161269	0.162220620043259	0.0315208825847124	0.0308118933908489	0.0746764022568868	0.0638060296698038	0.0784129224496197	0.0880070405632451
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Unassigned|Unassigned	0.00873362445414847	0	0	0	0	0.0238758456028651	0.0434065457070926	0.0439444542098787	0.0594631328576283	0.00853460783476999	0.165234633179114	0	0.0157604412923562	0	0.016594756057086	0.0239272611261764	0.0156825844899239	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Unassigned|Unassigned	0.11353711790393	0.135858706944777	0.096683028409936	0.060560181680545	0.0362240092733464	0.0875447672105054	0.121538327979859	0.333977851995078	0.152905198776758	0.1706921566954	0.256113681427627	0.207281903388608	0.12608353033885	0.0770297334771222	0.141055426485231	0.223321103844313	0.11761938367443	0.168013441075286
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Promicromonospora|Unassigned	0.200873362445415	0.319667545752417	0.111557340473003	0.219530658591976	0.079692820401362	0.413847990449662	0.260439274242556	0.158200035155563	0.144410465511383	0.12801911752155	0.470918704560476	0.297404470079308	0.118203309692671	0.184871360345093	0.174244938599403	0.159515074174509	0.11761938367443	0.160012801024082
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Unassigned|Unassigned	0.0873362445414847	0.0159833772876209	0	0	0.00724480185466928	0.0238758456028651	0.00868130914141853	0.0263666725259272	0.00849473326537547	0.00853460783476999	0.0247851949768672	0.0720980533525595	0.086682427107959	0.0462178400862733	0.0663790242283439	0.0239272611261764	0	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned|Unassigned	0.0524017467248908	0.143850395588588	0.081808716346869	0.0151400454201363	0.0217344055640078	0.0397930760047752	0.0434065457070926	0.149411144313588	0.0679578661230037	0.05120764700862	0.05783212161269	0.0991348233597693	0.0472813238770686	0.0308118933908489	0.0331895121141719	0.0877332907959802	0.00784129224496197	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Unassigned	1.26637554585153	2.50139854551267	1.07095046854083	1.32475397426192	0.731724987321597	1.65539196179865	1.33692160777845	1.71383371418527	2.47196738022426	1.57890244943245	1.94976867151355	1.50504686373468	1.67060677698976	0.978277615159452	1.44374377696648	1.47551443611421	2.25045087430409	2.00816065285223
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Rhizocola|Unassigned	0.0174672489082969	0.0319667545752418	0	0.0227100681302044	0.00724480185466928	0.00795861520095503	0.0173626182828371	0.0263666725259272	0.0424736663268773	0.00853460783476999	0.0330469266358229	0.0720980533525595	0.0394011032308905	0.0154059466954244	0.0248921340856289	0.0398787685436274	0	0.0240019201536123
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Unassigned|Unassigned	3.06550218340611	3.9079357468233	3.07154544102335	2.33156699470098	1.06498587263638	2.41941902109033	3.12527129091067	4.4911232202496	3.91607203533809	2.8164205854741	3.01553205551884	3.01009372746936	3.17572892040977	2.88091203204437	3.35214072353136	2.60807146275323	2.70524582451188	3.1282502600208
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|Unassigned	0.471615720524017	0.495484695916247	0.423917893797412	0.219530658591976	0.108672027820039	0.183048149621966	0.373296293080997	0.298822288627175	0.254841997961264	0.29017666638218	0.214805023132849	0.297404470079308	0.291568163908589	0.154059466954244	0.481247925655493	0.271175626096666	0.290127813063593	0.17601408112649
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae|Nocardia|Unassigned	0.0873362445414847	0.103891952369536	0.185928900788339	0.00757002271006813	0.0724480185466927	0.0397930760047752	0.0520878548485112	0.105466690103709	0.0509683995922528	0.11094990185201	0.0991407799074686	0.0630857966834895	0.157604412923562	0.0308118933908489	0.190839694656489	0.103684798213431	0.0313651689798479	0.0640051204096328
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae|Kribbella|Unassigned	0.410480349344978	0.966994325901063	0.557786702365016	0.333080999242998	0.275302470477432	0.382013529645842	0.668460803889226	0.632800140622253	0.535168195718654	0.46940343091235	0.677461996034369	0.657894736842105	0.598896769109535	0.855030041596056	0.564221705940923	0.829478385707449	1.10562220653964	0.592047363789103
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Unassigned	0.218340611353712	0.415567809478143	0.475977986018147	0.32551097653293	0.311526479750779	0.318344608038201	0.0781317822727667	0.175777816839515	0.161399932042134	0.20483058803448	0.181758096497026	0.207281903388608	0.118203309692671	0.0924356801725466	0.22402920677066	0.271175626096666	0.172508429389163	0.208016641331307
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Marmoricola|Unassigned	0.0611353711790393	0.0799168864381044	0.0892458723784025	0.0984102952308857	0.0579584148373542	0.0397930760047752	0.0607691639899297	0.131833362629636	0.0339789330615019	0.05120764700862	0.0826173165895572	0.0270367700072098	0.0394011032308905	0.00770297334771222	0.0414868901427149	0.103684798213431	0.0470477534697718	0.0640051204096328
