ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Betaproteobacteria	33.9581831290555	22.3503965392934	28.9563806777217	32.5702956020187	42.8442682047585	35.7696467195386	21.2238644556597	17.9704397981255	26.0814708002884	26.8385003604903	25.0630857966835	22.1881759192502	27.451333813987	34.4628695025234	26.2977649603461	27.3612112472963	28.5778658976208	26.2797404470079
Actinobacteria	24.0627253064167	37.0403749098774	25.7570295602019	26.0454217736121	15.6993511175198	21.2509012256669	24.61247296323	31.3716654650324	30.9571016582552	25.3514780100937	27.6496034607066	24.5133381398702	32.984859408796	27.0998558038933	28.8842826243691	31.6870944484499	32.0295602018746	28.9744051910598
Alphaproteobacteria	16.3031723143475	15.4289834174477	20.9715212689257	18.1236481614996	20.0162220620043	19.3673395818313	17.2404470079308	14.7801009372747	10.94989185292	13.4552992069214	16.9881038211968	16.4563806777217	11.4906272530642	13.1578947368421	13.527397260274	14.6088680605624	14.428622927181	14.563806777217
Unassigned	12.9866618601298	13.5454217736121	8.84102379235761	9.84138428262437	8.28226387887527	11.6438356164384	16.6636625811103	15.4109589041096	12.1935832732516	13.9059120403749	14.43763518385	16.4653929343908	15.2667627974045	10.8507570295602	15.7714491708724	12.2746935832733	11.2292718096611	13.8428262436914
Gammaproteobacteria	6.19142033165105	5.08291276135544	5.20908435472242	5.74080749819755	5.88500360490267	6.25450612833453	8.11103100216294	7.29992790194665	6.72314347512617	7.62436914203316	8.13806777217015	8.66979091564528	5.14599855803893	5.92105263157895	7.20079307858688	6.97548666186013	6.56092285508291	7.92177361211247
Flavobacteriia	1.52307137707282	1.61319394376352	6.85832732516222	2.31614996395097	4.24477289113194	1.79343907714492	1.43294881038212	6.66005767844268	6.17339581831291	4.53316510454218	1.86553713049748	1.90158615717376	3.46070656092285	3.96539293439077	2.54145638067772	1.78442682047585	3.49675558759913	4.10958904109589
Bacilli	1.41492429704398	1.45998558038933	1.23467916366258	3.28046142754146	0.531723143475126	1.52307137707282	4.77649603460707	2.55948089401586	2.28010093727469	3.14527757750541	1.60418168709445	4.73143475126172	0.684931506849315	0.540735400144196	1.0183850036049	0.964311463590483	0.459625090122567	0.874188896899784
Cytophagia	1.07245854361932	0.639870223503965	0.198269646719539	0.288392213410238	0.396539293439077	0.144196106705119	1.45097332372026	0.802090843547224	1.21665465032444	2.17195385724585	0.946286950252343	0.838139870223504	1.05443403028118	1.00937274693583	1.44196106705119	1.50504686373468	0.621845710165825	0.946286950252343
Deltaproteobacteria	1.00937274693583	0.775054073540014	0.666906993511175	0.775054073540014	0.766041816870944	0.603821196827686	1.15356885364095	0.693943763518385	0.910237923576063	0.892213410237924	0.910237923576063	1.11751982696467	0.666906993511175	0.829127613554434	0.892213410237924	0.883201153568854	0.766041816870944	0.838139870223504
Thermoleophilia	0.648882480173035	0.603821196827686	0.234318673395818	0.342465753424658	0.243330930064888	0.757029560201875	1.13554434030281	0.684931506849315	0.567772170151406	0.495674116798846	0.693943763518385	1.05443403028118	0.342465753424658	0.252343186733958	0.432588320115357	0.306416726748378	0.648882480173035	0.378514780100937
Chitinophagia	0.144196106705119	0.0630857966834895	0.0720980533525595	0.0630857966834895	0.0270367700072098	0.0811103100216294	0.531723143475126	0.297404470079308	0.522710886806056	0.432588320115357	0.297404470079308	0.243330930064888	0.333453496755588	0.513698630136986	0.369502523431867	0.351478010093727	0.234318673395818	0.171232876712329
