ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Unassigned	38.5994953136265	40.4379956741168	34.8864455659697	35.5263157894737	32.2278298485941	38.923936553713	45.1514059120404	38.8698630136986	34.8684210526316	36.1481614996395	39.0861571737563	42.0241528478731	39.82516222062	36.5356885364095	42.6099495313627	37.6712328767123	33.507570295602	39.3114635904831
Comamonadaceae	19.844989185292	11.851117519827	17.4567411679885	17.7721701514059	25.3244412400865	17.6009372746936	11.1932227829849	10.2379235760634	15.3028118240808	15.7083633741889	15.1586157173756	11.4005046863735	15.9246575342466	19.971160778659	15.0865176640231	16.4383561643836	17.9884643114636	15.1586157173756
Pseudonocardiaceae	5.05587599134823	10.0306416726748	5.39834174477289	8.25522710886806	5.04686373467916	4.79452054794521	4.63229992790195	5.52451333813987	3.97440519105984	4.8846431146359	5.71377072819034	4.89365537130497	8.23720259552992	5.16402307137707	6.39870223503965	6.85832732516222	8.50757029560202	6.66005767844268
Micromonosporaceae	4.3168709444845	6.68709444844989	4.15465032444124	3.83020908435472	1.81146359048306	4.1366258111031	4.53316510454218	6.38968997837058	6.56092285508291	4.4069935111752	5.00180245133381	4.61427541456381	5.10093727469358	3.83922134102379	4.8846431146359	4.09156452775775	4.96575342465753	5.10994953136265
Oxalobacteraceae	4.41600576784427	3.1182408074982	2.73071377072819	4.91167988464311	5.91204037490988	5.74981975486662	3.63193943763518	2.74873828406633	4.17267483777938	3.99242970439798	3.01009372746936	2.28010093727469	4.93871665465032	6.19142033165105	3.65897620764239	3.61391492429704	3.87527036770007	3.7761355443403
Streptomycetaceae	3.16330209084355	2.92898341744773	3.36157173756309	2.26207642393655	1.18060562364816	1.92862292718097	2.56849315068493	3.64095169430425	8.35436193222783	4.99279019466474	3.16330209084355	3.23540014419611	4.21773612112473	3.5958904109589	3.35255948089402	6.23648161499639	4.65933669790916	3.32552271088681
Flavobacteriaceae	1.50504686373468	1.58615717375631	6.83129055515501	2.29812545061283	4.19971160778659	1.76640230713771	1.41492429704398	6.55191059841384	6.10129776496035	4.47007930785869	1.81146359048306	1.88356164383562	3.44268204758471	3.9563806777217	2.49639509733237	1.53208363374189	3.46971881759192	4.09156452775775
Rhizobiaceae	2.53244412400865	1.71232876712329	3.72206200432588	3.30749819754867	4.41600576784427	3.10021629416006	1.7393655371305	2.14491708723864	1.71232876712329	2.34318673395818	2.9379956741168	2.82083633741889	1.7393655371305	2.6676279740447	1.75739005046864	2.10886806056236	2.89293439077145	1.82047584715213
Steroidobacteraceae	2.24405191059841	2.10886806056236	1.71232876712329	1.78442682047585	0.874188896899784	1.64023071377073	3.06416726748378	2.20800288392213	2.38824801730353	2.10886806056236	2.50540735400144	2.60454217736121	1.6492429704398	2.3972602739726	2.56849315068493	2.63157894736842	2.08183129055515	2.9379956741168
Nocardioidaceae	1.84751261715934	2.73972602739726	2.97404470079308	2.20800288392213	2.09084354722422	2.54145638067772	1.65825522710887	2.96503244412401	1.88356164383562	1.5591204037491	2.50540735400144	1.92862292718097	1.7393655371305	1.43294881038212	2.28911319394376	2.05479452054794	2.03677000720981	2.0097332372026
