	KO	OE	WT
Proteobacteria	59.1504446046623	49.1423335736602	51.5185652487383
Actinobacteria	26.5876592165345	30.0528719057919	32.1692501802451
Bacteroidetes	3.75961307378034	5.73930545541937	4.99128815188657
Firmicutes	1.65825522710887	3.23840422975246	0.797584715212689
Acidobacteria	0.177241047825042	0.479151646238885	0.313926940639269
Verrucomicrobia	0.0856164383561644	0.282384042297525	0.20577986061043
Planctomycetes	0.0525714972362413	0.318433068973804	0.118661379476088
Spirochaetes	0.0751021389089161	0.108147080028839	0.123167507810622
Nitrospirae	0.0405551550108147	0.084114395577986	0.132179764479692
Chloroflexi	0.093126652247056	0.0660898822398461	0.0736000961307377
Candidatus_Saccharibacteria	0.0285388127853881	0.0210285988944965	0.0165224705599615
Other	8.29127613554433	10.4677361211247	9.53947368421054
