OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	358	603	229	344	294	338	455	572	465	332	458	356	696	717	516	588	447	448
ASV_2	631	361	709	647	809	546	237	162	383	411	326	236	373	455	242	330	417	374
ASV_3	199	140	299	243	365	271	204	145	350	345	292	239	290	523	326	370	361	226
ASV_4	470	129	155	215	403	156	197	191	125	197	188	129	318	399	179	169	326	253
ASV_8	179	176	182	128	63	92	128	174	493	285	194	189	199	235	179	306	152	159
ASV_6	278	206	240	250	373	313	83	91	101	128	115	133	150	154	134	159	134	138
ASV_7	79	37	341	123	354	70	45	428	275	171	56	76	225	266	170	73	182	236
ASV_9	111	250	107	133	73	165	114	141	218	140	189	145	170	98	137	142	230	175
ASV_10	100	112	197	217	277	208	63	59	76	95	127	103	125	176	77	86	164	78
ASV_11	98	119	76	108	152	116	165	133	76	148	114	60	121	142	162	126	89	125
ASV_14	66	54	97	95	168	93	65	174	160	101	167	66	121	80	138	84	165	169
ASV_12	101	114	98	109	133	107	83	64	110	119	111	86	115	165	137	164	100	102
ASV_15	101	130	120	109	111	128	136	101	95	84	136	133	76	73	100	127	93	110
ASV_13	10	41	188	87	49	72	71	260	183	171	115	50	82	88	70	48	155	179
ASV_16	81	73	145	81	45	65	68	91	203	110	71	57	132	97	76	91	256	107
ASV_17	158	88	101	142	141	186	54	39	75	73	79	56	108	82	89	94	86	78
ASV_18	71	93	53	84	51	76	85	57	71	128	96	69	123	152	67	84	166	79
ASV_20	59	123	20	81	55	54	25	55	12	66	36	37	71	82	30	35	507	40
ASV_19	81	210	33	47	37	84	64	71	39	55	132	73	105	28	178	32	44	53
ASV_23	43	43	331	20	7	16	106	59	31	63	62	50	50	9	91	75	66	122
ASV_21	43	99	60	40	29	42	73	67	56	54	70	71	63	91	61	82	129	64
ASV_22	57	48	149	136	115	71	34	24	43	30	40	53	37	80	37	66	34	41
ASV_25	65	64	96	80	65	70	84	60	42	64	60	77	45	53	69	38	55	53
ASV_26	62	62	41	111	12	5	63	92	94	37	62	46	133	24	49	26	4	209
ASV_28	77	79	19	121	33	50	46	82	29	68	71	39	108	79	60	67	55	53
ASV_29	64	53	39	96	17	77	55	79	81	73	86	50	80	61	65	45	77	35
ASV_30	72	64	43	32	25	51	84	55	58	48	75	92	63	54	91	85	49	90
ASV_24	39	136	131	34	55	91	27	28	20	43	57	15	47	64	40	157	49	42
ASV_31	39	29	105	61	101	61	47	53	26	49	57	29	49	70	31	57	98	62
ASV_27	60	78	57	34	42	70	99	46	47	42	61	78	61	54	67	62	39	69
ASV_33	62	31	37	56	62	82	54	35	66	99	46	36	51	66	58	42	39	46
ASV_32	47	50	58	53	55	47	47	23	48	61	53	53	43	60	64	69	58	73
ASV_35	29	64	30	60	7	20	59	35	43	69	57	34	87	106	73	73	60	40
ASV_34	69	46	49	37	22	51	77	52	43	61	50	81	55	55	76	42	39	59
ASV_36	55	27	25	74	57	103	21	13	88	57	35	31	77	102	41	51	47	27
ASV_38	85	47	53	88	94	130	14	15	39	22	43	33	42	43	30	47	42	38
ASV_37	45	28	36	22	42	28	67	44	41	40	68	70	38	65	90	59	64	79
ASV_40	37	38	15	18	11	44	167	71	95	94	39	182	17	8	20	9	6	21
ASV_42	40	19	18	70	42	60	12	12	61	48	30	44	64	182	20	39	48	26
ASV_41	57	49	56	61	115	69	23	32	34	37	35	29	27	51	31	46	33	44
ASV_39	34	72	81	31	60	39	29	45	29	38	50	32	33	66	56	64	16	58
ASV_47	46	42	47	49	53	67	35	34	40	34	40	33	36	35	39	46	42	50
ASV_44	34	72	56	40	54	21	30	32	32	17	38	41	56	37	43	93	24	29
ASV_45	58	32	77	65	110	49	18	11	36	30	30	17	40	58	21	17	48	26
ASV_54	41	22	38	107	62	93	14	6	38	18	19	21	50	69	27	40	33	41
ASV_46	42	16	51	38	56	32	55	53	42	37	59	74	15	18	36	41	49	24
ASV_52	28	38	58	26	18	31	35	41	60	25	52	33	35	72	45	31	40	62
ASV_48	36	35	20	39	14	34	56	35	61	47	48	35	33	47	36	48	37	57
ASV_43	1	10	0	15	38	1	14	85	4	44	51	34	257	16	6	12	79	36
ASV_51	37	62	55	16	15	31	40	35	22	18	26	42	48	23	45	83	44	53
ASV_50	38	61	47	41	17	34	38	46	41	33	46	25	26	20	44	50	28	54
ASV_53	15	13	28	13	109	18	74	50	24	33	28	12	62	28	43	38	24	78
ASV_49	54	31	185	3	12	21	10	11	131	111	10	5	13	17	21	8	14	7
ASV_55	44	91	27	23	58	43	46	49	18	38	29	40	31	7	24	11	33	26
ASV_57	25	25	29	25	45	40	23	22	26	29	41	36	36	37	45	44	35	47
ASV_58	44	31	38	57	53	36	35	29	12	41	32	22	29	26	29	20	27	31
ASV_62	31	39	30	35	35	32	28	47	36	20	51	18	31	34	30	22	35	23
ASV_56	5	14	28	27	21	19	35	13	29	34	35	25	31	64	58	38	40	32
ASV_59	28	31	35	47	57	44	17	17	28	22	18	16	26	27	19	28	27	32
ASV_61	26	32	12	18	10	11	62	45	38	36	39	49	38	25	37	30	16	24
ASV_60	22	25	18	21	52	22	47	30	17	39	20	12	34	42	33	38	17	41
ASV_67	22	19	49	41	55	47	18	18	21	19	22	26	17	28	12	25	32	31
ASV_64	32	29	31	34	19	24	27	28	21	18	81	21	23	25	29	23	23	31
ASV_66	29	29	37	41	36	42	22	15	21	18	26	16	26	40	23	23	52	17
ASV_65	9	3	1	368	0	7	10	11	9	11	12	2	24	2	2	11	2	12
