DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	KO
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.1), Max. (5.6)
LEGEND_SHAPES	1
LEGEND_TITLE	KO
MARGIN	5
WIDTH	200
DATA
ASV_1	3.282909
ASV_2	5.561184
ASV_3	2.289766
ASV_4	2.249817
ASV_8	1.205197
ASV_6	2.517378
ASV_7	1.499917
ASV_9	1.257142
ASV_10	1.7063911
ASV_11	1.020172
ASV_14	0.8673972
ASV_12	1.0037327
ASV_15	1.0510073
ASV_13	0.6658448
ASV_16	0.7312616
ASV_17	1.2021577
ASV_18	0.6276
ASV_20	0.594239
ASV_19	0.7644963
ASV_23	0.6840057
ASV_21	0.4810112
ASV_22	0.8817282
ASV_25	0.6545794
ASV_26	0.4405133
ASV_28	0.5531128
ASV_29	0.5108465
ASV_30	0.4228386
ASV_24	0.7297797
ASV_31	0.6024845
ASV_27	0.49623
ASV_33	0.4990417
ASV_32	0.4647577
ASV_35	0.3279998
ASV_34	0.4130541
ASV_36	0.5056048
ASV_38	0.7326231
ASV_37	0.2987782
ASV_40	0.2406514
ASV_42	0.3637559
ASV_41	0.6032366
ASV_39	0.4689872
ASV_47	0.4599695
ASV_44	0.4248027
ASV_45	0.5821191
ASV_54	0.5340988
ASV_46	0.3444301
ASV_52	0.2877527
ASV_48	0.2670527
ASV_43	0.09675842
ASV_51	0.3274262
ASV_50	0.3528069
ASV_53	0.2839125
ASV_49	0.4663766
ASV_55	0.435563
ASV_57	0.291428
ASV_58	0.3827547
ASV_62	0.3086216
ASV_56	0.1766795
ASV_59	0.3707594
ASV_61	0.1654163
ASV_60	0.2410899
ASV_67	0.3696466
ASV_64	0.2578781
ASV_66	0.3204988
ASV_65	0.57651778
ASV_68	0.3569218
ASV_63	0.08442526
ASV_70	0.3134546
ASV_69	0.2559136
ASV_82	0.3213416
ASV_72	0.3945827
ASV_71	0.3257304
ASV_74	0.232307
ASV_76	0.1742584
ASV_73	0.1749781
ASV_75	0.2714947
ASV_77	0.1848328
ASV_83	0.2752608
ASV_84	0.1844911
ASV_81	0.187279
ASV_93	0.1370225
ASV_79	0.2641016
ASV_78	0.1789662
ASV_85	0.1591989
ASV_80	0.2018577
ASV_88	0.3242952
